Name,Grade,Gender,Recommended Channel/Link,Learning Strategy,Study Hours Per Week,Preferred Study Time,Language of Instruction,Additional Notes
Abebe Worku,A+,Male,https://www.youtube.com/@Intellipaat,Practice Quizzes,11,Evening,English/Amharic,Wrote summaries
Fikirte weldehawaryat,A+,Female,https://www.youtube.com/@programmingwithmosh,Group Study,16,Afternoon,English/Amharic,Drew diagrams
Tewodros Abebe,A,Female,https://www.youtube.com/@cs50,Self-Testing,5,Evening,English/Amharic,Color-coded notes
Marta Tesfaye,A+,Male,https://www.youtube.com/@edurekaIN,Case Studies,6,Night,English/Amharic,Timed simulations
Ephrem Mekonnen,A,Female,https://www.youtube.com/@programmingwithmosh,Peer Teaching,16,Evening,English/Amharic,Analyzed case studies
Marta weldehawaryat,A,Female,https://www.codecademy.com/learn/learn-sql,Peer Teaching,6,Night,English/Amharic,Practiced past exams
Tewodros Lemma,A,Female,https://pll.harvard.edu/course/cs50s-introduction-databases-sql,Mind Mapping,14,Afternoon,English/Amharic,Practiced past exams
Ephrem Seid,A,Female,https://www.youtube.com/@techTFQ,Flashcards,17,Afternoon,English/Amharic,Joined online study groups
Kassa Tadesse,A,Male,https://www.youtube.com/@KevinStratvert,Spaced Repetition,13,Evening,English/Amharic,Timed simulations
Kassa Abebe,A,Female,https://www.youtube.com/@QAFox,Practice Quizzes,5,Night,English/Amharic,Color-coded notes
Ruth Abebe,A+,Female,https://www.youtube.com/@Intellipaat,Self-Testing,16,Evening,English/Amharic,Timed simulations
Samuel Hailu,A,Female,https://www.youtube.com/@Telusko,Practice Quizzes,16,Night,English/Amharic,Drew diagrams
Lidia Tesfaye,A+,Male,https://www.coursera.org/courses?query=sql,Practice Quizzes,5,Morning,English/Amharic,Analyzed case studies
Ephrem Amare,A,Male,https://www.coursera.org/courses?query=sql,Practice Quizzes,19,Night,English/Amharic,Analyzed case studies
Seyoum Kebede,A+,Male,https://www.youtube.com/@Intellipaat,Peer Teaching,17,Night,English/Amharic,Analyzed case studies
Yemesrach Getachew,A+,Female,https://www.youtube.com/@AlexTheAnalyst,Peer Teaching,18,Afternoon,English/Amharic,Analyzed case studies
Sifan Amare,A+,Male,https://www.youtube.com/@KevinStratvert,Self-Testing,7,Evening,English/Amharic,Drew diagrams
Samuel Zinabu,A+,Male,https://www.youtube.com/@ExternCode,Group Study,19,Evening,English/Amharic,Drew diagrams
Seyoum Zinabu,A+,Female,https://www.codecademy.com/learn/learn-sql,Peer Teaching,16,Afternoon,English/Amharic,Analyzed case studies
Tewodros Tesfaye,A,Male,https://www.codecademy.com/learn/learn-sql,Spaced Repetition,6,Afternoon,English/Amharic,Drew diagrams
Marta Assefa,A,Male,https://www.youtube.com/@programmingwithmosh,Flashcards,16,Afternoon,English/Amharic,Drew diagrams
Seyoum Kebede,A,Female,https://www.codecademy.com/learn/learn-sql,Video Summaries,12,Morning,English/Amharic,Practiced past exams
Girmay Lemma,A,Male,https://www.geeksforgeeks.org/30-days-of-sql-from-basic-to-advanced-level/,Spaced Repetition,13,Night,English/Amharic,Drew diagrams
Zewditu Tesfaye,A+,Male,https://www.youtube.com/@BroCodez,Practice Quizzes,14,Evening,English/Amharic,Color-coded notes
Tsehay Amare,A,Male,https://www.youtube.com/@techTFQ,Case Studies,6,Night,English/Amharic,Used Anki flashcards
Kalkidan Mekonnen,A+,Female,https://www.youtube.com/@ExternCode,Practice Quizzes,11,Night,English/Amharic,Timed simulations
Tewodros Abebe,A,Female,https://www.youtube.com/@Telusko,Flashcards,15,Evening,English/Amharic,Timed simulations
Jemal Tesfaye,A+,Female,https://www.youtube.com/@Nerdslesson,Peer Teaching,12,Afternoon,English/Amharic,Wrote summaries
Bela Asrat,A+,Female,https://www.youtube.com/@AlexTheAnalyst,Group Study,8,Afternoon,English/Amharic,Color-coded notes
Sewit Tesfaye,A+,Female,https://www.youtube.com/@SimplilearnOfficial,Mind Mapping,6,Afternoon,English/Amharic,Color-coded notes
Zewditu Zinabu,A,Female,https://www.youtube.com/@freecodecamp,Flashcards,8,Night,English/Amharic,Wrote summaries
Birtukan Tesfaye,A+,Male,https://www.geeksforgeeks.org/30-days-of-sql-from-basic-to-advanced-level/,Practice Quizzes,10,Evening,English/Amharic,Drew diagrams
Zelalem Lemma,A+,Male,https://www.youtube.com/@techTFQ,Mind Mapping,9,Afternoon,English/Amharic,Used Anki flashcards
Sifan Worku,A+,Male,https://www.geeksforgeeks.org/30-days-of-sql-from-basic-to-advanced-level/,Practice Quizzes,8,Evening,English/Amharic,Used Anki flashcards
Tigist Hailu,A+,Male,https://www.youtube.com/@SimplilearnOfficial,Flashcards,10,Evening,English/Amharic,Timed simulations
Temesgen Jenberu,A+,Male,https://www.youtube.com/@Nerdslesson,Spaced Repetition,8,Evening,English/Amharic,Joined online study groups
Seyoum Abebe,A,Female,https://pll.harvard.edu/course/cs50s-introduction-databases-sql,Self-Testing,14,Evening,English/Amharic,Drew diagrams
Selamawit weldehawaryat,A,Female,https://www.coursera.org/courses?query=sql,Video Summaries,11,Afternoon,English/Amharic,Focused on documentaries
Yared Jenberu,A+,Male,https://www.youtube.com/@QAFox,Video Summaries,11,Morning,English/Amharic,Analyzed case studies
Yared Tesfaye,A,Female,https://www.youtube.com/@KevinStratvert,Case Studies,13,Night,English/Amharic,Practiced past exams
Meklit weldehawaryat,A+,Female,https://www.youtube.com/@SimplilearnOfficial,Practice Quizzes,11,Evening,English/Amharic,Focused on documentaries
Tewodros Fentaw,A+,Male,https://www.codecademy.com/learn/learn-sql,Peer Teaching,14,Afternoon,English/Amharic,Drew diagrams
Kebede Assefa,A+,Male,https://www.youtube.com/@cs50,Flashcards,11,Night,English/Amharic,Drew diagrams
Kidane Worku,A+,Female,https://www.geeksforgeeks.org/30-days-of-sql-from-basic-to-advanced-level/,Mind Mapping,16,Afternoon,English/Amharic,Color-coded notes
Tigist Fentaw,A+,Male,https://www.youtube.com/@Telusko,Flashcards,18,Evening,English/Amharic,Timed simulations
