Name,Grade,Recommended Channel/Link,Learning Strategy,Study Hours Per Week,Preferred Study Time,Language of Instruction,Additional Notes
Driba Worku,A+,https://www.tutorialspoint.com/automata_theory/index.htm,Flashcards,11,Afternoon,English/Amharic,Color-coded notes
Tsehay Asrat,A+,https://www.youtube.com/@computerconcept14,Peer Teaching,12,Night,English/Amharic,Color-coded notes
Mulat Getachew,A+,https://www.geeksforgeeks.org/theory-of-computation-automata-tutorials/,Video Summaries,6,Night,English/Amharic,Joined online study groups
Kiros Hailu,A+,https://www.tutorialspoint.com/automata_theory/index.htm,Self-Testing,5,Evening,English/Amharic,Color-coded notes
Abebe Tesfaye,A+,https://www.youtube.com/@Programology,Flashcards,13,Evening,English/Amharic,Focused on documentaries
Sofia Girma,A+,https://www.youtube.com/@education4uofficial,Flashcards,6,Night,English/Amharic,Analyzed case studies
Abebe weldehawaryat,A,https://www.geeksforgeeks.org/theory-of-computation-automata-tutorials/,Spaced Repetition,8,Afternoon,English/Amharic,Wrote summaries
Sofia Getachew,A+,https://www.youtube.com/@mitocw,Peer Teaching,10,Morning,English/Amharic,Focused on documentaries
Marta Hailu,A+,https://www.geeksforgeeks.org/theory-of-computation-automata-tutorials/,Peer Teaching,18,Evening,English/Amharic,Wrote summaries
Kalkidan weldehawaryat,A+,https://www.tutorialspoint.com/automata_theory/index.htm,Mind Mapping,19,Morning,English/Amharic,Wrote summaries
Marta Tadesse,A,https://www.tpointtech.com/automata-tutorial,Spaced Repetition,13,Evening,English/Amharic,Timed simulations
Mulugeta Abebe,A,https://www.youtube.com/@SudhakarAtchala,Practice Quizzes,5,Night,English/Amharic,Color-coded notes
Seyoum Abebe,A+,https://www.youtube.com/@UniversityAcademy,Case Studies,14,Morning,English/Amharic,Analyzed case studies
Yohannes weldehawaryat,A+,https://www.youtube.com/@sundeepsaradhi,Case Studies,11,Afternoon,English/Amharic,Wrote summaries
Girmay Tesfaye,A+,https://www.youtube.com/@mitocw,Practice Quizzes,5,Evening,English/Amharic,Joined online study groups
Mekonnen Girma,A+,https://www.youtube.com/@computerconcept14,Case Studies,19,Afternoon,English/Amharic,Analyzed case studies
Kassa Zinabu,A+,https://www.youtube.com/@UniversityAcademy,Practice Quizzes,19,Night,English/Amharic,Analyzed case studies
Marta Kebede,A+,https://www.youtube.com/@Programology,Case Studies,17,Evening,English/Amharic,Practiced past exams
Abel Amare,A,https://www.youtube.com/@mitocw,Mind Mapping,14,Morning,English/Amharic,Timed simulations
Sewit Lemma,A+,https://www.youtube.com/@LectureArchive,Peer Teaching,18,Afternoon,English/Amharic,Analyzed case studies
Bethel Amare,A+,https://www.youtube.com/@sundeepsaradhi,Self-Testing,15,Afternoon,English/Amharic,Timed simulations
Abiy Tadesse,A+,https://www.youtube.com/@Programology,Video Summaries,12,Evening,English/Amharic,Timed simulations
Girmay Abebe,A,https://www.youtube.com/@LectureArchive,Group Study,19,Evening,English/Amharic,Drew diagrams
Mihret Zinabu,A+,https://www.geeksforgeeks.org/theory-of-computation-automata-tutorials/,Spaced Repetition,14,Night,English/Amharic,Analyzed case studies
Chala Tesfaye,A,https://www.youtube.com/@sundeepsaradhi,Group Study,5,Evening,English/Amharic,Used Anki flashcards
Chala Getachew,A+,https://www.youtube.com/@Programology,Flashcards,5,Morning,English/Amharic,Color-coded notes
