Name,Grade,Recommended Channel/Link,Learning Strategy,Study Hours Per Week,Preferred Study Time,Language of Instruction,Additional Notes
Driba Worku,A+,https://win.uantwerpen.be/~sdemey/Tutorial_ResearchMethods/,Flashcards,11,Afternoon,English/Amharic,Color-coded notes
Tsehay Asrat,A+,https://www.youtube.com/@researcherstore2977,Peer Teaching,12,Night,English/Amharic,Color-coded notes
Mulat Getachew,A+,https://cgi.csc.liv.ac.uk/~ullrich/COMP516/notes/lect06.pdf,Video Summaries,6,Night,English/Amharic,Joined online study groups
Kiros Hailu,A+,https://win.uantwerpen.be/~sdemey/Tutorial_ResearchMethods/,Self-Testing,5,Evening,English/Amharic,Color-coded notes
Abebe Tesfaye,A+,https://www.youtube.com/@freecodecamp,Flashcards,13,Evening,English/Amharic,Focused on documentaries
Sofia Girma,A+,https://www.youtube.com/@softwaresystemsengineering8518,Flashcards,6,Night,English/Amharic,Analyzed case studies
Abebe weldehawaryat,A,https://cgi.csc.liv.ac.uk/~ullrich/COMP516/notes/lect06.pdf,Spaced Repetition,8,Afternoon,English/Amharic,Wrote summaries
Sofia Getachew,A+,https://www.youtube.com/@recentadvancesincomputing4037,Peer Teaching,10,Morning,English/Amharic,Focused on documentaries
Marta Hailu,A+,https://cgi.csc.liv.ac.uk/~ullrich/COMP516/notes/lect06.pdf,Peer Teaching,18,Evening,English/Amharic,Wrote summaries
Kalkidan weldehawaryat,A+,https://win.uantwerpen.be/~sdemey/Tutorial_ResearchMethods/,Mind Mapping,19,Morning,English/Amharic,Wrote summaries
Marta Tadesse,A,https://www.geeksforgeeks.org/introduction-to-research-methodology/,Spaced Repetition,13,Evening,English/Amharic,Timed simulations
Mulugeta Abebe,A,https://www.youtube.com/@GradCoach,Practice Quizzes,5,Night,English/Amharic,Color-coded notes
Seyoum Abebe,A+,https://www.youtube.com/@universityofliverpoolonlin5027,Case Studies,14,Morning,English/Amharic,Analyzed case studies
Yohannes weldehawaryat,A+,https://www.youtube.com/@gregmartin,Case Studies,11,Afternoon,English/Amharic,Wrote summaries
Girmay Tesfaye,A+,https://www.youtube.com/@recentadvancesincomputing4037,Practice Quizzes,5,Evening,English/Amharic,Joined online study groups
Mekonnen Girma,A+,https://www.youtube.com/@researcherstore2977,Case Studies,19,Afternoon,English/Amharic,Analyzed case studies
Kassa Zinabu,A+,https://www.youtube.com/@universityofliverpoolonlin5027,Practice Quizzes,19,Night,English/Amharic,Analyzed case studies
Marta Kebede,A+,https://www.youtube.com/@freecodecamp,Case Studies,17,Evening,English/Amharic,Practiced past exams
Abel Amare,A,https://www.youtube.com/@recentadvancesincomputing4037,Mind Mapping,14,Morning,English/Amharic,Timed simulations
Sewit Lemma,A+,https://www.youtube.com/@TheOpenUniversityLibrary,Peer Teaching,18,Afternoon,English/Amharic,Analyzed case studies
Bethel Amare,A+,https://www.youtube.com/@gregmartin,Self-Testing,15,Afternoon,English/Amharic,Timed simulations
Abiy Tadesse,A+,https://www.youtube.com/@freecodecamp,Video Summaries,12,Evening,English/Amharic,Timed simulations
Girmay Abebe,A,https://www.youtube.com/@TheOpenUniversityLibrary,Group Study,19,Evening,English/Amharic,Drew diagrams
Mihret Zinabu,A+,https://cgi.csc.liv.ac.uk/~ullrich/COMP516/notes/lect06.pdf,Spaced Repetition,14,Night,English/Amharic,Analyzed case studies
Chala Tesfaye,A,https://www.youtube.com/@gregmartin,Group Study,5,Evening,English/Amharic,Used Anki flashcards
Chala Getachew,A+,https://www.youtube.com/@freecodecamp,Flashcards,5,Morning,English/Amharic,Color-coded notes
Chala Hailu,A+,https://www.youtube.com/@recentadvancesincomputing4037,Case Studies,8,Evening,English/Amharic,Wrote summaries
Ephrem Lemma,A,https://www.youtube.com/@BobLaramee,Mind Mapping,10,Afternoon,English/Amharic,Used Anki flashcards
Yohannes Lemma,A+,https://www.youtube.com/@UniofLondon,Peer Teaching,16,Evening,English/Amharic,Practiced past exams
Zewditu Tesfaye,A+,https://www.youtube.com/@BobLaramee,Case Studies,8,Morning,English/Amharic,Used Anki flashcards
Ruth Amare,A+,https://www.youtube.com/@gregmartin,Self-Testing,13,Afternoon,English/Amharic,Analyzed case studies
Sifan Shimuye,A,https://www.youtube.com/@TheOpenUniversityLibrary,Self-Testing,8,Night,English/Amharic,Used Anki flashcards
Chala Abebe,A,https://www.youtube.com/@TheOpenUniversityLibrary,Flashcards,9,Night,English/Amharic,Analyzed case studies
Yohannes Zinabu,A,https://www.youtube.com/@UniofLondon,Peer Teaching,12,Afternoon,English/Amharic,Wrote summaries
Kiros Asrat,A+,https://www.youtube.com/@BobLaramee,Video Summaries,12,Night,English/Amharic,Color-coded notes
Kebede Tesfaye,A+,https://www.youtube.com/@CarletonUvideos,Mind Mapping,6,Afternoon,English/Amharic,Color-coded notes
Nahom Zinabu,A,https://www.youtube.com/@BobLaramee,Spaced Repetition,18,Morning,English/Amharic,Practiced past exams
Frehiwot Amare,A+,https://www.youtube.com/@gregmartin,Practice Quizzes,10,Evening,English/Amharic,Drew diagrams
Jemal Lemma,A+,https://www.youtube.com/@UniofLondon,Video Summaries,12,Evening,English/Amharic,Focused on documentaries
Senait Abebe,A+,https://www.youtube.com/@gregmartin,Flashcards,16,Morning,English/Amharic,Color-coded notes
Sofia Tesfaye,A+,https://www.youtube.com/@gregmartin,Flashcards,10,Evening,English/Amharic,Timed simulations
Girmay Jenberu,A+,https://www.geeksforgeeks.org/introduction-to-research-methodology/,Practice Quizzes,16,Morning,English/Amharic,Practiced past exams
Senait Abebe,A,https://www.youtube.com/@CarletonUvideos,Self-Testing,14,Evening,English/Amharic,Drew diagrams
Mohammed weldehawaryat,A,https://www.youtube.com/@CarletonUvideos,Video Summaries,11,Afternoon,English/Amharic,Focused on documentaries
Marta Jenberu,A+,https://www.youtube.com/@softwaresystemsengineering8518,Video Summaries,11,Morning,English/Amharic,Analyzed case studies
Marta Tesfaye,A,https://www.youtube.com/@GradCoach,Case Studies,13,Night,English/Amharic,Practiced past exams
Meklit weldehawaryat,A+,https://cgi.csc.liv.ac.uk/~ullrich/COMP516/notes/lect06.pdf,Practice Quizzes,11,Evening,English/Amharic,Focused on documentaries
Chala Fentaw,A+,https://www.geeksforgeeks.org/introduction-to-research-methodology/,Video Summaries,14,Afternoon,English/Amharic,Drew diagrams
Marta Shimuye,A+,https://www.youtube.com/@recentadvancesincomputing4037,Flashcards,5,Night,English/Amharic,Joined online study groups
Abebe Hailu,A+,https://www.youtube.com/@BobLaramee,Video Summaries,17,Night,English/Amharic,Practiced past exams
Lidia Worku,A+,https://www.youtube.com/@GradCoach,Peer Teaching,17,Afternoon,English/Amharic,Color-coded notes
Ephrem Fentaw,A+,https://www.youtube.com/@freecodecamp,Flashcards,14,Morning,English/Amharic,Analyzed case studies
Yohannes Hailu,A+,https://www.youtube.com/@universityofliverpoolonlin5027,Spaced Repetition,19,Afternoon,English/Amharic,Drew diagrams
Kebede weldehawaryat,A+,https://www.youtube.com/@gregmartin,Case Studies,19,Morning,English/Amharic,Drew diagrams
Yared Tesfaye,A,https://www.youtube.com/@UniofLondon,Flashcards,10,Morning,English/Amharic,Joined online study groups
Mekonnen Jenberu,A,https://cgi.csc.liv.ac.uk/~ullrich/COMP516/notes/lect06.pdf,Peer Teaching,9,Night,English/Amharic,Joined online study groups
Driba Kebede,A,https://cgi.csc.liv.ac.uk/~ullrich/COMP516/notes/lect06.pdf,Flashcards,11,Afternoon,English/Amharic,Drew diagrams
KedirTewodros Kebede,A,https://www.geeksforgeeks.org/introduction-to-research-methodology/,Practice Quizzes,14,Night,English/Amharic,Used Anki flashcards
KedirTewodros Tadesse,A,https://www.youtube.com/@GradCoach,Case Studies,6,Morning,English/Amharic,Practiced past exams
Mulugeta Hailu,A,https://www.youtube.com/@TheOpenUniversityLibrary,Spaced Repetition,5,Morning,English/Amharic,Color-coded notes
Alem Assefa,A+,https://www.youtube.com/@gregmartin,Spaced Repetition,12,Afternoon,English/Amharic,Focused on documentaries
Zelalem Mekonnen,A+,https://www.youtube.com/@gregmartin,Group Study,17,Afternoon,English/Amharic,Focused on documentaries
Zelalem Zinabu,A+,https://www.youtube.com/@universityofliverpoolonlin5027,Flashcards,6,Morning,English/Amharic,Wrote summaries
Belay Kebede,A,https://www.youtube.com/@softwaresystemsengineering8518,Group Study,7,Morning,English/Amharic,Color-coded notes
Kebede Kebede,A,https://www.youtube.com/@freecodecamp,Group Study,11,Afternoon,English/Amharic,Joined online study groups
Eden Jenberu,A+,https://www.youtube.com/@freecodecamp,Self-Testing,7,Morning,English/Amharic,Used Anki flashcards
Marta Seid,A,https://win.uantwerpen.be/~sdemey/Tutorial_ResearchMethods/,Practice Quizzes,5,Night,English/Amharic,Timed simulations
Zewditu Hailu,A,https://www.youtube.com/@TheOpenUniversityLibrary,Peer Teaching,7,Afternoon,English/Amharic,Joined online study groups
KedirTewodros Tesfaye,A+,https://www.youtube.com/@BobLaramee,Flashcards,8,Morning,English/Amharic,Analyzed case studies
Nahom Amare,A,https://www.youtube.com/@universityofliverpoolonlin5027,Case Studies,18,Evening,English/Amharic,Joined online study groups
Seyoum Asrat,A+,https://www.geeksforgeeks.org/introduction-to-research-methodology/,Self-Testing,14,Afternoon,English/Amharic,Used Anki flashcards
Hagos Amare,A+,https://www.youtube.com/@GradCoach,Self-Testing,6,Evening,English/Amharic,Focused on documentaries
KedirTewodros Assefa,A,https://www.youtube.com/@GradCoach,Spaced Repetition,10,Night,English/Amharic,Used Anki flashcards
Dawit Tadesse,A+,https://www.youtube.com/@recentadvancesincomputing4037,Practice Quizzes,17,Night,English/Amharic,Drew diagrams
Driba Shimuye,A+,https://www.youtube.com/@freecodecamp,Practice Quizzes,17,Morning,English/Amharic,Focused on documentaries
Bethel weldehawaryat,A,https://www.youtube.com/@softwaresystemsengineering8518,Case Studies,5,Evening,English/Amharic,Timed simulations
Marta Abebe,A,https://www.youtube.com/@recentadvancesincomputing4037,Flashcards,10,Morning,English/Amharic,Joined online study groups
Belay Tesfaye,A+,https://www.youtube.com/@softwaresystemsengineering8518,Mind Mapping,19,Morning,English/Amharic,Used Anki flashcards
Kalkidan Worku,A+,https://www.youtube.com/@researcherstore2977,Video Summaries,10,Evening,English/Amharic,Analyzed case studies
Samuel Hailu,A+,https://www.youtube.com/@GradCoach,Video Summaries,16,Night,English/Amharic,Joined online study groups
Frehiwot Kebede,A+,https://www.youtube.com/@universityofliverpoolonlin5027,Mind Mapping,16,Night,English/Amharic,Joined online study groups
Fikirte Kebede,A+,https://www.youtube.com/@recentadvancesincomputing4037,Spaced Repetition,13,Morning,English/Amharic,Joined online study groups
Tigist Tadesse,A+,https://win.uantwerpen.be/~sdemey/Tutorial_ResearchMethods/,Practice Quizzes,17,Afternoon,English/Amharic,Focused on documentaries
Zelalem Assefa,A+,https://www.youtube.com/@CarletonUvideos,Group Study,18,Afternoon,English/Amharic,Joined online study groups
Kiros Abebe,A+,https://www.geeksforgeeks.org/introduction-to-research-methodology/,Spaced Repetition,15,Morning,English/Amharic,Timed simulations
Mulat Jenberu,A+,https://www.youtube.com/@CarletonUvideos,Self-Testing,7,Evening,English/Amharic,Used Anki flashcards
