Name,Grade,Recommended Channel/Link,Learning Strategy,Study Hours Per Week,Preferred Study Time,Language of Instruction,Additional Notes
Driba Worku,A+,https://www.youtube.com/@GaneshEducationInfo,Practice Quizzes,11,Evening,English/Amharic,Wrote summaries
Sewit Kebede,A,https://www.youtube.com/@firstprinciplesofcomputerv3258,Video Summaries,9,Afternoon,English/Amharic,Wrote summaries
Abebe Lemma,A,https://www.youtube.com/@askitloud3168,Video Summaries,17,Night,English/Amharic,Timed simulations
Marta Shimuye,A,https://www.tutorialspoint.com/computer-vision/index.htm,Practice Quizzes,16,Evening,English/Amharic,Practiced past exams
Mohammed Assefa,A+,https://www.youtube.com/@murtazasworkshop,Case Studies,6,Night,English/Amharic,Timed simulations
Kalkidan Mekonnen,A,https://www.youtube.com/@npteliitguwahati8283,Peer Teaching,16,Evening,English/Amharic,Analyzed case studies
Abebe weldehawaryat,A,https://www.youtube.com/@5MinutesEngineering,Spaced Repetition,8,Afternoon,English/Amharic,Wrote summaries
Sofia Getachew,A+,https://www.youtube.com/@DigitalSreeni,Peer Teaching,10,Morning,English/Amharic,Focused on documentaries
Marta Hailu,A+,https://www.youtube.com/@Ekeeda,Group Study,18,Evening,English/Amharic,Timed simulations
Ruth Seid,A+,https://www.geeksforgeeks.org/computer-vision/,Flashcards,12,Afternoon,English/Amharic,Timed simulations
Atnafu Zinabu,A,https://www.youtube.com/@campusx-official,Spaced Repetition,13,Evening,English/Amharic,Timed simulations
Mulugeta Abebe,A,https://www.youtube.com/@freecodecamp,Practice Quizzes,5,Night,English/Amharic,Color-coded notes
Seyoum Abebe,A+,https://www.youtube.com/@DigitalSreeni,Case Studies,14,Morning,English/Amharic,Analyzed case studies
Yohannes weldehawaryat,A+,https://www.youtube.com/@askitloud3168,Case Studies,11,Afternoon,English/Amharic,Wrote summaries
Girmay Tesfaye,A+,https://www.youtube.com/@firstprinciplesofcomputerv3258,Spaced Repetition,7,Morning,English/Amharic,Color-coded notes
Meklit Assefa,A+,https://www.youtube.com/@5MinutesEngineering,Case Studies,15,Morning,English/Amharic,Color-coded notes
Mihret Amare,A+,https://www.youtube.com/@Ekeeda,Flashcards,11,Evening,English/Amharic,Practiced past exams
Abel Amare,A,https://www.youtube.com/@npteliitguwahati8283,Self-Testing,9,Afternoon,English/Amharic,Practiced past exams
Lidia Asrat,A,https://www.youtube.com/@GaneshEducationInfo,Spaced Repetition,5,Morning,English/Amharic,Timed simulations
Abiy Tadesse,A+,https://www.youtube.com/@GaneshEducationInfo,Video Summaries,12,Evening,English/Amharic,Timed simulations
Girmay Abebe,A,https://www.youtube.com/@krishnaik06,Group Study,19,Evening,English/Amharic,Drew diagrams
Mihret Zinabu,A+,https://www.coursera.org/learn/introduction-computer-vision-watson-opencv,Peer Teaching,16,Afternoon,English/Amharic,Analyzed case studies
Chala Tesfaye,A,https://www.coursera.org/learn/introduction-computer-vision-watson-opencv,Group Study,5,Evening,English/Amharic,Used Anki flashcards
Chala Getachew,A+,https://www.youtube.com/@cbcslteaching5656,Spaced Repetition,5,Evening,English/Amharic,Focused on documentaries
Sewit Hailu,A+,https://www.youtube.com/@greatlearning,Case Studies,8,Evening,English/Amharic,Wrote summaries
Ephrem Lemma,A,https://www.youtube.com/@npteliitguwahati8283,Video Summaries,10,Evening,English/Amharic,Used Anki flashcards
Yohannes Lemma,A+,https://www.youtube.com/@firstprinciplesofcomputerv3258,Peer Teaching,16,Evening,English/Amharic,Practiced past exams
Zewditu Tesfaye,A+,https://www.youtube.com/@GaneshEducationInfo,Peer Teaching,13,Morning,English/Amharic,Wrote summaries
Driba Mekonnen,A+,https://www.youtube.com/@freecodecamp,Self-Testing,13,Afternoon,English/Amharic,Analyzed case studies
Sifan Shimuye,A,https://www.tutorialspoint.com/computer-vision/index.htm,Self-Testing,8,Night,English/Amharic,Used Anki flashcards
Chala Abebe,A,https://www.youtube.com/@krishnaik06,Flashcards,9,Night,English/Amharic,Analyzed case studies
Yohannes Zinabu,A,https://www.tutorialspoint.com/computer-vision/index.htm,Practice Quizzes,8,Night,English/Amharic,Drew diagrams
Kiros Asrat,A+,https://www.youtube.com/@Ekeeda,Video Summaries,12,Night,English/Amharic,Color-coded notes
Kebede Tesfaye,A+,https://www.datacamp.com/blog/what-is-computer-vision,Mind Mapping,6,Afternoon,English/Amharic,Color-coded notes
Nahom Zinabu,A,https://www.youtube.com/@Ekeeda,Spaced Repetition,18,Morning,English/Amharic,Practiced past exams
Frehiwot Amare,A+,https://www.youtube.com/@askitloud3168,Practice Quizzes,10,Evening,English/Amharic,Drew diagrams
Jemal Lemma,A+,https://www.youtube.com/@khushipatel2574,Mind Mapping,9,Afternoon,English/Amharic,Used Anki flashcards
Bethel Worku,A+,https://www.youtube.com/@cbcslteaching5656,Practice Quizzes,8,Evening,English/Amharic,Used Anki flashcards
Ephrem Hailu,A+,https://www.youtube.com/@5MinutesEngineering,Flashcards,10,Evening,English/Amharic,Timed simulations
Girmay Jenberu,A+,https://www.youtube.com/@firstprinciplesofcomputerv3258,Spaced Repetition,8,Evening,English/Amharic,Joined online study groups
Mihret Abebe,A,https://www.datacamp.com/blog/what-is-computer-vision,Self-Testing,14,Evening,English/Amharic,Drew diagrams
Mohammed weldehawaryat,A,https://www.datacamp.com/blog/what-is-computer-vision,Video Summaries,11,Afternoon,English/Amharic,Focused on documentaries
Marta Jenberu,A+,https://www.youtube.com/@murtazasworkshop,Video Summaries,11,Morning,English/Amharic,Analyzed case studies
Marta Tesfaye,A,https://www.youtube.com/@campusx-official,Case Studies,13,Night,English/Amharic,Practiced past exams
Meklit weldehawaryat,A+,https://www.tutorialspoint.com/computer-vision/index.htm,Practice Quizzes,11,Evening,English/Amharic,Focused on documentaries
Chala Fentaw,A+,https://www.coursera.org/learn/introduction-computer-vision-watson-opencv,Peer Teaching,14,Afternoon,English/Amharic,Drew diagrams
Alem Assefa,A+,https://www.youtube.com/@krishnaik06,Flashcards,11,Night,English/Amharic,Drew diagrams
Atnafu Worku,A+,https://www.youtube.com/@khushipatel2574,Peer Teaching,17,Afternoon,English/Amharic,Color-coded notes
Ephrem Fentaw,A+,https://www.youtube.com/@cbcslteaching5656,Flashcards,18,Evening,English/Amharic,Timed simulations
Eden Abebe,A,https://www.youtube.com/@askitloud3168,Mind Mapping,18,Afternoon,English/Amharic,Timed simulations
Ruth Tadesse,A,https://www.tutorialspoint.com/computer-vision/index.htm,Case Studies,19,Morning,English/Amharic,Drew diagrams
Yared Tesfaye,A,https://www.tutorialspoint.com/computer-vision/index.htm,Practice Quizzes,9,Afternoon,English/Amharic,Timed simulations
Yared Girma,A,https://www.geeksforgeeks.org/computer-vision/,Spaced Repetition,18,Afternoon,English/Amharic,Practiced past exams
KedirTewodros Hailu,A,https://www.tutorialspoint.com/computer-vision/index.htm,Flashcards,11,Night,English/Amharic,Used Anki flashcards
Lidia Assefa,A,https://www.youtube.com/@DigitalSreeni,Video Summaries,9,Night,English/Amharic,Focused on documentaries
Abiy Shimuye,A+,https://www.youtube.com/@askitloud3168,Group Study,9,Morning,English/Amharic,Practiced past exams
Nahom Seid,A+,https://www.coursera.org/learn/introduction-computer-vision-watson-opencv,Peer Teaching,12,Night,English/Amharic,Focused on documentaries
Seyoum Abebe,A+,https://www.youtube.com/@freecodecamp,Flashcards,16,Evening,English/Amharic,Used Anki flashcards
Kiros weldehawaryat,A+,https://www.youtube.com/@krishnaik06,Mind Mapping,17,Evening,English/Amharic,Focused on documentaries
Seyoum Jenberu,A+,https://www.youtube.com/@DigitalSreeni,Mind Mapping,7,Morning,English/Amharic,Analyzed case studies
Sofia Mekonnen,A+,https://www.youtube.com/@Ekeeda,Self-Testing,9,Morning,English/Amharic,Timed simulations
Belay Shimuye,A+,https://www.youtube.com/@firstprinciplesofcomputerv3258,Spaced Repetition,7,Night,English/Amharic,Practiced past exams
Rahel Jenberu,A+,https://www.youtube.com/@cbcslteaching5656,Spaced Repetition,11,Morning,English/Amharic,Analyzed case studies
Yemesrach Tesfaye,A,https://www.coursera.org/learn/introduction-computer-vision-watson-opencv,Spaced Repetition,18,Night,English/Amharic,Timed simulations
Mulat Tadesse,A+,https://www.coursera.org/learn/introduction-computer-vision-watson-opencv,Peer Teaching,16,Morning,English/Amharic,Timed simulations
Zewditu Hailu,A,https://www.youtube.com/@5MinutesEngineering,Peer Teaching,7,Afternoon,English/Amharic,Joined online study groups
KedirTewodros Tesfaye,A+,https://www.youtube.com/@Ekeeda,Flashcards,11,Night,English/Amharic,Timed simulations
Driba Tadesse,A+,https://www.youtube.com/@GaneshEducationInfo,Flashcards,7,Evening,English/Amharic,Focused on documentaries
Mekonnen Hailu,A+,https://www.youtube.com/@krishnaik06,Spaced Repetition,17,Afternoon,English/Amharic,Analyzed case studies
Jemal Tadesse,A,https://www.youtube.com/@murtazasworkshop,Mind Mapping,15,Afternoon,English/Amharic,Focused on documentaries
KedirTewodros Assefa,A,https://www.youtube.com/@khushipatel2574,Spaced Repetition,10,Night,English/Amharic,Used Anki flashcards
Dawit Tadesse,A+,https://www.youtube.com/@greatlearning,Practice Quizzes,17,Night,English/Amharic,Drew diagrams
Driba Shimuye,A+,https://www.youtube.com/@GaneshEducationInfo,Practice Quizzes,17,Morning,English/Amharic,Focused on documentaries
Bethel weldehawaryat,A,https://www.youtube.com/@murtazasworkshop,Case Studies,5,Evening,English/Amharic,Timed simulations
Marta Abebe,A,https://www.youtube.com/@greatlearning,Flashcards,10,Morning,English/Amharic,Joined online study groups
Belay Tesfaye,A+,https://www.datacamp.com/blog/what-is-computer-vision,Self-Testing,5,Afternoon,English/Amharic,Used Anki flashcards
Sewit Tesfaye,A+,https://www.youtube.com/@freecodecamp,Group Study,10,Night,English/Amharic,Wrote summaries
Bethel weldehawaryat,A,https://www.youtube.com/@Ekeeda,Group Study,14,Night,English/Amharic,Focused on documentaries
Bethel Assefa,A+,https://www.coursera.org/learn/introduction-computer-vision-watson-opencv,Self-Testing,5,Morning,English/Amharic,Practiced past exams
Abel Seid,A,https://www.youtube.com/@5MinutesEngineering,Practice Quizzes,17,Afternoon,English/Amharic,Focused on documentaries
Zelalem Assefa,A+,https://www.youtube.com/@npteliitguwahati8283,Group Study,18,Afternoon,English/Amharic,Joined online study groups
Kiros Abebe,A+,https://www.geeksforgeeks.org/computer-vision/,Spaced Repetition,15,Morning,English/Amharic,Timed simulations
Mulat Jenberu,A+,https://www.youtube.com/@npteliitguwahati8283,Self-Testing,7,Evening,English/Amharic,Used Anki flashcards
