Name,Grade,Recommended Channel/Link,Learning Strategy,Study Hours Per Week,Preferred Study Time,Language of Instruction,Additional Notes
Abebe Worku,A+,https://www.youtube.com/@CrashCourse,Case Studies,14,Evening,English/Amharic,Analyzed case studies
Kalkidan Asrat,A+,https://www.youtube.com/@TEDEd,Group Study,7,Afternoon,English/Amharic,Joined online study groups
Tewodros Hailu,A+,https://www.youtube.com/@Av_Media_Offical,Flashcards,5,Night,English/Amharic,Drew diagrams
Marta Jenberu,A+,https://www.youtube.com/@AplusEthiopia,Practice Quizzes,16,Evening,English/Amharic,Practiced past exams
Selamawit Assefa,A+,https://www.youtube.com/@ethiopianuniversityeducation,Case Studies,6,Night,English/Amharic,Timed simulations
Ephrem Mekonnen,A,https://www.youtube.com/@CrashCourse,Mind Mapping,8,Night,English/Amharic,Analyzed case studies
Marta weldehawaryat,A,https://www.youtube.com/@mataqesha,Peer Teaching,6,Night,English/Amharic,Practiced past exams
Tewodros Lemma,A,https://www.youtube.com/@WirelessPhilosophy,Mind Mapping,14,Night,English/Amharic,Focused on documentaries
Abel Kebede,A+,https://www.youtube.com/@TEDEd,Case Studies,16,Morning,English/Amharic,Wrote summaries
Mulugeta Seid,A+,https://www.youtube.com/@CrashCourse,Group Study,14,Morning,English/Amharic,Timed simulations
Mihret Worku,A,https://www.youtube.com/@CriticalThinkingAcademy,Self-Testing,12,Morning,English/Amharic,Wrote summaries
Kassa Asrat,A,https://www.youtube.com/@habeshatechcamp234,Practice Quizzes,5,Evening,English/Amharic,Joined online study groups
Mekonnen Amare,A+,https://www.youtube.com/@CriticalThinkingAcademy,Self-Testing,12,Night,English/Amharic,Focused on documentaries
Bela Seid,A,https://www.youtube.com/@TEDEd,Flashcards,7,Night,English/Amharic,Wrote summaries
Yemesrach Tesfaye,A+,https://www.youtube.com/@habeshatechcamp234,Spaced Repetition,9,Afternoon,English/Amharic,Analyzed case studies
Ephrem Amare,A,https://www.youtube.com/@AplusEthiopia,Practice Quizzes,19,Night,English/Amharic,Analyzed case studies
Seyoum Kebede,A+,https://www.youtube.com/@CriticalThinkingAcademy,Peer Teaching,17,Night,English/Amharic,Analyzed case studies
Yemesrach Getachew,A+,https://www.youtube.com/@ethiopianuniversityeducation,Flashcards,10,Night,English/Amharic,Practiced past exams
Kiros Asrat,A,https://www.youtube.com/@Av_Media_Offical,Self-Testing,11,Afternoon,English/Amharic,Used Anki flashcards
Meklit Tadesse,A+,https://www.youtube.com/@WirelessPhilosophy,Group Study,15,Morning,English/Amharic,Joined online study groups
Bela Fentaw,A,https://www.criticalthinking.org/files/Concepts_Tools.pdf,Video Summaries,12,Morning,English/Amharic,Practiced past exams
Hana Amare,A+,https://www.youtube.com/@CrashCourse,Spaced Repetition,12,Morning,English/Amharic,Used Anki flashcards
Tewodros Getachew,A+,https://www.youtube.com/@CrashCourse,Spaced Repetition,5,Evening,English/Amharic,Focused on documentaries
Marta Lemma,A,https://www.youtube.com/@CriticalThinkingAcademy,Group Study,15,Morning,English/Amharic,Drew diagrams
Kassa Assefa,A+,https://www.youtube.com/@WirelessPhilosophy,Spaced Repetition,13,Night,English/Amharic,Drew diagrams
Zewditu Tesfaye,A+,https://www.youtube.com/@HabeshaAcademy,Practice Quizzes,14,Evening,English/Amharic,Color-coded notes
Tsehay Amare,A,https://www.youtube.com/@TEDEd,Case Studies,6,Night,English/Amharic,Used Anki flashcards
Kalkidan Mekonnen,A+,https://www.youtube.com/@AplusEthiopia,Practice Quizzes,11,Night,English/Amharic,Timed simulations
Tewodros Abebe,A,https://www.youtube.com/@CrashCourse,Flashcards,15,Evening,English/Amharic,Timed simulations
Jemal Tesfaye,A+,https://www.youtube.com/@habeshatechcamp234,Peer Teaching,12,Afternoon,English/Amharic,Wrote summaries
Bela Asrat,A+,https://www.youtube.com/@WirelessPhilosophy,Group Study,8,Afternoon,English/Amharic,Color-coded notes
