Name,Grade,Recommended Channel/Link,Learning Strategy,Study Hours Per Week,Preferred Study Time,Language of Instruction,Additional Notes
Driba Worku,A+,https://www.youtube.com/@shereritnet,Practice Quizzes,11,Evening,English/Amharic,Wrote summaries
Sewit Kebede,A,https://www.youtube.com/@computereducationforall5156,Video Summaries,9,Afternoon,English/Amharic,Wrote summaries
Abebe Lemma,A,https://www.youtube.com/@MindYourExamChannel,Video Summaries,17,Night,English/Amharic,Timed simulations
Marta Shimuye,A,https://www.tpointtech.com/computer-network-tutorial,Practice Quizzes,16,Evening,English/Amharic,Practiced past exams
Mohammed Assefa,A+,https://www.youtube.com/@KunalKushwaha,Case Studies,6,Night,English/Amharic,Timed simulations
Kalkidan Mekonnen,A,https://www.youtube.com/@Fireship,Peer Teaching,16,Evening,English/Amharic,Analyzed case studies
Abebe weldehawaryat,A,https://www.tutorialspoint.com/data_communication_computer_network/index.htm,Spaced Repetition,8,Afternoon,English/Amharic,Wrote summaries
Sofia Getachew,A+,https://www.youtube.com/@StarterTutorials,Peer Teaching,10,Morning,English/Amharic,Focused on documentaries
Marta Hailu,A+,https://www.youtube.com/@LearnCodingOfficial,Group Study,18,Evening,English/Amharic,Timed simulations
Ruth Seid,A+,https://www.geeksforgeeks.org/computer-network-tutorials/,Flashcards,12,Afternoon,English/Amharic,Timed simulations
Atnafu Zinabu,A,https://www.youtube.com/@learnwithapk,Spaced Repetition,13,Evening,English/Amharic,Timed simulations
Mulugeta Abebe,A,https://www.youtube.com/@nesoacademy,Practice Quizzes,5,Night,English/Amharic,Color-coded notes
Seyoum Abebe,A+,https://www.youtube.com/@StarterTutorials,Case Studies,14,Morning,English/Amharic,Analyzed case studies
Yohannes weldehawaryat,A+,https://www.youtube.com/@MindYourExamChannel,Case Studies,11,Afternoon,English/Amharic,Wrote summaries
Girmay Tesfaye,A+,https://www.youtube.com/@computereducationforall5156,Spaced Repetition,7,Morning,English/Amharic,Color-coded notes
Meklit Assefa,A+,https://www.tutorialspoint.com/data_communication_computer_network/index.htm,Case Studies,15,Morning,English/Amharic,Color-coded notes
Mihret Amare,A+,https://www.youtube.com/@LearnCodingOfficial,Flashcards,11,Evening,English/Amharic,Practiced past exams
Abel Amare,A,https://www.youtube.com/@Fireship,Self-Testing,9,Afternoon,English/Amharic,Practiced past exams
Lidia Asrat,A,https://www.youtube.com/@shereritnet,Spaced Repetition,5,Morning,English/Amharic,Timed simulations
Abiy Tadesse,A+,https://www.youtube.com/@shereritnet,Video Summaries,12,Evening,English/Amharic,Timed simulations
Girmay Abebe,A,https://www.youtube.com/@Bogdan_Stashchuk,Group Study,19,Evening,English/Amharic,Drew diagrams
Mihret Zinabu,A+,https://www.youtube.com/@freecodecamp,Peer Teaching,16,Afternoon,English/Amharic,Analyzed case studies
Chala Tesfaye,A,https://www.youtube.com/@freecodecamp,Group Study,5,Evening,English/Amharic,Used Anki flashcards
Chala Getachew,A+,https://www.youtube.com/@EngineeringFunda,Spaced Repetition,5,Evening,English/Amharic,Focused on documentaries
Sewit Hailu,A+,https://www.youtube.com/@NetworkNuggets,Case Studies,8,Evening,English/Amharic,Wrote summaries
Ephrem Lemma,A,https://www.youtube.com/@Fireship,Video Summaries,10,Evening,English/Amharic,Used Anki flashcards
Yohannes Lemma,A+,https://www.youtube.com/@computereducationforall5156,Peer Teaching,16,Evening,English/Amharic,Practiced past exams
Zewditu Tesfaye,A+,https://www.youtube.com/@shereritnet,Peer Teaching,13,Morning,English/Amharic,Wrote summaries
Driba Mekonnen,A+,https://www.youtube.com/@nesoacademy,Self-Testing,13,Afternoon,English/Amharic,Analyzed case studies
Sifan Shimuye,A,https://www.tpointtech.com/computer-network-tutorial,Self-Testing,8,Night,English/Amharic,Used Anki flashcards
Chala Abebe,A,https://www.youtube.com/@Bogdan_Stashchuk,Flashcards,9,Night,English/Amharic,Analyzed case studies
Yohannes Zinabu,A,https://www.tpointtech.com/computer-network-tutorial,Practice Quizzes,8,Night,English/Amharic,Drew diagrams
