Name,Grade,Recommended Channel/Link,Learning Strategy,Study Hours Per Week,Preferred Study Time,Language of Instruction,Additional Notes
Driba Worku,A+,https://www.youtube.com/@TheOrganicChemistryTutor,Practice Quizzes,11,Evening,English/Amharic,Wrote summaries
Sewit Kebede,A,https://www.youtube.com/@TutorialsPoint_,Video Summaries,9,Afternoon,English/Amharic,Wrote summaries
Abebe Lemma,A,https://www.youtube.com/@nesoacademy,Video Summaries,17,Night,English/Amharic,Timed simulations
Marta Shimuye,A,https://www.tutorialspoint.com/digital-electronics/index.htm,Practice Quizzes,16,Evening,English/Amharic,Practiced past exams
Mohammed Assefa,A+,https://www.youtube.com/@SimpleSnippets,Case Studies,6,Night,English/Amharic,Timed simulations
Kalkidan Mekonnen,A,https://www.youtube.com/@LearningMonkey,Peer Teaching,16,Evening,English/Amharic,Analyzed case studies
Abebe weldehawaryat,A,https://www.youtube.com/@hossamhsallam,Spaced Repetition,8,Afternoon,English/Amharic,Wrote summaries
Sofia Getachew,A+,https://www.youtube.com/@J1432,Peer Teaching,10,Morning,English/Amharic,Focused on documentaries
Marta Hailu,A+,https://www.youtube.com/@rajamuzammilmuneer,Group Study,18,Evening,English/Amharic,Timed simulations
Ruth Seid,A+,https://www.geeksforgeeks.org/digital-electronics-logic-design-tutorials/,Flashcards,12,Afternoon,English/Amharic,Timed simulations
Atnafu Zinabu,A,https://www.youtube.com/@FakharStemSphere,Spaced Repetition,13,Evening,English/Amharic,Timed simulations
Mulugeta Abebe,A,https://www.youtube.com/@programmingforeveryone8886,Practice Quizzes,5,Night,English/Amharic,Color-coded notes
Seyoum Abebe,A+,https://www.youtube.com/@J1432,Case Studies,14,Morning,English/Amharic,Analyzed case studies
Yohannes weldehawaryat,A+,https://www.youtube.com/@nesoacademy,Case Studies,11,Afternoon,English/Amharic,Wrote summaries
Girmay Tesfaye,A+,https://www.youtube.com/@TutorialsPoint_,Spaced Repetition,7,Morning,English/Amharic,Color-coded notes
Meklit Assefa,A+,https://www.youtube.com/@hossamhsallam,Case Studies,15,Morning,English/Amharic,Color-coded notes
Mihret Amare,A+,https://www.youtube.com/@rajamuzammilmuneer,Flashcards,11,Evening,English/Amharic,Practiced past exams
Abel Amare,A,https://www.youtube.com/@LearningMonkey,Self-Testing,9,Afternoon,English/Amharic,Practiced past exams
Lidia Asrat,A,https://www.youtube.com/@TheOrganicChemistryTutor,Spaced Repetition,5,Morning,English/Amharic,Timed simulations
Abiy Tadesse,A+,https://www.youtube.com/@TheOrganicChemistryTutor,Video Summaries,12,Evening,English/Amharic,Timed simulations
Girmay Abebe,A,https://www.youtube.com/@basemedia3578,Group Study,19,Evening,English/Amharic,Drew diagrams
Mihret Zinabu,A+,https://mrcet.com/downloads/digital_notes/IT/DIGITAL%20LOGIC%20DESIGN%20(R17A0461).pdf,Peer Teaching,16,Afternoon,English/Amharic,Analyzed case studies
Chala Tesfaye,A,https://mrcet.com/downloads/digital_notes/IT/DIGITAL%20LOGIC%20DESIGN%20(R17A0461).pdf,Group Study,5,Evening,English/Amharic,Used Anki flashcards
Chala Getachew,A+,https://www.youtube.com/@davidblack-schaffer219,Spaced Repetition,5,Evening,English/Amharic,Focused on documentaries
Sewit Hailu,A+,https://www.youtube.com/@SpanningTree,Case Studies,8,Evening,English/Amharic,Wrote summaries
Ephrem Lemma,A,https://www.youtube.com/@LearningMonkey,Video Summaries,10,Evening,English/Amharic,Used Anki flashcards
Yohannes Lemma,A+,https://www.youtube.com/@TutorialsPoint_,Peer Teaching,16,Evening,English/Amharic,Practiced past exams
Zewditu Tesfaye,A+,https://www.youtube.com/@TheOrganicChemistryTutor,Peer Teaching,13,Morning,English/Amharic,Wrote summaries
Driba Mekonnen,A+,https://www.youtube.com/@programmingforeveryone8886,Self-Testing,13,Afternoon,English/Amharic,Analyzed case studies
Sifan Shimuye,A,https://www.tutorialspoint.com/digital-electronics/index.htm,Self-Testing,8,Night,English/Amharic,Used Anki flashcards
Chala Abebe,A,https://www.youtube.com/@basemedia3578,Flashcards,9,Night,English/Amharic,Analyzed case studies
Yohannes Zinabu,A,https://www.tutorialspoint.com/digital-electronics/index.htm,Practice Quizzes,8,Night,English/Amharic,Drew diagrams
Kiros Asrat,A+,https://www.youtube.com/@rajamuzammilmuneer,Video Summaries,12,Night,English/Amharic,Color-coded notes
Kebede Tesfaye,A+,https://learn.sparkfun.com/tutorials/digital-logic/all,Mind Mapping,6,Afternoon,English/Amharic,Color-coded notes
Nahom Zinabu,A,https://www.youtube.com/@rajamuzammilmuneer,Spaced Repetition,18,Morning,English/Amharic,Practiced past exams
Frehiwot Amare,A+,https://www.youtube.com/@nesoacademy,Practice Quizzes,10,Evening,English/Amharic,Drew diagrams
Jemal Lemma,A+,https://www.tpointtech.com/digital-electronics,Video Summaries,12,Evening,English/Amharic,Focused on documentaries
Senait Abebe,A+,https://www.youtube.com/@nesoacademy,Flashcards,16,Morning,English/Amharic,Color-coded notes
Sofia Tesfaye,A+,https://mrcet.com/downloads/digital_notes/IT/DIGITAL%20LOGIC%20DESIGN%20(R17A0461).pdf,Flashcards,10,Evening,English/Amharic,Timed simulations
Girmay Jenberu,A+,https://www.youtube.com/@TutorialsPoint_,Spaced Repetition,8,Evening,English/Amharic,Joined online study groups
Mihret Abebe,A,https://learn.sparkfun.com/tutorials/digital-logic/all,Self-Testing,14,Evening,English/Amharic,Drew diagrams
Mohammed weldehawaryat,A,https://learn.sparkfun.com/tutorials/digital-logic/all,Video Summaries,11,Afternoon,English/Amharic,Focused on documentaries
Marta Jenberu,A+,https://www.youtube.com/@SimpleSnippets,Video Summaries,11,Morning,English/Amharic,Analyzed case studies
Marta Tesfaye,A,https://www.youtube.com/@FakharStemSphere,Case Studies,13,Night,English/Amharic,Practiced past exams
Meklit weldehawaryat,A+,https://www.tutorialspoint.com/digital-electronics/index.htm,Practice Quizzes,11,Evening,English/Amharic,Focused on documentaries
Chala Fentaw,A+,https://mrcet.com/downloads/digital_notes/IT/DIGITAL%20LOGIC%20DESIGN%20(R17A0461).pdf,Peer Teaching,14,Afternoon,English/Amharic,Drew diagrams
Alem Assefa,A+,https://www.youtube.com/@basemedia3578,Flashcards,11,Night,English/Amharic,Drew diagrams
Atnafu Worku,A+,https://www.youtube.com/@ALLABOUTELECTRONICS,Peer Teaching,17,Afternoon,English/Amharic,Color-coded notes
Ephrem Fentaw,A+,https://www.youtube.com/@davidblack-schaffer219,Flashcards,18,Evening,English/Amharic,Timed simulations
Eden Abebe,A,https://www.youtube.com/@nesoacademy,Mind Mapping,18,Afternoon,English/Amharic,Timed simulations
Ruth Tadesse,A,https://www.tutorialspoint.com/digital-electronics/index.htm,Case Studies,19,Morning,English/Amharic,Drew diagrams
Yared Tesfaye,A,https://www.tutorialspoint.com/digital-electronics/index.htm,Practice Quizzes,9,Afternoon,English/Amharic,Timed simulations
Yared Girma,A,https://www.geeksforgeeks.org/digital-electronics-logic-design-tutorials/,Spaced Repetition,18,Afternoon,English/Amharic,Practiced past exams
KedirTewodros Hailu,A,https://www.tutorialspoint.com/digital-electronics/index.htm,Flashcards,11,Night,English/Amharic,Used Anki flashcards
Lidia Assefa,A,https://www.youtube.com/@J1432,Video Summaries,9,Night,English/Amharic,Focused on documentaries
Abiy Shimuye,A+,https://www.youtube.com/@nesoacademy,Group Study,9,Morning,English/Amharic,Practiced past exams
Nahom Seid,A+,https://mrcet.com/downloads/digital_notes/IT/DIGITAL%20LOGIC%20DESIGN%20(R17A0461).pdf,Peer Teaching,12,Night,English/Amharic,Focused on documentaries
Seyoum Abebe,A+,https://www.tpointtech.com/digital-electronics,Flashcards,16,Evening,English/Amharic,Used Anki flashcards
Kiros weldehawaryat,A+,https://www.youtube.com/@basemedia3578,Mind Mapping,17,Evening,English/Amharic,Focused on documentaries
Seyoum Jenberu,A+,https://www.youtube.com/@J1432,Mind Mapping,7,Morning,English/Amharic,Analyzed case studies
Sofia Mekonnen,A+,https://www.youtube.com/@rajamuzammilmuneer,Self-Testing,9,Morning,English/Amharic,Timed simulations
Belay Shimuye,A+,https://www.youtube.com/@TutorialsPoint_,Spaced Repetition,7,Night,English/Amharic,Practiced past exams
Rahel Jenberu,A+,https://www.youtube.com/@davidblack-schaffer219,Spaced Repetition,11,Morning,English/Amharic,Analyzed case studies
