Name,Grade,Gender,Recommended Channel/Link,Learning Strategy,Study Hours Per Week,Preferred Study Time,Language of Instruction,Additional Notes
Driba Worku,A+,Male,https://www.youtube.com/@Trevtutor,Case Studies,14,Evening,English/Amharic,Analyzed case studies
Samuel Asrat,A+,Female,https://www.youtube.com/@MyLesson007,Group Study,7,Afternoon,English/Amharic,Joined online study groups
Chala Hailu,A+,Female,https://www.codecademy.com/learn/discrete-math,Flashcards,5,Night,English/Amharic,Drew diagrams
Abebe Jenberu,A+,Male,https://www.youtube.com/@zachstar,Practice Quizzes,16,Evening,English/Amharic,Practiced past exams
Mohammed Assefa,A+,Male,https://www.youtube.com/@MalikShahzaibOfficial,Case Studies,6,Night,English/Amharic,Timed simulations
Kalkidan Mekonnen,A,Female,https://www.youtube.com/@Trevtutor,Mind Mapping,8,Night,English/Amharic,Analyzed case studies
Abebe weldehawaryat,A,Female,https://www.youtube.com/@Fireship,Peer Teaching,6,Night,English/Amharic,Practiced past exams
Chala Lemma,A,Female,https://www.youtube.com/@DrTrefor,Mind Mapping,14,Night,English/Amharic,Focused on documentaries
Birtukan Kebede,A+,Female,https://www.tutorialspoint.com/discrete_mathematics/index.htm,Group Study,18,Evening,English/Amharic,Timed simulations
Ruth Seid,A+,Male,https://www.youtube.com/@Trevtutor,Group Study,14,Morning,English/Amharic,Timed simulations
Yared Worku,A,Male,https://www.youtube.com/@freecodecamp,Self-Testing,12,Morning,English/Amharic,Wrote summaries
Mulugeta Asrat,A,Female,https://www.youtube.com/@SawFinMath,Practice Quizzes,5,Evening,English/Amharic,Joined online study groups
Temesgen Amare,A+,Female,https://www.youtube.com/@freecodecamp,Self-Testing,12,Night,English/Amharic,Focused on documentaries
Kiros Seid,A,Female,https://www.youtube.com/@MyLesson007,Flashcards,7,Night,English/Amharic,Wrote summaries
Mulat Tesfaye,A+,Male,https://www.tutorialspoint.com/discrete_mathematics/index.htm,Practice Quizzes,5,Morning,English/Amharic,Analyzed case studies
Kalkidan Amare,A,Male,https://www.tutorialspoint.com/discrete_mathematics/index.htm,Practice Quizzes,19,Night,English/Amharic,Analyzed case studies
Marta Kebede,A+,Male,https://www.youtube.com/@freecodecamp,Peer Teaching,17,Night,English/Amharic,Analyzed case studies
Zelalem Getachew,A+,Female,https://www.youtube.com/@MalikShahzaibOfficial,Flashcards,10,Night,English/Amharic,Practiced past exams
Lidia Asrat,A,Male,https://www.youtube.com/@Ekeeda,Self-Testing,11,Afternoon,English/Amharic,Used Anki flashcards
Meklit Tadesse,A+,Male,https://www.youtube.com/@DrTrefor,Group Study,15,Morning,English/Amharic,Joined online study groups
Kiros Fentaw,A,Female,https://www.tutorialspoint.com/discrete_mathematics/index.htm,Video Summaries,12,Morning,English/Amharic,Practiced past exams
Marta Jenberu,A,Female,https://www.geeksforgeeks.org/discrete-mathematics-tutorial/,Case Studies,6,Evening,English/Amharic,Used Anki flashcards
Girmay Jenberu,A+,Male,https://www.youtube.com/@Fireship,Mind Mapping,6,Night,English/Amharic,Drew diagrams
Tsehay Assefa,A,Male,https://www.youtube.com/@SawFinMath,Mind Mapping,9,Night,English/Amharic,Drew diagrams
Mihret Kebede,A,Female,https://www.youtube.com/@5MinutesEngineering,Spaced Repetition,19,Afternoon,English/Amharic,Wrote summaries
KedirTewodros Getachew,A+,Male,https://www.tutorialspoint.com/discrete_mathematics/index.htm,Spaced Repetition,13,Night,English/Amharic,Drew diagrams
Nahom Tesfaye,A+,Male,https://www.youtube.com/@kangmoabel,Practice Quizzes,14,Evening,English/Amharic,Color-coded notes
Tigist Amare,A,Male,https://www.youtube.com/@MyLesson007,Case Studies,6,Night,English/Amharic,Used Anki flashcards
Samuel Mekonnen,A+,Female,https://www.youtube.com/@zachstar,Practice Quizzes,11,Night,English/Amharic,Timed simulations
Abiy Jenberu,A,Female,https://www.geeksforgeeks.org/discrete-mathematics-tutorial/,Flashcards,9,Night,English/Amharic,Analyzed case studies
Yohannes Zinabu,A,Female,https://www.codecademy.com/learn/discrete-math,Practice Quizzes,8,Night,English/Amharic,Drew diagrams
Kiros Asrat,A+,Female,https://www.youtube.com/@DrTrefor,Group Study,8,Afternoon,English/Amharic,Color-coded notes
Kebede Tesfaye,A+,Female,https://www.codecademy.com/learn/discrete-math,Mind Mapping,6,Afternoon,English/Amharic,Color-coded notes
Nahom Zinabu,A,Female,https://www.youtube.com/@Fireship,Flashcards,8,Night,English/Amharic,Wrote summaries
Dawit Tesfaye,A+,Male,https://www.codecademy.com/learn/discrete-math,Practice Quizzes,10,Evening,English/Amharic,Drew diagrams
Jemal Lemma,A+,Male,https://www.youtube.com/@DrTrefor,Group Study,15,Evening,English/Amharic,Focused on documentaries
Senait Abebe,A+,Female,https://www.youtube.com/@Fireship,Flashcards,16,Morning,English/Amharic,Color-coded notes
Sofia Tesfaye,A+,Female,https://www.youtube.com/@Fireship,Flashcards,10,Evening,English/Amharic,Timed simulations
Girmay Jenberu,A+,Male,https://www.youtube.com/@SawFinMath,Spaced Repetition,8,Evening,English/Amharic,Joined online study groups
Mihret Abebe,A,Female,https://www.youtube.com/@nesoacademy,Self-Testing,14,Evening,English/Amharic,Drew diagrams
Mohammed weldehawaryat,A,Female,https://www.codecademy.com/learn/discrete-math,Video Summaries,11,Afternoon,English/Amharic,Focused on documentaries
Marta Jenberu,A+,Male,https://www.youtube.com/@5MinutesEngineering,Video Summaries,11,Morning,English/Amharic,Analyzed case studies
Marta Tesfaye,A,Female,https://www.youtube.com/@kachikacademy,Case Studies,13,Night,English/Amharic,Practiced past exams
Meklit weldehawaryat,A+,Female,https://www.geeksforgeeks.org/discrete-mathematics-tutorial/,Practice Quizzes,11,Evening,English/Amharic,Focused on documentaries
Chala Fentaw,A+,Male,https://www.geeksforgeeks.org/discrete-mathematics-tutorial/,Video Summaries,14,Afternoon,English/Amharic,Drew diagrams
Marta Shimuye,A+,Female,https://www.youtube.com/@5MinutesEngineering,Flashcards,5,Night,English/Amharic,Joined online study groups
Abebe Hailu,A+,Female,https://www.youtube.com/@DrTrefor,Peer Teaching,18,Evening,English/Amharic,Color-coded notes
Ruth Seid,A+,Female,https://www.youtube.com/@zachstar,Practice Quizzes,5,Night,English/Amharic,Color-coded notes
Bethel Assefa,A,Female,https://www.youtube.com/@freecodecamp,Self-Testing,16,Morning,English/Amharic,Used Anki flashcards
Meklit Worku,A,Female,https://www.youtube.com/@DrTrefor,Self-Testing,12,Morning,English/Amharic,Joined online study groups
Meklit Seid,A+,Female,https://www.tutorialspoint.com/discrete_mathematics/index.htm,Flashcards,10,Morning,English/Amharic,Analyzed case studies
Mohammed Hailu,A+,Male,https://www.youtube.com/@Trevtutor,Video Summaries,13,Morning,English/Amharic,Joined online study groups
Mekonnen Jenberu,A,Female,https://www.youtube.com/@kangmoabel,Flashcards,16,Night,English/Amharic,Joined online study groups
Driba Kebede,A,Female,https://www.youtube.com/@Trevtutor,Case Studies,14,Afternoon,English/Amharic,Drew diagrams
KedirTewodros Kebede,A,Male,https://www.youtube.com/@zachstar,Practice Quizzes,14,Night,English/Amharic,Used Anki flashcards
KedirTewodros Tadesse,A,Female,https://www.codecademy.com/learn/discrete-math,Case Studies,6,Morning,English/Amharic,Practiced past exams
Mulugeta Hailu,A,Female,https://www.youtube.com/@Fireship,Spaced Repetition,17,Evening,English/Amharic,Joined online study groups
Eden Tesfaye,A+,Female,https://www.youtube.com/@zachstar,Mind Mapping,17,Evening,English/Amharic,Focused on documentaries
Seyoum Jenberu,A+,Male,https://www.youtube.com/@zachstar,Mind Mapping,7,Morning,English/Amharic,Analyzed case studies
Sofia Mekonnen,A+,Male,https://www.youtube.com/@MyLesson007,Peer Teaching,13,Morning,English/Amharic,Timed simulations
Belay Shimuye,A+,Female,https://www.codecademy.com/learn/discrete-math,Practice Quizzes,5,Evening,English/Amharic,Practiced past exams
Rahel Jenberu,A+,Female,https://www.youtube.com/@freecodecamp,Flashcards,16,Morning,English/Amharic,Analyzed case studies
Abel Tesfaye,A,Male,https://www.youtube.com/@Fireship,Peer Teaching,13,Afternoon,English/Amharic,Color-coded notes
Marta Kebede,A,Male,https://www.youtube.com/@SawFinMath,Self-Testing,11,Night,English/Amharic,Practiced past exams
Zewditu Worku,A,Male,https://www.youtube.com/@SawFinMath,Self-Testing,8,Evening,English/Amharic,Joined online study groups
Belay Seid,A+,Male,https://www.youtube.com/@Trevtutor,Case Studies,18,Evening,English/Amharic,Joined online study groups
Seyoum Asrat,A+,Male,https://www.youtube.com/@Ekeeda,Self-Testing,14,Afternoon,English/Amharic,Used Anki flashcards
Hagos Amare,A+,Female,https://www.youtube.com/@zachstar,Self-Testing,6,Evening,English/Amharic,Focused on documentaries
KedirTewodros Assefa,A,Female,https://www.codecademy.com/learn/discrete-math,Spaced Repetition,10,Night,English/Amharic,Used Anki flashcards
Dawit Tadesse,A+,Female,https://www.youtube.com/@Ekeeda,Practice Quizzes,17,Night,English/Amharic,Drew diagrams
Driba Shimuye,A+,Male,https://www.geeksforgeeks.org/discrete-mathematics-tutorial/,Practice Quizzes,17,Morning,English/Amharic,Focused on documentaries
Bethel weldehawaryat,A,Male,https://www.youtube.com/@freecodecamp,Spaced Repetition,7,Morning,English/Amharic,Timed simulations
Marta Abebe,A,Female,https://www.youtube.com/@zachstar,Flashcards,10,Morning,English/Amharic,Joined online study groups
Belay Tesfaye,A+,Male,https://www.youtube.com/@nesoacademy,Self-Testing,5,Afternoon,English/Amharic,Used Anki flashcards
Sewit Tesfaye,A+,Male,https://www.youtube.com/@5MinutesEngineering,Group Study,10,Night,English/Amharic,Wrote summaries
Bethel weldehawaryat,A,Female,https://www.youtube.com/@zachstar,Group Study,14,Night,English/Amharic,Focused on documentaries
Bethel Assefa,A+,Female,https://www.youtube.com/@5MinutesEngineering,Video Summaries,19,Morning,English/Amharic,Timed simulations
Kiros Tadesse,A+,Male,https://www.youtube.com/@kachikacademy,Practice Quizzes,17,Afternoon,English/Amharic,Focused on documentaries
Zelalem Assefa,A+,Female,https://www.youtube.com/@zachstar,Group Study,18,Afternoon,English/Amharic,Joined online study groups
Kiros Abebe,A+,Male,https://www.youtube.com/@Fireship,Flashcards,14,Evening,English/Amharic,Timed simulations
Mulat Jenberu,A+,Female,https://www.youtube.com/@MalikShahzaibOfficial,Practice Quizzes,19,Morning,English/Amharic,Joined online study groups
Kebede Lemma,A+,Male,https://www.tutorialspoint.com/discrete_mathematics/index.htm,Flashcards,10,Evening,English/Amharic,Joined online study groups
Tsehay Assefa,A+,Female,https://www.youtube.com/@zachstar,Practice Quizzes,5,Morning,English/Amharic,Timed simulations
Jemal Abebe,A+,Male,https://www.youtube.com/@kangmoabel,Spaced Repetition,5,Night,English/Amharic,Focused on documentaries
Bethel weldehawaryat,A,Female,https://www.youtube.com/@nesoacademy,Video Summaries,10,Evening,English/Amharic,Focused on documentaries
Eden Abebe,A+,Male,https://www.geeksforgeeks.org/discrete-mathematics-tutorial/,Self-Testing,5,Night,English/Amharic,Analyzed case studies
Hana Assefa,A+,Female,https://www.youtube.com/@5MinutesEngineering,Practice Quizzes,11,Afternoon,English/Amharic,Focused on documentaries
Hagos Mekonnen,A+,Female,https://www.tutorialspoint.com/discrete_mathematics/index.htm,Practice Quizzes,19,Afternoon,English/Amharic,Practiced past exams
Hagos Abebe,A+,Female,https://www.geeksforgeeks.org/discrete-mathematics-tutorial/,Case Studies,14,Evening,English/Amharic,Used Anki flashcards
KedirTewodros Kebede,A+,Male,https://www.youtube.com/@zachstar,Spaced Repetition,16,Night,English/Amharic,Wrote summaries
KedirTewodros Getachew,A+,Female,https://www.youtube.com/@kachikacademy,Practice Quizzes,19,Morning,English/Amharic,Analyzed case studies
Nahom Asrat,A,Female,https://www.youtube.com/@kangmoabel,Group Study,8,Night,English/Amharic,Timed simulations
Mohammed Tesfaye,A+,Female,https://www.youtube.com/@nesoacademy,Practice Quizzes,7,Morning,English/Amharic,Joined online study groups
Rahel Shimuye,A,Male,https://www.youtube.com/@DrTrefor,Spaced Repetition,9,Morning,English/Amharic,Focused on documentaries
Marta Girma,A,Male,https://www.youtube.com/@MalikShahzaibOfficial,Self-Testing,19,Morning,English/Amharic,Drew diagrams
Mekonnen Asrat,A+,Male,https://www.youtube.com/@Fireship,Peer Teaching,5,Night,English/Amharic,Used Anki flashcards
Seyoum Worku,A+,Female,https://www.youtube.com/@DrTrefor,Case Studies,18,Night,English/Amharic,Focused on documentaries
Atnafu Girma,A,Male,https://www.youtube.com/@freecodecamp,Practice Quizzes,19,Evening,English/Amharic,Focused on documentaries
Hagos Tesfaye,A,Female,https://www.youtube.com/@MalikShahzaibOfficial,Case Studies,9,Night,English/Amharic,Analyzed case studies
Ephrem Amare,A,Female,https://www.youtube.com/@Ekeeda,Self-Testing,5,Morning,English/Amharic,Practiced past exams
Yemesrach Kebede,A,Male,https://www.youtube.com/@kachikacademy,Mind Mapping,19,Night,English/Amharic,Drew diagrams
Genet Worku,A+,Male,https://www.youtube.com/@Ekeeda,Practice Quizzes,14,Morning,English/Amharic,Joined online study groups
Selamawit Getachew,A,Male,https://www.youtube.com/@kachikacademy,Video Summaries,9,Morning,English/Amharic,Used Anki flashcards
Sewit Lemma,A,Female,https://www.youtube.com/@kangmoabel,Group Study,11,Morning,English/Amharic,Analyzed case studies
Mohammed Fentaw,A,Male,https://www.youtube.com/@kangmoabel,Group Study,19,Afternoon,English/Amharic,Focused on documentaries
Tigist Asrat,A+,Female,https://www.youtube.com/@DrTrefor,Spaced Repetition,18,Night,English/Amharic,Drew diagrams
Zelalem Getachew,A+,Female,https://www.youtube.com/@zachstar,Practice Quizzes,17,Night,English/Amharic,Joined online study groups
Selamawit Kebede,A+,Male,https://www.youtube.com/@kangmoabel,Spaced Repetition,16,Evening,English/Amharic,Used Anki flashcards
Marta Girma,A,Male,https://www.geeksforgeeks.org/discrete-mathematics-tutorial/,Peer Teaching,17,Evening,English/Amharic,Color-coded notes
Kiros Lemma,A,Female,https://www.youtube.com/@Trevtutor,Case Studies,14,Night,English/Amharic,Focused on documentaries
Abel weldehawaryat,A+,Male,https://www.tutorialspoint.com/discrete_mathematics/index.htm,Flashcards,13,Morning,English/Amharic,Timed simulations
Samuel Worku,A+,Male,https://www.youtube.com/@SawFinMath,Spaced Repetition,9,Afternoon,English/Amharic,Focused on documentaries
Kalkidan Asrat,A+,Female,https://www.youtube.com/@SawFinMath,Practice Quizzes,5,Night,English/Amharic,Drew diagrams
Yared weldehawaryat,A+,Male,https://www.geeksforgeeks.org/discrete-mathematics-tutorial/,Practice Quizzes,9,Morning,English/Amharic,Joined online study groups
Zewditu Girma,A+,Female,https://www.youtube.com/@MalikShahzaibOfficial,Self-Testing,6,Night,English/Amharic,Wrote summaries
Driba weldehawaryat,A,Male,https://www.youtube.com/@kachikacademy,Video Summaries,5,Evening,English/Amharic,Used Anki flashcards
Yemesrach Jenberu,A+,Male,https://www.youtube.com/@nesoacademy,Flashcards,12,Night,English/Amharic,Color-coded notes
Driba Fentaw,A+,Male,https://www.youtube.com/@freecodecamp,Practice Quizzes,12,Afternoon,English/Amharic,Practiced past exams
Hana Worku,A+,Female,https://www.geeksforgeeks.org/discrete-mathematics-tutorial/,Case Studies,15,Night,English/Amharic,Drew diagrams
Kiros Assefa,A+,Male,https://www.geeksforgeeks.org/discrete-mathematics-tutorial/,Peer Teaching,10,Afternoon,English/Amharic,Joined online study groups
Birtukan Abebe,A,Male,https://www.tutorialspoint.com/discrete_mathematics/index.htm,Peer Teaching,17,Night,English/Amharic,Practiced past exams
Hana weldehawaryat,A,Male,https://www.youtube.com/@kangmoabel,Mind Mapping,15,Evening,English/Amharic,Color-coded notes
Zelalem Kebede,A+,Male,https://www.youtube.com/@5MinutesEngineering,Flashcards,8,Evening,English/Amharic,Wrote summaries
Hagos Lemma,A+,Male,https://www.youtube.com/@zachstar,Group Study,18,Afternoon,English/Amharic,Timed simulations
Kiros Worku,A+,Male,https://www.youtube.com/@Ekeeda,Peer Teaching,8,Morning,English/Amharic,Wrote summaries
Girmay weldehawaryat,A+,Male,https://www.youtube.com/@Ekeeda,Self-Testing,10,Evening,English/Amharic,Wrote summaries
Fikirte Asrat,A+,Female,https://www.youtube.com/@Trevtutor,Flashcards,14,Afternoon,English/Amharic,Practiced past exams
Tsehay Abebe,A+,Male,https://www.youtube.com/@SawFinMath,Group Study,19,Morning,English/Amharic,Timed simulations
Sewit Zinabu,A,Male,https://www.youtube.com/@Trevtutor,Self-Testing,7,Evening,English/Amharic,Practiced past exams
Yemesrach Asrat,A+,Male,https://www.youtube.com/@nesoacademy,Mind Mapping,15,Morning,English/Amharic,Color-coded notes
Mulugeta Amare,A,Male,https://www.youtube.com/@MyLesson007,Spaced Repetition,5,Morning,English/Amharic,Drew diagrams
Marta Mekonnen,A+,Male,https://www.youtube.com/@Fireship,Peer Teaching,13,Morning,English/Amharic,Practiced past exams
Mulat weldehawaryat,A+,Male,https://www.codecademy.com/learn/discrete-math,Case Studies,7,Evening,English/Amharic,Wrote summaries
Zewditu Jenberu,A,Female,https://www.codecademy.com/learn/discrete-math,Group Study,7,Afternoon,English/Amharic,Used Anki flashcards
Kalkidan Fentaw,A+,Female,https://www.youtube.com/@DrTrefor,Spaced Repetition,6,Afternoon,English/Amharic,Drew diagrams
