Name,Grade,Gender,Recommended Channel/Link,Learning Strategy,Study Hours Per Week,Preferred Study Time,Language of Instruction,Additional Notes
Abebe Worku,A+,Male,https://www.youtube.com/@Av_Media_Offical,Case Studies,14,Evening,English/Amharic,Analyzed case studies
Kalkidan Asrat,A+,Female,https://www.youtube.com/@ManayeAdela,Group Study,7,Afternoon,English/Amharic,Joined online study groups
Tewodros Hailu,A+,Female,https://www.youtube.com/@TutorialsPoint_,Flashcards,5,Night,English/Amharic,Drew diagrams
Marta Jenberu,A+,Male,https://www.youtube.com/@fortinoacademics,Practice Quizzes,16,Evening,English/Amharic,Practiced past exams
Selamawit Assefa,A+,Male,https://www.youtube.com/@AplusEthiopia,Case Studies,6,Night,English/Amharic,Timed simulations
Ephrem Mekonnen,A,Female,https://www.youtube.com/@Av_Media_Offical,Mind Mapping,8,Night,English/Amharic,Analyzed case studies
Marta weldehawaryat,A,Female,https://www.youtube.com/@Campushandout,Peer Teaching,6,Night,English/Amharic,Practiced past exams
Tewodros Lemma,A,Female,https://www.youtube.com/@EthioECEAcadamy,Mind Mapping,14,Night,English/Amharic,Focused on documentaries
Abel Kebede,A+,Female,https://www.youtube.com/@ManayeAdela,Case Studies,16,Morning,English/Amharic,Wrote summaries
Mulugeta Seid,A+,Male,https://www.youtube.com/@Av_Media_Offical,Group Study,14,Morning,English/Amharic,Timed simulations
Mihret Worku,A,Male,https://www.youtube.com/@Kookeeftube,Self-Testing,12,Morning,English/Amharic,Wrote summaries
Kassa Asrat,A,Female,https://www.youtube.com/@crashcourse,Practice Quizzes,5,Evening,English/Amharic,Joined online study groups
Mekonnen Amare,A+,Female,https://www.youtube.com/@Kookeeftube,Self-Testing,12,Night,English/Amharic,Focused on documentaries
Bela Seid,A,Female,https://www.youtube.com/@ManayeAdela,Flashcards,7,Night,English/Amharic,Wrote summaries
Yemesrach Tesfaye,A+,Male,https://www.youtube.com/@crashcourse,Spaced Repetition,9,Afternoon,English/Amharic,Analyzed case studies
Ephrem Amare,A,Male,https://www.youtube.com/@fortinoacademics,Practice Quizzes,19,Night,English/Amharic,Analyzed case studies
Seyoum Kebede,A+,Male,https://www.youtube.com/@Kookeeftube,Peer Teaching,17,Night,English/Amharic,Analyzed case studies
Yemesrach Getachew,A+,Female,https://www.youtube.com/@AplusEthiopia,Flashcards,10,Night,English/Amharic,Practiced past exams
Kiros Asrat,A,Male,https://www.youtube.com/@TutorialsPoint_,Self-Testing,11,Afternoon,English/Amharic,Used Anki flashcards
Meklit Tadesse,A+,Male,https://www.youtube.com/@EthioECEAcadamy,Group Study,15,Morning,English/Amharic,Joined online study groups
Bela Fentaw,A,Female,https://www.youtube.com/@TED,Video Summaries,12,Morning,English/Amharic,Practiced past exams
Hana Amare,A+,Male,https://www.youtube.com/@Av_Media_Offical,Spaced Repetition,12,Morning,English/Amharic,Used Anki flashcards
Tewodros Getachew,A+,Male,https://www.youtube.com/@Av_Media_Offical,Spaced Repetition,5,Evening,English/Amharic,Focused on documentaries
Marta Lemma,A,Female,https://www.youtube.com/@Kookeeftube,Group Study,15,Morning,English/Amharic,Drew diagrams
Kassa Assefa,A+,Female,https://www.youtube.com/@EthioECEAcadamy,Spaced Repetition,13,Night,English/Amharic,Drew diagrams
Zewditu Tesfaye,A+,Male,https://www.youtube.com/@mella_tutorials,Practice Quizzes,14,Evening,English/Amharic,Color-coded notes
Tsehay Amare,A,Male,https://www.youtube.com/@ManayeAdela,Case Studies,6,Night,English/Amharic,Used Anki flashcards
Kalkidan Mekonnen,A+,Female,https://www.youtube.com/@fortinoacademics,Practice Quizzes,11,Night,English/Amharic,Timed simulations
Tewodros Abebe,A,Female,https://www.youtube.com/@Av_Media_Offical,Flashcards,15,Evening,English/Amharic,Timed simulations
Jemal Tesfaye,A+,Female,https://www.youtube.com/@crashcourse,Peer Teaching,12,Afternoon,English/Amharic,Wrote summaries
Bela Asrat,A+,Female,https://www.youtube.com/@EthioECEAcadamy,Group Study,8,Afternoon,English/Amharic,Color-coded notes
Sewit Tesfaye,A+,Female,https://www.youtube.com/@mitocw,Mind Mapping,10,Evening,English/Amharic,Timed simulations
Fikirte Abebe,A,Female,https://www.youtube.com/@Av_Media_Offical,Peer Teaching,12,Night,English/Amharic,Wrote summaries
Birtukan Tesfaye,A+,Male,https://www.youtube.com/@TutorialsPoint_,Practice Quizzes,10,Evening,English/Amharic,Drew diagrams
Zelalem Lemma,A+,Male,https://www.youtube.com/@EthioECEAcadamy,Group Study,15,Evening,English/Amharic,Focused on documentaries
Mulugeta Abebe,A+,Female,https://www.youtube.com/@Campushandout,Flashcards,16,Morning,English/Amharic,Color-coded notes
Dawit Tesfaye,A+,Female,https://www.youtube.com/@Campushandout,Flashcards,10,Evening,English/Amharic,Timed simulations
Temesgen Jenberu,A+,Male,https://www.youtube.com/@crashcourse,Spaced Repetition,8,Evening,English/Amharic,Joined online study groups
Seyoum Abebe,A,Female,https://www.youtube.com/@mitocw,Self-Testing,14,Evening,English/Amharic,Drew diagrams
Selamawit weldehawaryat,A,Female,https://www.youtube.com/@EthioECEAcadamy,Case Studies,6,Evening,English/Amharic,Focused on documentaries
Yared Jenberu,A+,Male,https://www.youtube.com/@TED,Video Summaries,11,Morning,English/Amharic,Analyzed case studies
Yared Tesfaye,A,Female,https://www.youtube.com/@TutorialsPoint_,Case Studies,13,Night,English/Amharic,Practiced past exams
Meklit weldehawaryat,A+,Female,https://www.youtube.com/@TutorialsPoint_,Practice Quizzes,11,Evening,English/Amharic,Focused on documentaries
Tewodros Fentaw,A+,Male,https://www.youtube.com/@EthioECEAcadamy,Video Summaries,5,Night,English/Amharic,Drew diagrams
Rahel Asrat,A,Male,https://www.youtube.com/@ManayeAdela,Flashcards,16,Night,English/Amharic,Joined online study groups
Abebe Kebede,A+,Female,https://www.youtube.com/@mella_tutorials,Practice Quizzes,11,Night,English/Amharic,Practiced past exams
Zewditu Tadesse,A+,Female,https://www.youtube.com/@crashcourse,Spaced Repetition,12,Evening,English/Amharic,Color-coded notes
Sifan Assefa,A,Female,https://www.youtube.com/@Kookeeftube,Self-Testing,16,Morning,English/Amharic,Used Anki flashcards
Meklit Worku,A,Female,https://www.youtube.com/@EthioECEAcadamy,Self-Testing,12,Morning,English/Amharic,Joined online study groups
