Name,Grade,Recommended Channel/Link,Learning Strategy,Study Hours Per Week,Preferred Study Time,Language of Instruction,Additional Notes
Driba Worku,A+,https://www.youtube.com/@8Kexperience,Flashcards,11,Afternoon,English/Amharic,Color-coded notes
Tsehay Asrat,A+,https://www.youtube.com/@TechPrimers,Peer Teaching,12,Night,English/Amharic,Color-coded notes
Mulat Getachew,A+,https://www.geeksforgeeks.org/what-is-the-event-driven-programming-paradigm/,Video Summaries,6,Night,English/Amharic,Joined online study groups
Kiros Hailu,A+,https://www.youtube.com/@8Kexperience,Self-Testing,5,Evening,English/Amharic,Color-coded notes
Abebe Tesfaye,A+,https://www.youtube.com/@IBMTechnology,Flashcards,13,Evening,English/Amharic,Focused on documentaries
Sofia Girma,A+,https://www.youtube.com/@CodeWithNakov,Flashcards,6,Night,English/Amharic,Analyzed case studies
Abebe weldehawaryat,A,https://www.geeksforgeeks.org/what-is-the-event-driven-programming-paradigm/,Spaced Repetition,8,Afternoon,English/Amharic,Wrote summaries
Sofia Getachew,A+,https://www.youtube.com/@TV47Kenya,Peer Teaching,10,Morning,English/Amharic,Focused on documentaries
Marta Hailu,A+,https://www.geeksforgeeks.org/what-is-the-event-driven-programming-paradigm/,Peer Teaching,18,Evening,English/Amharic,Wrote summaries
Kalkidan weldehawaryat,A+,https://www.youtube.com/@8Kexperience,Mind Mapping,19,Morning,English/Amharic,Wrote summaries
Marta Tadesse,A,https://www.tutorialspoint.com/concurrency_in_python/concurrency_in_python_eventdriven_programming.htm,Spaced Repetition,13,Evening,English/Amharic,Timed simulations
Mulugeta Abebe,A,https://www.youtube.com/@TeacherStanmore,Practice Quizzes,5,Night,English/Amharic,Color-coded notes
Seyoum Abebe,A+,https://www.youtube.com/@freecodecamp,Case Studies,14,Morning,English/Amharic,Analyzed case studies
Yohannes weldehawaryat,A+,https://www.youtube.com/@dagnewalle8591,Case Studies,11,Afternoon,English/Amharic,Wrote summaries
Girmay Tesfaye,A+,https://www.youtube.com/@TV47Kenya,Practice Quizzes,5,Evening,English/Amharic,Joined online study groups
Mekonnen Girma,A+,https://www.youtube.com/@TechPrimers,Case Studies,19,Afternoon,English/Amharic,Analyzed case studies
Kassa Zinabu,A+,https://www.youtube.com/@freecodecamp,Practice Quizzes,19,Night,English/Amharic,Analyzed case studies
Marta Kebede,A+,https://www.youtube.com/@IBMTechnology,Case Studies,17,Evening,English/Amharic,Practiced past exams
Abel Amare,A,https://www.youtube.com/@TV47Kenya,Mind Mapping,14,Morning,English/Amharic,Timed simulations
Sewit Lemma,A+,https://www.youtube.com/@eventmodeling,Peer Teaching,18,Afternoon,English/Amharic,Analyzed case studies
Bethel Amare,A+,https://www.youtube.com/@dagnewalle8591,Self-Testing,15,Afternoon,English/Amharic,Timed simulations
Abiy Tadesse,A+,https://www.youtube.com/@IBMTechnology,Video Summaries,12,Evening,English/Amharic,Timed simulations
Girmay Abebe,A,https://www.youtube.com/@eventmodeling,Group Study,19,Evening,English/Amharic,Drew diagrams
Mihret Zinabu,A+,https://www.geeksforgeeks.org/what-is-the-event-driven-programming-paradigm/,Spaced Repetition,14,Night,English/Amharic,Analyzed case studies
Chala Tesfaye,A,https://www.youtube.com/@dagnewalle8591,Group Study,5,Evening,English/Amharic,Used Anki flashcards
Chala Getachew,A+,https://www.youtube.com/@IBMTechnology,Flashcards,5,Morning,English/Amharic,Color-coded notes
Chala Hailu,A+,https://www.youtube.com/@TV47Kenya,Case Studies,8,Evening,English/Amharic,Wrote summaries
Ephrem Lemma,A,https://www.youtube.com/@satbekabdyldayev3398,Mind Mapping,10,Afternoon,English/Amharic,Used Anki flashcards
Yohannes Lemma,A+,https://www.youtube.com/@StateMachineCOM,Peer Teaching,16,Evening,English/Amharic,Practiced past exams
Zewditu Tesfaye,A+,https://www.youtube.com/@satbekabdyldayev3398,Case Studies,8,Morning,English/Amharic,Used Anki flashcards
Ruth Amare,A+,https://www.youtube.com/@dagnewalle8591,Self-Testing,13,Afternoon,English/Amharic,Analyzed case studies
Sifan Shimuye,A,https://www.youtube.com/@eventmodeling,Self-Testing,8,Night,English/Amharic,Used Anki flashcards
Chala Abebe,A,https://www.youtube.com/@eventmodeling,Flashcards,9,Night,English/Amharic,Analyzed case studies
Yohannes Zinabu,A,https://stack.convex.dev/event-driven-programming,Practice Quizzes,8,Night,English/Amharic,Drew diagrams
Kiros Asrat,A+,https://www.youtube.com/@satbekabdyldayev3398,Video Summaries,12,Night,English/Amharic,Color-coded notes
Kebede Tesfaye,A+,https://www.youtube.com/@mattelwood369,Mind Mapping,6,Afternoon,English/Amharic,Color-coded notes
Nahom Zinabu,A,https://www.youtube.com/@satbekabdyldayev3398,Spaced Repetition,18,Morning,English/Amharic,Practiced past exams
Frehiwot Amare,A+,https://stack.convex.dev/event-driven-programming,Spaced Repetition,16,Evening,English/Amharic,Color-coded notes
Mulat Girma,A+,https://www.youtube.com/@TV47Kenya,Practice Quizzes,10,Night,English/Amharic,Focused on documentaries
Senait Abebe,A+,https://stack.convex.dev/event-driven-programming,Spaced Repetition,9,Night,English/Amharic,Color-coded notes
Sofia Tesfaye,A+,https://stack.convex.dev/event-driven-programming,Spaced Repetition,16,Night,English/Amharic,Joined online study groups
Selamawit Tesfaye,A+,https://www.youtube.com/@TechPrimers,Group Study,17,Morning,English/Amharic,Joined online study groups
Sifan Tesfaye,A+,https://www.youtube.com/@satbekabdyldayev3398,Flashcards,11,Morning,English/Amharic,Color-coded notes
Rahel Shimuye,A+,https://www.youtube.com/@freecodecamp,Practice Quizzes,12,Afternoon,English/Amharic,Wrote summaries
Kidane Worku,A+,https://www.youtube.com/@mattelwood369,Mind Mapping,14,Morning,English/Amharic,Wrote summaries
Kiros Zinabu,A+,https://stack.convex.dev/event-driven-programming,Case Studies,17,Afternoon,English/Amharic,Analyzed case studies
Marta Tesfaye,A,https://www.youtube.com/@TeacherStanmore,Case Studies,13,Night,English/Amharic,Practiced past exams
Meklit weldehawaryat,A+,https://stack.convex.dev/event-driven-programming,Practice Quizzes,11,Evening,English/Amharic,Focused on documentaries
Chala Fentaw,A+,https://www.tutorialspoint.com/concurrency_in_python/concurrency_in_python_eventdriven_programming.htm,Video Summaries,14,Afternoon,English/Amharic,Drew diagrams
Marta Shimuye,A+,https://www.youtube.com/@TV47Kenya,Flashcards,5,Night,English/Amharic,Joined online study groups
Abebe Hailu,A+,https://www.youtube.com/@satbekabdyldayev3398,Video Summaries,17,Night,English/Amharic,Practiced past exams
Lidia Worku,A+,https://www.youtube.com/@TeacherStanmore,Peer Teaching,17,Afternoon,English/Amharic,Color-coded notes
Ephrem Fentaw,A+,https://www.youtube.com/@IBMTechnology,Flashcards,14,Morning,English/Amharic,Analyzed case studies
Yohannes Hailu,A+,https://www.youtube.com/@freecodecamp,Spaced Repetition,19,Afternoon,English/Amharic,Drew diagrams
Kebede weldehawaryat,A+,https://www.youtube.com/@dagnewalle8591,Case Studies,19,Morning,English/Amharic,Drew diagrams
Yared Tesfaye,A,https://stack.convex.dev/event-driven-programming,Practice Quizzes,9,Afternoon,English/Amharic,Timed simulations
Yared Girma,A,https://www.tutorialspoint.com/concurrency_in_python/concurrency_in_python_eventdriven_programming.htm,Spaced Repetition,18,Afternoon,English/Amharic,Practiced past exams
KedirTewodros Hailu,A,https://www.youtube.com/@freecodecamp,Flashcards,11,Night,English/Amharic,Used Anki flashcards
Lidia Assefa,A,https://www.youtube.com/@freecodecamp,Video Summaries,9,Night,English/Amharic,Focused on documentaries
Abiy Shimuye,A+,https://www.youtube.com/@freecodecamp,Spaced Repetition,12,Morning,English/Amharic,Practiced past exams
Nahom Seid,A+,https://www.youtube.com/@dagnewalle8591,Peer Teaching,12,Night,English/Amharic,Focused on documentaries
Seyoum Abebe,A+,https://www.youtube.com/@StateMachineCOM,Flashcards,16,Evening,English/Amharic,Used Anki flashcards
Kiros weldehawaryat,A+,https://www.youtube.com/@eventmodeling,Mind Mapping,17,Evening,English/Amharic,Focused on documentaries
Seyoum Jenberu,A+,https://www.youtube.com/@8Kexperience,Mind Mapping,7,Morning,English/Amharic,Analyzed case studies
Sofia Mekonnen,A+,https://www.youtube.com/@8Kexperience,Group Study,8,Morning,English/Amharic,Joined online study groups
Belay Shimuye,A+,https://www.youtube.com/@TeacherStanmore,Practice Quizzes,5,Evening,English/Amharic,Practiced past exams
Rahel Jenberu,A+,https://www.youtube.com/@TeacherStanmore,Case Studies,18,Night,English/Amharic,Joined online study groups
Eden Jenberu,A+,https://www.youtube.com/@IBMTechnology,Self-Testing,7,Morning,English/Amharic,Used Anki flashcards
Marta Seid,A,https://www.youtube.com/@8Kexperience,Practice Quizzes,5,Night,English/Amharic,Timed simulations
Zewditu Hailu,A,https://www.youtube.com/@eventmodeling,Peer Teaching,7,Afternoon,English/Amharic,Joined online study groups
KedirTewodros Tesfaye,A+,https://www.youtube.com/@satbekabdyldayev3398,Flashcards,8,Morning,English/Amharic,Analyzed case studies
Nahom Amare,A,https://www.youtube.com/@freecodecamp,Case Studies,18,Evening,English/Amharic,Joined online study groups
Seyoum Asrat,A+,https://www.tutorialspoint.com/concurrency_in_python/concurrency_in_python_eventdriven_programming.htm,Self-Testing,14,Afternoon,English/Amharic,Used Anki flashcards
Hagos Amare,A+,https://www.youtube.com/@TeacherStanmore,Self-Testing,6,Evening,English/Amharic,Focused on documentaries
KedirTewodros Assefa,A,https://www.youtube.com/@TeacherStanmore,Spaced Repetition,10,Night,English/Amharic,Used Anki flashcards
Dawit Tadesse,A+,https://www.youtube.com/@TV47Kenya,Practice Quizzes,17,Night,English/Amharic,Drew diagrams
Driba Shimuye,A+,https://www.youtube.com/@IBMTechnology,Practice Quizzes,17,Morning,English/Amharic,Focused on documentaries
Bethel weldehawaryat,A,https://www.youtube.com/@CodeWithNakov,Case Studies,5,Evening,English/Amharic,Timed simulations
Marta Abebe,A,https://www.youtube.com/@TV47Kenya,Flashcards,10,Morning,English/Amharic,Joined online study groups
Belay Tesfaye,A+,https://www.youtube.com/@CodeWithNakov,Mind Mapping,19,Morning,English/Amharic,Used Anki flashcards
Kalkidan Worku,A+,https://www.youtube.com/@TechPrimers,Video Summaries,10,Evening,English/Amharic,Analyzed case studies
Samuel Hailu,A+,https://stack.convex.dev/event-driven-programming,Group Study,10,Night,English/Amharic,Wrote summaries
Bethel weldehawaryat,A,https://www.youtube.com/@satbekabdyldayev3398,Group Study,14,Night,English/Amharic,Focused on documentaries
Bethel Assefa,A+,https://stack.convex.dev/event-driven-programming,Video Summaries,19,Morning,English/Amharic,Timed simulations
Kiros Tadesse,A+,https://www.youtube.com/@8Kexperience,Practice Quizzes,17,Afternoon,English/Amharic,Focused on documentaries
Zelalem Assefa,A+,https://www.youtube.com/@mattelwood369,Group Study,18,Afternoon,English/Amharic,Joined online study groups
Kiros Abebe,A+,https://www.tutorialspoint.com/concurrency_in_python/concurrency_in_python_eventdriven_programming.htm,Spaced Repetition,15,Morning,English/Amharic,Timed simulations
Mulat Jenberu,A+,https://www.youtube.com/@mattelwood369,Self-Testing,7,Evening,English/Amharic,Used Anki flashcards
Senait Seid,A,https://www.youtube.com/@eventmodeling,Spaced Repetition,9,Evening,English/Amharic,Joined online study groups
Hagos Tesfaye,A+,https://www.youtube.com/@TechPrimers,Flashcards,9,Afternoon,English/Amharic,Color-coded notes
Ephrem Girma,A,https://www.youtube.com/@dagnewalle8591,Practice Quizzes,17,Morning,English/Amharic,Practiced past exams
Meklit Jenberu,A+,https://www.youtube.com/@mattelwood369,Group Study,11,Afternoon,English/Amharic,Focused on documentaries
Mohammed Mekonnen,A+,https://www.youtube.com/@TV47Kenya,Flashcards,18,Afternoon,English/Amharic,Timed simulations
Ephrem Seid,A+,https://www.youtube.com/@IBMTechnology,Flashcards,9,Afternoon,English/Amharic,Focused on documentaries
Samuel Fentaw,A+,https://stack.convex.dev/event-driven-programming,Mind Mapping,10,Afternoon,English/Amharic,Focused on documentaries
Rahel Worku,A+,https://www.tutorialspoint.com/concurrency_in_python/concurrency_in_python_eventdriven_programming.htm,Mind Mapping,8,Morning,English/Amharic,Drew diagrams
Kiros Worku,A,https://www.youtube.com/@IBMTechnology,Practice Quizzes,5,Morning,English/Amharic,Practiced past exams
Birtukan Jenberu,A+,https://www.youtube.com/@eventmodeling,Peer Teaching,12,Morning,English/Amharic,Focused on documentaries
Selamawit Getachew,A,https://www.youtube.com/@freecodecamp,Practice Quizzes,19,Morning,English/Amharic,Analyzed case studies
