Name,Grade,Gender,Recommended Channel/Link,Learning Strategy,Study Hours Per Week,Preferred Study Time,Language of Instruction,Additional Notes
Abebe Worku,A+,Male,https://www.youtube.com/@freecodecamp,Case Studies,14,Evening,English/Amharic,Analyzed case studies
Kalkidan Asrat,A+,Female,https://www.youtube.com/@wscubetech,Group Study,7,Afternoon,English/Amharic,Joined online study groups
Tewodros Hailu,A+,Female,https://www.coursera.org/articles/what-is-machine-learning-engineer,Flashcards,5,Night,English/Amharic,Drew diagrams
Marta Jenberu,A+,Male,https://www.youtube.com/@IBMTechnology,Practice Quizzes,16,Evening,English/Amharic,Practiced past exams
Selamawit Assefa,A+,Male,https://www.youtube.com/@codebasics,Case Studies,6,Night,English/Amharic,Timed simulations
Ephrem Mekonnen,A,Female,https://www.youtube.com/@freecodecamp,Mind Mapping,8,Night,English/Amharic,Analyzed case studies
Marta weldehawaryat,A,Female,https://www.youtube.com/@programmingwithmosh,Peer Teaching,6,Night,English/Amharic,Practiced past exams
Tewodros Lemma,A,Female,https://www.youtube.com/@AyushSinghSh,Mind Mapping,14,Night,English/Amharic,Focused on documentaries
Abel Kebede,A+,Female,https://www.udemy.com/topic/machine-learning/?srsltid=AfmBOor-LWlFSt82-i6gZlBhUdOSKAYBrx1MdUvyNLQuUIFm54PQ0iwE,Group Study,18,Evening,English/Amharic,Timed simulations
Atnafu Seid,A+,Male,https://www.youtube.com/@freecodecamp,Group Study,14,Morning,English/Amharic,Timed simulations
Mihret Worku,A,Male,https://www.youtube.com/@stanfordonline,Self-Testing,12,Morning,English/Amharic,Wrote summaries
Kassa Asrat,A,Female,https://www.youtube.com/@krishnaik06,Practice Quizzes,5,Evening,English/Amharic,Joined online study groups
Mekonnen Amare,A+,Female,https://www.youtube.com/@stanfordonline,Self-Testing,12,Night,English/Amharic,Focused on documentaries
Bela Seid,A,Female,https://www.youtube.com/@wscubetech,Flashcards,7,Night,English/Amharic,Wrote summaries
Yemesrach Tesfaye,A+,Male,https://www.udemy.com/topic/machine-learning/?srsltid=AfmBOor-LWlFSt82-i6gZlBhUdOSKAYBrx1MdUvyNLQuUIFm54PQ0iwE,Practice Quizzes,5,Morning,English/Amharic,Analyzed case studies
Ephrem Amare,A,Male,https://www.udemy.com/topic/machine-learning/?srsltid=AfmBOor-LWlFSt82-i6gZlBhUdOSKAYBrx1MdUvyNLQuUIFm54PQ0iwE,Practice Quizzes,19,Night,English/Amharic,Analyzed case studies
Seyoum Kebede,A+,Male,https://www.youtube.com/@stanfordonline,Peer Teaching,17,Night,English/Amharic,Analyzed case studies
Yemesrach Getachew,A+,Female,https://www.youtube.com/@codebasics,Flashcards,10,Night,English/Amharic,Practiced past exams
Kiros Asrat,A,Male,https://www.coursera.org/articles/what-is-machine-learning-engineer,Self-Testing,11,Afternoon,English/Amharic,Used Anki flashcards
Meklit Tadesse,A+,Male,https://www.youtube.com/@AyushSinghSh,Group Study,15,Morning,English/Amharic,Joined online study groups
Bela Fentaw,A,Female,https://www.udemy.com/topic/machine-learning/?srsltid=AfmBOor-LWlFSt82-i6gZlBhUdOSKAYBrx1MdUvyNLQuUIFm54PQ0iwE,Video Summaries,12,Morning,English/Amharic,Practiced past exams
Hana Amare,A+,Male,https://www.youtube.com/@freecodecamp,Spaced Repetition,12,Morning,English/Amharic,Used Anki flashcards
Tewodros Getachew,A+,Male,https://www.youtube.com/@freecodecamp,Spaced Repetition,5,Evening,English/Amharic,Focused on documentaries
Marta Lemma,A,Female,https://www.youtube.com/@stanfordonline,Group Study,15,Morning,English/Amharic,Drew diagrams
Kassa Assefa,A+,Female,https://www.youtube.com/@AyushSinghSh,Spaced Repetition,13,Night,English/Amharic,Drew diagrams
Zewditu Tesfaye,A+,Male,https://www.youtube.com/@edurekaIN,Practice Quizzes,14,Evening,English/Amharic,Color-coded notes
Tsehay Amare,A,Male,https://www.youtube.com/@wscubetech,Case Studies,6,Night,English/Amharic,Used Anki flashcards
Kalkidan Mekonnen,A+,Female,https://www.youtube.com/@IBMTechnology,Practice Quizzes,11,Night,English/Amharic,Timed simulations
Tewodros Abebe,A,Female,https://www.youtube.com/@freecodecamp,Flashcards,15,Evening,English/Amharic,Timed simulations
Jemal Tesfaye,A+,Female,https://www.youtube.com/@krishnaik06,Peer Teaching,12,Afternoon,English/Amharic,Wrote summaries
Bela Asrat,A+,Female,https://www.youtube.com/@AyushSinghSh,Group Study,8,Afternoon,English/Amharic,Color-coded notes
Sewit Tesfaye,A+,Female,https://www.kaggle.com/learn/intro-to-machine-learning,Mind Mapping,6,Afternoon,English/Amharic,Color-coded notes
Zewditu Zinabu,A,Female,https://www.youtube.com/@programmingwithmosh,Flashcards,8,Night,English/Amharic,Wrote summaries
Birtukan Tesfaye,A+,Male,https://www.coursera.org/articles/what-is-machine-learning-engineer,Practice Quizzes,10,Evening,English/Amharic,Drew diagrams
Zelalem Lemma,A+,Male,https://www.youtube.com/@AyushSinghSh,Group Study,15,Evening,English/Amharic,Focused on documentaries
Mulugeta Abebe,A+,Female,https://www.youtube.com/@programmingwithmosh,Flashcards,16,Morning,English/Amharic,Color-coded notes
Dawit Tesfaye,A+,Female,https://www.youtube.com/@programmingwithmosh,Flashcards,10,Evening,English/Amharic,Timed simulations
Temesgen Jenberu,A+,Male,https://www.youtube.com/@krishnaik06,Spaced Repetition,8,Evening,English/Amharic,Joined online study groups
Seyoum Abebe,A,Female,https://www.youtube.com/@SimplilearnOfficial,Self-Testing,14,Evening,English/Amharic,Drew diagrams
Selamawit weldehawaryat,A,Female,https://www.udemy.com/topic/machine-learning/?srsltid=AfmBOor-LWlFSt82-i6gZlBhUdOSKAYBrx1MdUvyNLQuUIFm54PQ0iwE,Video Summaries,11,Afternoon,English/Amharic,Focused on documentaries
Yared Jenberu,A+,Male,https://www.geeksforgeeks.org/machine-learning/,Video Summaries,11,Morning,English/Amharic,Analyzed case studies
Yared Tesfaye,A,Female,https://pll.harvard.edu/course/data-science-machine-learning,Case Studies,13,Night,English/Amharic,Practiced past exams
Meklit weldehawaryat,A+,Female,https://www.kaggle.com/learn/intro-to-machine-learning,Practice Quizzes,11,Evening,English/Amharic,Focused on documentaries
Tewodros Fentaw,A+,Male,https://www.kaggle.com/learn/intro-to-machine-learning,Video Summaries,14,Afternoon,English/Amharic,Drew diagrams
Mekonnen Lemma,A,Male,https://www.coursera.org/articles/what-is-machine-learning-engineer,Flashcards,5,Night,English/Amharic,Joined online study groups
Marta Hailu,A+,Female,https://www.youtube.com/@AyushSinghSh,Peer Teaching,18,Evening,English/Amharic,Color-coded notes
Atnafu Seid,A+,Female,https://www.youtube.com/@IBMTechnology,Practice Quizzes,5,Night,English/Amharic,Color-coded notes
Sifan Assefa,A,Female,https://www.youtube.com/@stanfordonline,Self-Testing,16,Morning,English/Amharic,Used Anki flashcards
Meklit Worku,A,Female,https://www.youtube.com/@AyushSinghSh,Self-Testing,12,Morning,English/Amharic,Joined online study groups
Meklit Seid,A+,Female,https://www.udemy.com/topic/machine-learning/?srsltid=AfmBOor-LWlFSt82-i6gZlBhUdOSKAYBrx1MdUvyNLQuUIFm54PQ0iwE,Flashcards,10,Morning,English/Amharic,Analyzed case studies
Selamawit Hailu,A+,Male,https://www.youtube.com/@freecodecamp,Video Summaries,13,Morning,English/Amharic,Joined online study groups
Abiy Jenberu,A,Female,https://www.youtube.com/@edurekaIN,Flashcards,16,Night,English/Amharic,Joined online study groups
Abebe Kebede,A,Female,https://www.youtube.com/@freecodecamp,Case Studies,14,Afternoon,English/Amharic,Drew diagrams
Frehiwot Kebede,A,Male,https://www.youtube.com/@IBMTechnology,Practice Quizzes,14,Night,English/Amharic,Used Anki flashcards
Frehiwot Tadesse,A,Female,https://www.youtube.com/@stanfordonline,Mind Mapping,5,Night,English/Amharic,Practiced past exams
Kassa Hailu,A,Female,https://www.youtube.com/@programmingwithmosh,Spaced Repetition,17,Evening,English/Amharic,Joined online study groups
Hana Tesfaye,A+,Female,https://www.youtube.com/@IBMTechnology,Mind Mapping,17,Evening,English/Amharic,Focused on documentaries
Ruth Jenberu,A+,Male,https://www.youtube.com/@IBMTechnology,Mind Mapping,7,Morning,English/Amharic,Analyzed case studies
Dawit Mekonnen,A+,Male,https://www.youtube.com/@wscubetech,Peer Teaching,13,Morning,English/Amharic,Timed simulations
Fikirte Shimuye,A+,Female,https://www.youtube.com/@krishnaik06,Spaced Repetition,7,Night,English/Amharic,Practiced past exams
Senait Jenberu,A+,Female,https://www.youtube.com/@stanfordonline,Flashcards,16,Morning,English/Amharic,Analyzed case studies
Nahom Tesfaye,A,Male,https://www.youtube.com/@programmingwithmosh,Peer Teaching,13,Afternoon,English/Amharic,Color-coded notes
Fikirte Hailu,A+,Male,https://www.coursera.org/articles/what-is-machine-learning-engineer,Self-Testing,11,Night,English/Amharic,Practiced past exams
Mulat Worku,A,Male,https://www.youtube.com/@krishnaik06,Self-Testing,8,Evening,English/Amharic,Joined online study groups
Fikirte Seid,A+,Male,https://www.youtube.com/@freecodecamp,Case Studies,18,Evening,English/Amharic,Joined online study groups
Ruth Asrat,A+,Male,https://www.coursera.org/articles/what-is-machine-learning-engineer,Self-Testing,14,Afternoon,English/Amharic,Used Anki flashcards
Alem Amare,A+,Female,https://www.youtube.com/@IBMTechnology,Self-Testing,6,Evening,English/Amharic,Focused on documentaries
Frehiwot Assefa,A,Female,https://pll.harvard.edu/course/data-science-machine-learning,Spaced Repetition,10,Night,English/Amharic,Used Anki flashcards
Birtukan Tadesse,A+,Female,https://www.coursera.org/articles/what-is-machine-learning-engineer,Practice Quizzes,17,Night,English/Amharic,Drew diagrams
Abebe Shimuye,A+,Male,https://www.kaggle.com/learn/intro-to-machine-learning,Practice Quizzes,17,Morning,English/Amharic,Focused on documentaries
Sifan weldehawaryat,A,Male,https://www.youtube.com/@stanfordonline,Spaced Repetition,7,Morning,English/Amharic,Timed simulations
Bethel Abebe,A,Female,https://www.youtube.com/@IBMTechnology,Flashcards,10,Morning,English/Amharic,Joined online study groups
Fikirte Tesfaye,A+,Male,https://www.youtube.com/@SimplilearnOfficial,Self-Testing,5,Afternoon,English/Amharic,Used Anki flashcards
Selamawit Seid,A+,Male,https://www.coursera.org/articles/what-is-machine-learning-engineer,Group Study,10,Night,English/Amharic,Wrote summaries
Sifan weldehawaryat,A,Female,https://www.youtube.com/@IBMTechnology,Group Study,14,Night,English/Amharic,Focused on documentaries
Sifan Assefa,A+,Female,https://www.geeksforgeeks.org/machine-learning/,Video Summaries,19,Morning,English/Amharic,Timed simulations
Bela Tadesse,A+,Male,https://pll.harvard.edu/course/data-science-machine-learning,Practice Quizzes,17,Afternoon,English/Amharic,Focused on documentaries
Frehiwot Worku,A+,Female,https://www.youtube.com/@wscubetech,Mind Mapping,15,Morning,English/Amharic,Joined online study groups
Bela Abebe,A+,Male,https://www.youtube.com/@programmingwithmosh,Flashcards,14,Evening,English/Amharic,Timed simulations
Yemesrach Jenberu,A+,Female,https://www.youtube.com/@codebasics,Practice Quizzes,19,Morning,English/Amharic,Joined online study groups
