Name,Grade,Recommended Channel/Link,Learning Strategy,Study Hours Per Week,Preferred Study Time,Language of Instruction,Additional Notes
Driba Worku,A+,https://www.youtube.com/@freecodecamp,Flashcards,11,Afternoon,English/Amharic,Color-coded notes
Tsehay Asrat,A+,https://www.youtube.com/@electricalengineeringtech,Peer Teaching,12,Night,English/Amharic,Color-coded notes
Mulat Getachew,A+,https://www.youtube.com/@mitocw,Video Summaries,6,Night,English/Amharic,Joined online study groups
Kiros Hailu,A+,https://www.youtube.com/@freecodecamp,Self-Testing,5,Evening,English/Amharic,Color-coded notes
Abebe Tesfaye,A+,https://www.youtube.com/@EzEdChannel,Flashcards,13,Evening,English/Amharic,Focused on documentaries
Sofia Girma,A+,https://www.youtube.com/@ManishKumar026,Flashcards,6,Night,English/Amharic,Analyzed case studies
Abebe weldehawaryat,A,https://www.youtube.com/@mitocw,Spaced Repetition,8,Afternoon,English/Amharic,Wrote summaries
Sofia Getachew,A+,https://www.youtube.com/@ElectricalEngineeringApp,Peer Teaching,10,Morning,English/Amharic,Focused on documentaries
Marta Hailu,A+,https://www.youtube.com/@mitocw,Peer Teaching,18,Evening,English/Amharic,Wrote summaries
Kalkidan weldehawaryat,A+,https://www.youtube.com/@freecodecamp,Mind Mapping,19,Morning,English/Amharic,Wrote summaries
Marta Tadesse,A,https://www.youtube.com/@TheOrganicChemistryTutor,Spaced Repetition,13,Evening,English/Amharic,Timed simulations
Mulugeta Abebe,A,https://www.youtube.com/@GighzTechnologies,Practice Quizzes,5,Night,English/Amharic,Color-coded notes
Seyoum Abebe,A+,https://www.youtube.com/@Nerdslesson,Case Studies,14,Morning,English/Amharic,Analyzed case studies
Yohannes weldehawaryat,A+,https://www.youtube.com/@SimplyInfo9,Case Studies,11,Afternoon,English/Amharic,Wrote summaries
Girmay Tesfaye,A+,https://www.youtube.com/@ElectricalEngineeringApp,Practice Quizzes,5,Evening,English/Amharic,Joined online study groups
