Name,Grade,Recommended Channel/Link,Learning Strategy,Study Hours Per Week,Preferred Study Time,Language of Instruction,Additional Notes
Driba Worku,A+,https://www.youtube.com/@npteliitguwahati8283,Flashcards,11,Afternoon,English/Amharic,Color-coded notes
Tsehay Asrat,A+,https://www.youtube.com/@gisrsinstitute,Peer Teaching,12,Night,English/Amharic,Color-coded notes
Mulat Getachew,A+,https://www.youtube.com/@TerraSpatial,Mind Mapping,16,Morning,English/Amharic,Used Anki flashcards
Eden Hailu,A,https://www.youtube.com/@RemoteSensingGISHome,Practice Quizzes,16,Evening,English/Amharic,Practiced past exams
Mohammed Assefa,A+,https://www.youtube.com/@gisrsinstitute,Self-Testing,11,Afternoon,English/Amharic,Practiced past exams
Yemesrach Girma,A+,https://www.youtube.com/@esri_arcgis,Flashcards,6,Night,English/Amharic,Analyzed case studies
Abebe weldehawaryat,A,https://www.youtube.com/@mammestudio,Peer Teaching,6,Night,English/Amharic,Practiced past exams
Chala Lemma,A,https://www.youtube.com/@sgeuetlahore3838,Video Summaries,17,Evening,English/Amharic,Focused on documentaries
Marta Hailu,A+,https://www.youtube.com/@sgeuetlahore3838,Group Study,18,Evening,English/Amharic,Timed simulations
Ruth Seid,A+,https://www.youtube.com/@gisrsinstitute,Group Study,14,Morning,English/Amharic,Timed simulations
Yared Worku,A,https://www.youtube.com/@esri_arcgis,Case Studies,13,Night,English/Amharic,Used Anki flashcards
Abebe weldehawaryat,A,https://www.youtube.com/@RemoteSensingGISHome,Practice Quizzes,5,Night,English/Amharic,Color-coded notes
Seyoum Abebe,A+,https://www.youtube.com/@GeographicALLY,Case Studies,14,Morning,English/Amharic,Analyzed case studies
Yohannes weldehawaryat,A+,https://www.youtube.com/@mammestudio,Case Studies,11,Afternoon,English/Amharic,Wrote summaries
Girmay Tesfaye,A+,https://www.youtube.com/@TerraSpatial,Practice Quizzes,5,Evening,English/Amharic,Joined online study groups
Mekonnen Girma,A+,https://www.youtube.com/@gisrsinstitute,Case Studies,19,Afternoon,English/Amharic,Analyzed case studies
Kassa Zinabu,A+,https://www.youtube.com/@GeographicALLY,Practice Quizzes,19,Night,English/Amharic,Analyzed case studies
Marta Kebede,A+,https://www.youtube.com/@geospatialmedia,Case Studies,17,Evening,English/Amharic,Practiced past exams
Abel Amare,A,https://www.youtube.com/@TerraSpatial,Mind Mapping,14,Morning,English/Amharic,Timed simulations
Sewit Lemma,A+,https://www.youtube.com/@GISSimplified,Peer Teaching,18,Afternoon,English/Amharic,Analyzed case studies
Bethel Amare,A+,https://www.youtube.com/@mammestudio,Self-Testing,15,Afternoon,English/Amharic,Timed simulations
