Name,Grade,Gender,Recommended Channel/Link,Learning Strategy,Study Hours Per Week,Preferred Study Time,Language of Instruction,Additional Notes
Abebe Worku,A+,Male,https://www.physicsclassroom.com/,Case Studies,14,Evening,English/Amharic,Analyzed case studies
Kalkidan Asrat,A+,Female,https://www.ethiogeography.com/,Group Study,7,Afternoon,English/Amharic,Joined online study groups
Tewodros Hailu,A+,Female,https://eopcw.com/,Flashcards,5,Night,English/Amharic,Drew diagrams
Marta Jenberu,A+,Male,https://phet.colorado.edu/,Practice Quizzes,16,Evening,English/Amharic,Practiced past exams
Selamawit Assefa,A+,Male,https://www.youtube.com/@veritasium,Case Studies,6,Night,English/Amharic,Timed simulations
Ephrem Mekonnen,A,Female,https://www.physicsclassroom.com/,Mind Mapping,8,Night,English/Amharic,Analyzed case studies
Marta weldehawaryat,A,Female,https://www.studocu.com/,Peer Teaching,6,Night,English/Amharic,Practiced past exams
Tewodros Lemma,A,Female,https://www.youtube.com/@MinutePhysics,Mind Mapping,14,Night,English/Amharic,Focused on documentaries
Abel Kebede,A+,Female,https://www.youtube.com/@habeshatechcamp234,Group Study,18,Evening,English/Amharic,Timed simulations
Atnafu Seid,A+,Male,https://www.physicsclassroom.com/,Group Study,14,Morning,English/Amharic,Timed simulations
Mihret Worku,A,Male,https://www.youtube.com/c/AmharicEducational,Self-Testing,12,Morning,English/Amharic,Wrote summaries
Kassa Asrat,A,Female,https://www.youtube.com/@HabeshaAcademy,Practice Quizzes,5,Evening,English/Amharic,Joined online study groups
Mekonnen Amare,A+,Female,https://www.youtube.com/c/AmharicEducational,Self-Testing,12,Night,English/Amharic,Focused on documentaries
Bela Seid,A,Female,https://www.ethiogeography.com/,Flashcards,7,Night,English/Amharic,Wrote summaries
Yemesrach Tesfaye,A+,Male,https://www.youtube.com/@habeshatechcamp234,Practice Quizzes,5,Morning,English/Amharic,Analyzed case studies
Ephrem Amare,A,Male,https://www.youtube.com/@habeshatechcamp234,Practice Quizzes,19,Night,English/Amharic,Analyzed case studies
Seyoum Kebede,A+,Male,https://www.youtube.com/c/AmharicEducational,Peer Teaching,17,Night,English/Amharic,Analyzed case studies
Yemesrach Getachew,A+,Female,https://www.youtube.com/@veritasium,Flashcards,10,Night,English/Amharic,Practiced past exams
Kiros Asrat,A,Male,https://eopcw.com/,Self-Testing,11,Afternoon,English/Amharic,Used Anki flashcards
Meklit Tadesse,A+,Male,https://www.youtube.com/@MinutePhysics,Group Study,15,Morning,English/Amharic,Joined online study groups
Bela Fentaw,A,Female,https://www.youtube.com/@habeshatechcamp234,Video Summaries,12,Morning,English/Amharic,Practiced past exams
Hana Amare,A+,Male,https://www.physicsclassroom.com/,Spaced Repetition,12,Morning,English/Amharic,Used Anki flashcards
Tewodros Getachew,A+,Male,https://www.physicsclassroom.com/,Spaced Repetition,5,Evening,English/Amharic,Focused on documentaries
Marta Lemma,A,Female,https://www.youtube.com/c/AmharicEducational,Group Study,15,Morning,English/Amharic,Drew diagrams
Kassa Assefa,A+,Female,https://www.youtube.com/@MinutePhysics,Spaced Repetition,13,Night,English/Amharic,Drew diagrams
Zewditu Tesfaye,A+,Male,https://ocw.mit.edu/courses/8-01sc-classical-mechanics-fall-2016/,Practice Quizzes,14,Evening,English/Amharic,Color-coded notes
Tsehay Amare,A,Male,https://www.ethiogeography.com/,Case Studies,6,Night,English/Amharic,Used Anki flashcards
Kalkidan Mekonnen,A+,Female,https://phet.colorado.edu/,Practice Quizzes,11,Night,English/Amharic,Timed simulations
Tewodros Abebe,A,Female,https://www.physicsclassroom.com/,Flashcards,15,Evening,English/Amharic,Timed simulations
Jemal Tesfaye,A+,Female,https://www.youtube.com/@HabeshaAcademy,Peer Teaching,12,Afternoon,English/Amharic,Wrote summaries
Bela Asrat,A+,Female,https://www.youtube.com/@MinutePhysics,Group Study,8,Afternoon,English/Amharic,Color-coded notes
Sewit Tesfaye,A+,Female,https://www.youtube.com/@ZERALEM2127,Mind Mapping,6,Afternoon,English/Amharic,Color-coded notes
Zewditu Zinabu,A,Female,https://www.studocu.com/,Flashcards,8,Night,English/Amharic,Wrote summaries
Birtukan Tesfaye,A+,Male,https://eopcw.com/,Practice Quizzes,10,Evening,English/Amharic,Drew diagrams
Zelalem Lemma,A+,Male,https://www.youtube.com/@MinutePhysics,Group Study,15,Evening,English/Amharic,Focused on documentaries
Mulugeta Abebe,A+,Female,https://www.studocu.com/,Flashcards,16,Morning,English/Amharic,Color-coded notes
Dawit Tesfaye,A+,Female,https://www.studocu.com/,Flashcards,10,Evening,English/Amharic,Timed simulations
Temesgen Jenberu,A+,Male,https://www.youtube.com/@HabeshaAcademy,Spaced Repetition,8,Evening,English/Amharic,Joined online study groups
Seyoum Abebe,A,Female,https://www.youtube.com/@PhysicsWallah,Self-Testing,14,Evening,English/Amharic,Drew diagrams
Selamawit weldehawaryat,A,Female,https://www.youtube.com/@habeshatechcamp234,Video Summaries,11,Afternoon,English/Amharic,Focused on documentaries
Yared Jenberu,A+,Male,https://www.youtube.com/c/KhanAcademy,Video Summaries,11,Morning,English/Amharic,Analyzed case studies
Yared Tesfaye,A,Female,https://www.youtube.com/@ethiopianuniversityeducation,Case Studies,13,Night,English/Amharic,Practiced past exams
Meklit weldehawaryat,A+,Female,https://www.youtube.com/@ZERALEM2127,Practice Quizzes,11,Evening,English/Amharic,Focused on documentaries
Tewodros Fentaw,A+,Male,https://www.youtube.com/@ZERALEM2127,Video Summaries,14,Afternoon,English/Amharic,Drew diagrams
Mekonnen Lemma,A,Male,https://eopcw.com/,Flashcards,5,Night,English/Amharic,Joined online study groups
Marta Hailu,A+,Female,https://www.youtube.com/@MinutePhysics,Peer Teaching,18,Evening,English/Amharic,Color-coded notes
Atnafu Seid,A+,Female,https://phet.colorado.edu/,Practice Quizzes,5,Night,English/Amharic,Color-coded notes
Sifan Assefa,A,Female,https://www.youtube.com/c/AmharicEducational,Self-Testing,16,Morning,English/Amharic,Used Anki flashcards
Meklit Worku,A,Female,https://www.youtube.com/@MinutePhysics,Self-Testing,12,Morning,English/Amharic,Joined online study groups
Meklit Seid,A+,Female,https://www.youtube.com/@habeshatechcamp234,Flashcards,10,Morning,English/Amharic,Analyzed case studies
Selamawit Hailu,A+,Male,https://www.physicsclassroom.com/,Video Summaries,13,Morning,English/Amharic,Joined online study groups
Abiy Jenberu,A,Female,https://ocw.mit.edu/courses/8-01sc-classical-mechanics-fall-2016/,Flashcards,16,Night,English/Amharic,Joined online study groups
Abebe Kebede,A,Female,https://www.physicsclassroom.com/,Case Studies,14,Afternoon,English/Amharic,Drew diagrams
Frehiwot Kebede,A,Male,https://phet.colorado.edu/,Practice Quizzes,14,Night,English/Amharic,Used Anki flashcards
Frehiwot Tadesse,A,Female,https://www.youtube.com/c/AmharicEducational,Mind Mapping,5,Night,English/Amharic,Practiced past exams
Kassa Hailu,A,Female,https://www.studocu.com/,Spaced Repetition,17,Evening,English/Amharic,Joined online study groups
Hana Tesfaye,A+,Female,https://phet.colorado.edu/,Mind Mapping,17,Evening,English/Amharic,Focused on documentaries
Ruth Jenberu,A+,Male,https://phet.colorado.edu/,Mind Mapping,7,Morning,English/Amharic,Analyzed case studies
Dawit Mekonnen,A+,Male,https://www.ethiogeography.com/,Peer Teaching,13,Morning,English/Amharic,Timed simulations
Fikirte Shimuye,A+,Female,https://www.youtube.com/@HabeshaAcademy,Spaced Repetition,7,Night,English/Amharic,Practiced past exams
Senait Jenberu,A+,Female,https://www.youtube.com/c/AmharicEducational,Flashcards,16,Morning,English/Amharic,Analyzed case studies
Nahom Tesfaye,A,Male,https://www.studocu.com/,Peer Teaching,13,Afternoon,English/Amharic,Color-coded notes
Fikirte Hailu,A+,Male,https://eopcw.com/,Self-Testing,11,Night,English/Amharic,Practiced past exams
Mulat Worku,A,Male,https://www.youtube.com/@HabeshaAcademy,Self-Testing,8,Evening,English/Amharic,Joined online study groups
Fikirte Seid,A+,Male,https://www.physicsclassroom.com/,Case Studies,18,Evening,English/Amharic,Joined online study groups
Ruth Asrat,A+,Male,https://eopcw.com/,Self-Testing,14,Afternoon,English/Amharic,Used Anki flashcards
Alem Amare,A+,Female,https://phet.colorado.edu/,Self-Testing,6,Evening,English/Amharic,Focused on documentaries
Frehiwot Assefa,A,Female,https://www.youtube.com/@ethiopianuniversityeducation,Spaced Repetition,10,Night,English/Amharic,Used Anki flashcards
Birtukan Tadesse,A+,Female,https://eopcw.com/,Practice Quizzes,17,Night,English/Amharic,Drew diagrams
Abebe Shimuye,A+,Male,https://www.youtube.com/@ZERALEM2127,Practice Quizzes,17,Morning,English/Amharic,Focused on documentaries
Sifan weldehawaryat,A,Male,https://www.youtube.com/c/AmharicEducational,Spaced Repetition,7,Morning,English/Amharic,Timed simulations
Bethel Abebe,A,Female,https://phet.colorado.edu/,Flashcards,10,Morning,English/Amharic,Joined online study groups
Fikirte Tesfaye,A+,Male,https://www.youtube.com/@PhysicsWallah,Self-Testing,5,Afternoon,English/Amharic,Used Anki flashcards
Selamawit Seid,A+,Male,https://eopcw.com/,Group Study,10,Night,English/Amharic,Wrote summaries
Sifan weldehawaryat,A,Female,https://phet.colorado.edu/,Group Study,14,Night,English/Amharic,Focused on documentaries
Sifan Assefa,A+,Female,https://www.youtube.com/c/KhanAcademy,Video Summaries,19,Morning,English/Amharic,Timed simulations
Bela Tadesse,A+,Male,https://www.youtube.com/@ethiopianuniversityeducation,Practice Quizzes,17,Afternoon,English/Amharic,Focused on documentaries
Frehiwot Worku,A+,Female,https://www.ethiogeography.com/,Mind Mapping,15,Morning,English/Amharic,Joined online study groups
Bela Abebe,A+,Male,https://www.studocu.com/,Flashcards,14,Evening,English/Amharic,Timed simulations
Yemesrach Jenberu,A+,Female,https://www.youtube.com/@veritasium,Practice Quizzes,19,Morning,English/Amharic,Joined online study groups
Sewit Lemma,A+,Male,https://www.youtube.com/@habeshatechcamp234,Flashcards,10,Evening,English/Amharic,Joined online study groups
Marta Assefa,A+,Female,https://phet.colorado.edu/,Practice Quizzes,5,Morning,English/Amharic,Timed simulations
Zelalem Abebe,A+,Male,https://ocw.mit.edu/courses/8-01sc-classical-mechanics-fall-2016/,Spaced Repetition,5,Night,English/Amharic,Focused on documentaries
Sifan weldehawaryat,A,Female,https://www.youtube.com/@PhysicsWallah,Video Summaries,10,Evening,English/Amharic,Focused on documentaries
Hana Abebe,A+,Male,https://www.youtube.com/@ZERALEM2127,Self-Testing,5,Night,English/Amharic,Analyzed case studies
Rahel Assefa,A+,Female,https://www.youtube.com/c/KhanAcademy,Practice Quizzes,11,Afternoon,English/Amharic,Focused on documentaries
Alem Mekonnen,A+,Female,https://www.youtube.com/@habeshatechcamp234,Practice Quizzes,19,Afternoon,English/Amharic,Practiced past exams
Alem Abebe,A+,Female,https://www.youtube.com/@ZERALEM2127,Case Studies,14,Evening,English/Amharic,Used Anki flashcards
Frehiwot Kebede,A+,Male,https://phet.colorado.edu/,Spaced Repetition,16,Night,English/Amharic,Wrote summaries
Frehiwot Getachew,A+,Female,https://www.youtube.com/@ethiopianuniversityeducation,Practice Quizzes,19,Morning,English/Amharic,Analyzed case studies
Zewditu Asrat,A,Female,https://ocw.mit.edu/courses/8-01sc-classical-mechanics-fall-2016/,Group Study,8,Night,English/Amharic,Timed simulations
Selamawit Tesfaye,A+,Female,https://www.youtube.com/@PhysicsWallah,Practice Quizzes,7,Morning,English/Amharic,Joined online study groups
Senait Shimuye,A,Male,https://www.youtube.com/@MinutePhysics,Spaced Repetition,9,Morning,English/Amharic,Focused on documentaries
Ephrem Tadesse,A,Female,https://www.youtube.com/@veritasium,Self-Testing,10,Evening,English/Amharic,Wrote summaries
Kiros Asrat,A+,Male,https://www.studocu.com/,Peer Teaching,5,Night,English/Amharic,Used Anki flashcards
Ruth Worku,A+,Female,https://www.youtube.com/@MinutePhysics,Case Studies,18,Night,English/Amharic,Focused on documentaries
Kidane Girma,A,Male,https://www.youtube.com/c/AmharicEducational,Practice Quizzes,19,Evening,English/Amharic,Focused on documentaries
Alem Tesfaye,A,Female,https://www.youtube.com/@veritasium,Case Studies,9,Night,English/Amharic,Analyzed case studies
Tigist Amare,A,Female,https://eopcw.com/,Self-Testing,5,Morning,English/Amharic,Practiced past exams
Bethel Kebede,A,Male,https://www.youtube.com/@ethiopianuniversityeducation,Mind Mapping,19,Night,English/Amharic,Drew diagrams
Girmay Worku,A+,Male,https://eopcw.com/,Practice Quizzes,14,Morning,English/Amharic,Joined online study groups
Yohannes Getachew,A,Male,https://www.youtube.com/@ethiopianuniversityeducation,Video Summaries,9,Morning,English/Amharic,Used Anki flashcards
Yemesrach Lemma,A,Female,https://ocw.mit.edu/courses/8-01sc-classical-mechanics-fall-2016/,Group Study,11,Morning,English/Amharic,Analyzed case studies
Selamawit Fentaw,A,Male,https://ocw.mit.edu/courses/8-01sc-classical-mechanics-fall-2016/,Group Study,19,Afternoon,English/Amharic,Focused on documentaries
Tsehay Asrat,A+,Female,https://www.youtube.com/@MinutePhysics,Spaced Repetition,18,Night,English/Amharic,Drew diagrams
Tewodros Worku,A+,Female,https://www.youtube.com/@HabeshaAcademy,Flashcards,10,Afternoon,English/Amharic,Drew diagrams
Dawit Fentaw,A,Female,https://www.studocu.com/,Spaced Repetition,14,Afternoon,English/Amharic,Drew diagrams
Temesgen Asrat,A+,Male,https://www.youtube.com/c/KhanAcademy,Practice Quizzes,5,Afternoon,English/Amharic,Focused on documentaries
Abel Assefa,A,Female,https://www.youtube.com/@PhysicsWallah,Group Study,6,Night,English/Amharic,Used Anki flashcards
