Name,Grade,Gender,Recommended Channel/Link,Learning Strategy,Study Hours Per Week,Preferred Study Time,Language of Instruction,Additional Notes
Abebe Worku,A+,Male,https://www.youtube.com/@MITOpenCourseWare/search?query=psychology,Practice Quizzes,11,Evening,English/Amharic,Wrote summaries
Fikirte weldehawaryat,A+,Female,https://www.youtube.com/@AplusEthiopia,Group Study,16,Afternoon,English/Amharic,Drew diagrams
Tewodros Abebe,A,Female,https://www.youtube.com/@EthiopianEducation12,Self-Testing,5,Evening,English/Amharic,Color-coded notes
Marta Tesfaye,A+,Male,https://www.youtube.com/@ThePsychShow,Case Studies,6,Night,English/Amharic,Timed simulations
Ephrem Mekonnen,A,Female,https://www.youtube.com/@AplusEthiopia,Peer Teaching,16,Evening,English/Amharic,Analyzed case studies
Marta weldehawaryat,A,Female,https://www.youtube.com/@In59Seconds,Peer Teaching,6,Night,English/Amharic,Practiced past exams
Tewodros Lemma,A,Female,https://www.youtube.com/@PracticalPsychology,Mind Mapping,14,Afternoon,English/Amharic,Practiced past exams
Ephrem Seid,A,Female,https://www.youtube.com/@SocialPsychologyNetwork,Flashcards,17,Afternoon,English/Amharic,Joined online study groups
Kassa Tadesse,A,Male,https://www.youtube.com/@psychinamharicwithtamirude674,Spaced Repetition,13,Evening,English/Amharic,Timed simulations
Kassa Abebe,A,Female,https://www.youtube.com/@BrainCraft,Practice Quizzes,5,Night,English/Amharic,Color-coded notes
Ruth Abebe,A+,Female,https://www.youtube.com/@MITOpenCourseWare/search?query=psychology,Self-Testing,16,Evening,English/Amharic,Timed simulations
Samuel Hailu,A,Female,https://www.youtube.com/@TheraminTrees,Practice Quizzes,16,Night,English/Amharic,Drew diagrams
Lidia Tesfaye,A+,Male,https://www.youtube.com/@NeuroTransmissions,Practice Quizzes,5,Morning,English/Amharic,Analyzed case studies
Ephrem Amare,A,Male,https://www.youtube.com/@NeuroTransmissions,Practice Quizzes,19,Night,English/Amharic,Analyzed case studies
Seyoum Kebede,A+,Male,https://www.youtube.com/@MITOpenCourseWare/search?query=psychology,Peer Teaching,17,Night,English/Amharic,Analyzed case studies
Yemesrach Getachew,A+,Female,https://www.youtube.com/@EthiopianEducation12,Peer Teaching,18,Afternoon,English/Amharic,Analyzed case studies
Sifan Amare,A+,Male,https://www.youtube.com/@psychinamharicwithtamirude674,Self-Testing,7,Evening,English/Amharic,Drew diagrams
Samuel Zinabu,A+,Male,https://www.studocu.com/row/document/unity-university/psychology/pysychology-module-for-freshman/16698646,Group Study,19,Evening,English/Amharic,Drew diagrams
Seyoum Zinabu,A+,Female,https://www.youtube.com/@In59Seconds,Peer Teaching,16,Afternoon,English/Amharic,Analyzed case studies
Tewodros Tesfaye,A,Male,https://www.youtube.com/@In59Seconds,Spaced Repetition,6,Afternoon,English/Amharic,Drew diagrams
Marta Assefa,A,Male,https://www.studocu.com/row/document/unity-university/psychology/pysychology-module-for-freshman/16698646,Mind Mapping,9,Night,English/Amharic,Drew diagrams
Seyoum Kebede,A,Female,https://www.youtube.com/@In59Seconds,Video Summaries,12,Morning,English/Amharic,Practiced past exams
Girmay Lemma,A,Male,https://www.youtube.com/@Vsauce,Spaced Repetition,13,Night,English/Amharic,Drew diagrams
Zewditu Tesfaye,A+,Male,https://www.youtube.com/@habeshatechcamp234,Practice Quizzes,14,Evening,English/Amharic,Color-coded notes
Tsehay Amare,A,Male,https://www.youtube.com/@SocialPsychologyNetwork,Case Studies,6,Night,English/Amharic,Used Anki flashcards
Kalkidan Mekonnen,A+,Female,https://www.youtube.com/@AcademyOfIdeas,Practice Quizzes,11,Night,English/Amharic,Timed simulations
Tewodros Abebe,A,Female,https://www.youtube.com/@TheraminTrees,Flashcards,15,Evening,English/Amharic,Timed simulations
