Name,Grade,Gender,Recommended Channel/Link,Learning Strategy,Study Hours Per Week,Preferred Study Time,Language of Instruction,Additional Notes
Abebe Worku,A+,Male,https://www.youtube.com/c/GeoTV,Practice Quizzes,11,Evening,English/Amharic,Wrote summaries
Fikirte weldehawaryat,A+,Female,https://www.youtube.com/@ZERALEM2127,Group Study,16,Afternoon,English/Amharic,Drew diagrams
Tewodros Abebe,A,Female,https://www.youtube.com/c/GeographyNow,Self-Testing,5,Evening,English/Amharic,Color-coded notes
Marta Tesfaye,A+,Male,https://www.earthobservatory.nasa.gov/,Case Studies,6,Night,English/Amharic,Timed simulations
Ephrem Mekonnen,A,Female,https://www.youtube.com/@ZERALEM2127,Peer Teaching,16,Evening,English/Amharic,Analyzed case studies
Marta weldehawaryat,A,Female,https://www.youtube.com/c/CrashCourse,Peer Teaching,6,Night,English/Amharic,Practiced past exams
Tewodros Lemma,A,Female,https://www.youtube.com/c/GeographyNow,Mind Mapping,14,Afternoon,English/Amharic,Practiced past exams
Ephrem Seid,A,Female,https://www.youtube.com/c/KBCChannel1,Flashcards,17,Afternoon,English/Amharic,Joined online study groups
Kassa Tadesse,A,Male,https://www.youtube.com/@EthiopianEducation12,Spaced Repetition,13,Evening,English/Amharic,Timed simulations
Kassa Abebe,A,Female,https://www.youtube.com/@Bilal-Alex,Practice Quizzes,5,Night,English/Amharic,Color-coded notes
Ruth Abebe,A+,Female,https://www.youtube.com/c/GeoTV,Self-Testing,16,Evening,English/Amharic,Timed simulations
Samuel Hailu,A,Female,https://www.youtube.com/c/AmharicEducational,Practice Quizzes,16,Night,English/Amharic,Drew diagrams
Lidia Tesfaye,A+,Male,https://www.youtube.com/c/ExploreGeography,Practice Quizzes,5,Morning,English/Amharic,Analyzed case studies
Ephrem Amare,A,Male,https://www.youtube.com/c/ExploreGeography,Practice Quizzes,19,Night,English/Amharic,Analyzed case studies
Seyoum Kebede,A+,Male,https://www.youtube.com/c/GeoTV,Peer Teaching,17,Night,English/Amharic,Analyzed case studies
Yemesrach Getachew,A+,Female,https://www.ethiogeography.com/,Peer Teaching,18,Afternoon,English/Amharic,Analyzed case studies
Sifan Amare,A+,Male,https://www.youtube.com/@EthiopianEducation12,Self-Testing,7,Evening,English/Amharic,Drew diagrams
Samuel Zinabu,A+,Male,https://www.worldatlas.com/africa/ethiopia,Group Study,19,Evening,English/Amharic,Drew diagrams
Seyoum Zinabu,A+,Female,https://www.youtube.com/c/CrashCourse,Peer Teaching,16,Afternoon,English/Amharic,Analyzed case studies
Tewodros Tesfaye,A,Male,https://www.youtube.com/c/CrashCourse,Spaced Repetition,6,Afternoon,English/Amharic,Drew diagrams
Marta Assefa,A,Male,https://www.youtube.com/@ZERALEM2127,Flashcards,16,Afternoon,English/Amharic,Drew diagrams
Seyoum Kebede,A,Female,https://www.youtube.com/c/CrashCourse,Video Summaries,12,Morning,English/Amharic,Practiced past exams
Girmay Lemma,A,Male,https://www.youtube.com/c/KhanAcademy,Spaced Repetition,13,Night,English/Amharic,Drew diagrams
Zewditu Tesfaye,A+,Male,https://www.youtube.com/c/GeographyEthiopia,Practice Quizzes,14,Evening,English/Amharic,Color-coded notes
Tsehay Amare,A,Male,https://www.youtube.com/c/KBCChannel1,Case Studies,6,Night,English/Amharic,Used Anki flashcards
Kalkidan Mekonnen,A+,Female,https://www.worldatlas.com/africa/ethiopia,Practice Quizzes,11,Night,English/Amharic,Timed simulations
Tewodros Abebe,A,Female,https://www.youtube.com/c/AmharicEducational,Flashcards,15,Evening,English/Amharic,Timed simulations
Jemal Tesfaye,A+,Female,https://www.youtube.com/playlist?list=PLbBBUac2lcN9Py7toNl6uJbPtIlVpnlMB,Peer Teaching,12,Afternoon,English/Amharic,Wrote summaries
Bela Asrat,A+,Female,https://www.ethiogeography.com/,Group Study,8,Afternoon,English/Amharic,Color-coded notes
Sewit Tesfaye,A+,Female,https://www.youtube.com/c/GeographyLessons,Mind Mapping,6,Afternoon,English/Amharic,Color-coded notes
Zewditu Zinabu,A,Female,https://www.youtube.com/@mammestudio,Flashcards,8,Night,English/Amharic,Wrote summaries
Birtukan Tesfaye,A+,Male,https://www.youtube.com/c/KhanAcademy,Practice Quizzes,10,Evening,English/Amharic,Drew diagrams
Zelalem Lemma,A+,Male,https://www.youtube.com/c/KBCChannel1,Mind Mapping,9,Afternoon,English/Amharic,Used Anki flashcards
Sifan Worku,A+,Male,https://www.youtube.com/c/KhanAcademy,Practice Quizzes,8,Evening,English/Amharic,Used Anki flashcards
Tigist Hailu,A+,Male,https://www.youtube.com/c/GeographyLessons,Flashcards,10,Evening,English/Amharic,Timed simulations
Temesgen Jenberu,A+,Male,https://www.youtube.com/playlist?list=PLbBBUac2lcN9Py7toNl6uJbPtIlVpnlMB,Spaced Repetition,8,Evening,English/Amharic,Joined online study groups
Seyoum Abebe,A,Female,https://www.worldatlas.com/africa/ethiopia,Video Summaries,14,Evening,English/Amharic,Wrote summaries
Zelalem Mekonnen,A+,Female,https://www.youtube.com/@ZERALEM2127,Mind Mapping,14,Morning,English/Amharic,Wrote summaries
Bela Zinabu,A+,Female,https://www.youtube.com/c/GeoTV,Case Studies,14,Evening,English/Amharic,Focused on documentaries
Bethel Tadesse,A,Male,https://www.youtube.com/c/GeographyEthiopia,Peer Teaching,5,Night,English/Amharic,Color-coded notes
Marta Worku,A,Female,https://www.youtube.com/c/CrashCourse,Peer Teaching,14,Afternoon,English/Amharic,Drew diagrams
Kebede Assefa,A+,Male,https://www.youtube.com/c/GeographyNow,Flashcards,11,Night,English/Amharic,Drew diagrams
Kidane Worku,A+,Female,https://www.youtube.com/c/KhanAcademy,Mind Mapping,16,Afternoon,English/Amharic,Color-coded notes
Tigist Fentaw,A+,Male,https://www.youtube.com/c/AmharicEducational,Flashcards,18,Evening,English/Amharic,Timed simulations
Hana Abebe,A,Male,https://www.youtube.com/c/ExploreGeography,Mind Mapping,18,Afternoon,English/Amharic,Timed simulations
Atnafu Tadesse,A,Female,https://www.youtube.com/c/GeoTV,Flashcards,10,Morning,English/Amharic,Analyzed case studies
Selamawit Hailu,A+,Male,https://www.youtube.com/c/AmharicEducational,Video Summaries,13,Morning,English/Amharic,Joined online study groups
Abiy Jenberu,A,Female,https://www.youtube.com/c/AmharicEducational,Flashcards,11,Night,English/Amharic,Used Anki flashcards
Kiros Assefa,A,Female,https://www.youtube.com/c/AmharicEducational,Peer Teaching,6,Night,English/Amharic,Color-coded notes
Seyoum Abebe,A+,Male,https://www.youtube.com/c/GeographyEthiopia,Group Study,11,Afternoon,English/Amharic,Used Anki flashcards
Sifan Hailu,A,Female,https://www.youtube.com/@mammestudio,Spaced Repetition,17,Evening,English/Amharic,Joined online study groups
Hana Tesfaye,A+,Female,https://www.worldatlas.com/africa/ethiopia,Mind Mapping,17,Evening,English/Amharic,Focused on documentaries
Ruth Jenberu,A+,Male,https://www.worldatlas.com/africa/ethiopia,Mind Mapping,7,Morning,English/Amharic,Analyzed case studies
Dawit Mekonnen,A+,Male,https://www.youtube.com/c/GeographyEthiopia,Self-Testing,9,Morning,English/Amharic,Timed simulations
Fikirte Shimuye,A+,Female,https://www.youtube.com/playlist?list=PLbBBUac2lcN9Py7toNl6uJbPtIlVpnlMB,Spaced Repetition,7,Night,English/Amharic,Practiced past exams
Senait Jenberu,A+,Female,https://www.youtube.com/c/AmharicEducational,Spaced Repetition,11,Morning,English/Amharic,Analyzed case studies
Bethel Tesfaye,A,Male,https://www.youtube.com/c/CrashCourse,Peer Teaching,13,Afternoon,English/Amharic,Color-coded notes
