Name,Grade,Gender,Recommended Channel/Link,Learning Strategy,Study Hours Per Week,Preferred Study Time,Language of Instruction,Additional Notes
Abebe Worku,A+,Male,https://www.youtube.com/@sanyiinsights,Case Studies,14,Evening,English/Amharic,Analyzed case studies
Kalkidan Asrat,A+,Female,https://www.youtube.com/@Nile99,Group Study,7,Afternoon,English/Amharic,Joined online study groups
Tewodros Hailu,A+,Female,https://www.youtube.com/@Academic44,Flashcards,5,Night,English/Amharic,Drew diagrams
Marta Jenberu,A+,Male,https://www.youtube.com/@peaceclubaau,Practice Quizzes,16,Evening,English/Amharic,Practiced past exams
Selamawit Assefa,A+,Male,https://www.youtube.com/@DirreeBarnootaa,Case Studies,6,Night,English/Amharic,Timed simulations
Ephrem Mekonnen,A,Female,https://www.youtube.com/@sanyiinsights,Mind Mapping,8,Night,English/Amharic,Analyzed case studies
Marta weldehawaryat,A,Female,https://www.youtube.com/@Bilal-Alex,Peer Teaching,6,Night,English/Amharic,Practiced past exams
Tewodros Lemma,A,Female,https://www.youtube.com/@Av_Media_Offical,Mind Mapping,14,Night,English/Amharic,Focused on documentaries
Abel Kebede,A+,Female,https://www.youtube.com/@Nile99,Case Studies,16,Morning,English/Amharic,Wrote summaries
Mulugeta Seid,A+,Male,https://www.youtube.com/@sanyiinsights,Group Study,14,Morning,English/Amharic,Timed simulations
Mihret Worku,A,Male,https://www.youtube.com/@beliandtg9484,Self-Testing,12,Morning,English/Amharic,Wrote summaries
Kassa Asrat,A,Female,https://www.youtube.com/@EthioProEducation,Practice Quizzes,5,Evening,English/Amharic,Joined online study groups
Mekonnen Amare,A+,Female,https://www.youtube.com/@beliandtg9484,Self-Testing,12,Night,English/Amharic,Focused on documentaries
Bela Seid,A,Female,https://www.youtube.com/@Nile99,Flashcards,7,Night,English/Amharic,Wrote summaries
Yemesrach Tesfaye,A+,Male,https://www.youtube.com/@theacademy-ethiopia2152,Practice Quizzes,5,Morning,English/Amharic,Analyzed case studies
Ephrem Amare,A,Male,https://www.youtube.com/@peaceclubaau,Practice Quizzes,19,Night,English/Amharic,Analyzed case studies
Seyoum Kebede,A+,Male,https://www.youtube.com/@beliandtg9484,Peer Teaching,17,Night,English/Amharic,Analyzed case studies
Yemesrach Getachew,A+,Female,https://www.youtube.com/@DirreeBarnootaa,Flashcards,10,Night,English/Amharic,Practiced past exams
Kiros Asrat,A,Male,https://www.youtube.com/@Academic44,Self-Testing,11,Afternoon,English/Amharic,Used Anki flashcards
Meklit Tadesse,A+,Male,https://www.youtube.com/@Av_Media_Offical,Group Study,15,Morning,English/Amharic,Joined online study groups
Bela Fentaw,A,Female,https://www.youtube.com/@ToyibYimam-sn7sx,Video Summaries,12,Morning,English/Amharic,Practiced past exams
Hana Amare,A+,Male,https://www.youtube.com/@sanyiinsights,Spaced Repetition,12,Morning,English/Amharic,Used Anki flashcards
Tewodros Getachew,A+,Male,https://www.youtube.com/@sanyiinsights,Spaced Repetition,5,Evening,English/Amharic,Focused on documentaries
Marta Lemma,A,Female,https://www.youtube.com/@beliandtg9484,Group Study,15,Morning,English/Amharic,Drew diagrams
Kassa Assefa,A+,Female,https://www.youtube.com/@Av_Media_Offical,Spaced Repetition,13,Night,English/Amharic,Drew diagrams
Zewditu Tesfaye,A+,Male,https://www.youtube.com/@Letsgrowuptogether,Practice Quizzes,14,Evening,English/Amharic,Color-coded notes
Tsehay Amare,A,Male,https://www.youtube.com/@Nile99,Case Studies,6,Night,English/Amharic,Used Anki flashcards
Kalkidan Mekonnen,A+,Female,https://www.youtube.com/@peaceclubaau,Practice Quizzes,11,Night,English/Amharic,Timed simulations
Tewodros Abebe,A,Female,https://www.youtube.com/@sanyiinsights,Flashcards,15,Evening,English/Amharic,Timed simulations
Jemal Tesfaye,A+,Female,https://www.youtube.com/@EthioProEducation,Peer Teaching,12,Afternoon,English/Amharic,Wrote summaries
Bela Asrat,A+,Female,https://www.youtube.com/@Av_Media_Offical,Group Study,8,Afternoon,English/Amharic,Color-coded notes
Sewit Tesfaye,A+,Female,https://www.youtube.com/@theacademy-ethiopia2152,Mind Mapping,6,Afternoon,English/Amharic,Color-coded notes
Zewditu Zinabu,A,Female,https://www.youtube.com/@Bilal-Alex,Flashcards,8,Night,English/Amharic,Wrote summaries
Birtukan Tesfaye,A+,Male,https://www.youtube.com/@Academic44,Practice Quizzes,10,Evening,English/Amharic,Drew diagrams
Zelalem Lemma,A+,Male,https://www.youtube.com/@Av_Media_Offical,Group Study,15,Evening,English/Amharic,Focused on documentaries
Mulugeta Abebe,A+,Female,https://www.youtube.com/@Bilal-Alex,Flashcards,16,Morning,English/Amharic,Color-coded notes
Dawit Tesfaye,A+,Female,https://www.youtube.com/@Bilal-Alex,Flashcards,10,Evening,English/Amharic,Timed simulations
Temesgen Jenberu,A+,Male,https://www.youtube.com/@EthioProEducation,Spaced Repetition,8,Evening,English/Amharic,Joined online study groups
Seyoum Abebe,A,Female,https://www.youtube.com/@Campushandout,Self-Testing,14,Evening,English/Amharic,Drew diagrams
Selamawit weldehawaryat,A,Female,https://www.youtube.com/@Av_Media_Offical,Case Studies,6,Evening,English/Amharic,Focused on documentaries
Yared Jenberu,A+,Male,https://www.youtube.com/@ToyibYimam-sn7sx,Video Summaries,11,Morning,English/Amharic,Analyzed case studies
Yared Tesfaye,A,Female,https://www.youtube.com/@LankamoLadda,Case Studies,13,Night,English/Amharic,Practiced past exams
Meklit weldehawaryat,A+,Female,https://www.youtube.com/@theacademy-ethiopia2152,Practice Quizzes,11,Evening,English/Amharic,Focused on documentaries
Tewodros Fentaw,A+,Male,https://www.youtube.com/@theacademy-ethiopia2152,Video Summaries,14,Afternoon,English/Amharic,Drew diagrams
Mekonnen Lemma,A,Male,https://www.youtube.com/@Academic44,Flashcards,5,Night,English/Amharic,Joined online study groups
Marta Hailu,A+,Female,https://www.youtube.com/@Av_Media_Offical,Peer Teaching,18,Evening,English/Amharic,Color-coded notes
Atnafu Seid,A+,Female,https://www.youtube.com/@peaceclubaau,Practice Quizzes,5,Night,English/Amharic,Color-coded notes
Sifan Assefa,A,Female,https://www.youtube.com/@beliandtg9484,Self-Testing,16,Morning,English/Amharic,Used Anki flashcards
Meklit Worku,A,Female,https://www.youtube.com/@Av_Media_Offical,Self-Testing,12,Morning,English/Amharic,Joined online study groups
Meklit Seid,A+,Female,https://www.youtube.com/@sanyiinsights,Video Summaries,17,Evening,English/Amharic,Color-coded notes
Hana Seid,A,Female,https://www.youtube.com/@DirreeBarnootaa,Flashcards,19,Morning,English/Amharic,Practiced past exams
Frehiwot Hailu,A,Female,https://www.youtube.com/@sanyiinsights,Case Studies,8,Morning,English/Amharic,Joined online study groups
Marta Shimuye,A+,Female,https://www.youtube.com/@Campushandout,Peer Teaching,19,Afternoon,English/Amharic,Color-coded notes
Seyoum Abebe,A+,Male,https://www.youtube.com/@Letsgrowuptogether,Group Study,11,Afternoon,English/Amharic,Used Anki flashcards
Sifan Hailu,A,Female,https://www.youtube.com/@Bilal-Alex,Spaced Repetition,17,Evening,English/Amharic,Joined online study groups
Hana Tesfaye,A+,Female,https://www.youtube.com/@peaceclubaau,Mind Mapping,17,Evening,English/Amharic,Focused on documentaries
Ruth Jenberu,A+,Male,https://www.youtube.com/@peaceclubaau,Mind Mapping,7,Morning,English/Amharic,Analyzed case studies
Dawit Mekonnen,A+,Male,https://www.youtube.com/@Nile99,Peer Teaching,13,Morning,English/Amharic,Timed simulations
Fikirte Shimuye,A+,Female,https://www.youtube.com/@EthioProEducation,Spaced Repetition,7,Night,English/Amharic,Practiced past exams
Senait Jenberu,A+,Female,https://www.youtube.com/@beliandtg9484,Flashcards,16,Morning,English/Amharic,Analyzed case studies
Nahom Tesfaye,A,Male,https://www.youtube.com/@Bilal-Alex,Peer Teaching,13,Afternoon,English/Amharic,Color-coded notes
Fikirte Hailu,A+,Male,https://www.youtube.com/@Academic44,Self-Testing,11,Night,English/Amharic,Practiced past exams
Mulat Worku,A,Male,https://www.youtube.com/@EthioProEducation,Self-Testing,8,Evening,English/Amharic,Joined online study groups
Fikirte Seid,A+,Male,https://www.youtube.com/@sanyiinsights,Case Studies,18,Evening,English/Amharic,Joined online study groups
Ruth Asrat,A+,Male,https://www.youtube.com/@Academic44,Self-Testing,14,Afternoon,English/Amharic,Used Anki flashcards
Alem Amare,A+,Female,https://www.youtube.com/@peaceclubaau,Self-Testing,6,Evening,English/Amharic,Focused on documentaries
Frehiwot Assefa,A,Female,https://www.youtube.com/@LankamoLadda,Spaced Repetition,10,Night,English/Amharic,Used Anki flashcards
Birtukan Tadesse,A+,Female,https://www.youtube.com/@Academic44,Practice Quizzes,17,Night,English/Amharic,Drew diagrams
Abebe Shimuye,A+,Male,https://www.youtube.com/@theacademy-ethiopia2152,Practice Quizzes,17,Morning,English/Amharic,Focused on documentaries
Sifan weldehawaryat,A,Male,https://www.youtube.com/@beliandtg9484,Spaced Repetition,7,Morning,English/Amharic,Timed simulations
Bethel Abebe,A,Female,https://www.youtube.com/@peaceclubaau,Flashcards,10,Morning,English/Amharic,Joined online study groups
Fikirte Tesfaye,A+,Male,https://www.youtube.com/@Campushandout,Self-Testing,5,Afternoon,English/Amharic,Used Anki flashcards
Selamawit Seid,A+,Male,https://www.youtube.com/@Academic44,Group Study,10,Night,English/Amharic,Wrote summaries
Sifan weldehawaryat,A,Female,https://www.youtube.com/@peaceclubaau,Group Study,14,Night,English/Amharic,Focused on documentaries
Sifan Assefa,A+,Female,https://www.youtube.com/@ToyibYimam-sn7sx,Video Summaries,19,Morning,English/Amharic,Timed simulations
Bela Tadesse,A+,Male,https://www.youtube.com/@LankamoLadda,Practice Quizzes,17,Afternoon,English/Amharic,Focused on documentaries
