Name,Grade,Gender,Recommended Channel/Link,Learning Strategy,Study Hours Per Week,Preferred Study Time,Language of Instruction,Additional Notes
Driba Worku,A+,Male,https://www.youtube.com/@freecodecamp,Case Studies,14,Evening,English/Amharic,Analyzed case studies
Samuel Asrat,A+,Female,https://www.youtube.com/@codeflakes7658,Group Study,7,Afternoon,English/Amharic,Joined online study groups
Chala Hailu,A+,Female,https://www.youtube.com/@FlippedClassrooms,Flashcards,5,Night,English/Amharic,Drew diagrams
Abebe Jenberu,A+,Male,https://www.youtube.com/@nesoacademy,Practice Quizzes,16,Evening,English/Amharic,Practiced past exams
Mohammed Assefa,A+,Male,https://www.youtube.com/@Snyksec,Case Studies,6,Night,English/Amharic,Timed simulations
Kalkidan Mekonnen,A,Female,https://www.youtube.com/@freecodecamp,Mind Mapping,8,Night,English/Amharic,Analyzed case studies
Abebe weldehawaryat,A,Female,https://www.youtube.com/@edurekaIN,Peer Teaching,6,Night,English/Amharic,Practiced past exams
Chala Lemma,A,Female,https://www.youtube.com/@QAFox,Mind Mapping,14,Night,English/Amharic,Focused on documentaries
Birtukan Kebede,A+,Female,https://www.youtube.com/@codeflakes7658,Case Studies,16,Morning,English/Amharic,Wrote summaries
Senait Seid,A+,Male,https://www.youtube.com/@freecodecamp,Group Study,14,Morning,English/Amharic,Timed simulations
Yared Worku,A,Male,https://www.youtube.com/@Nerdslesson,Self-Testing,12,Morning,English/Amharic,Wrote summaries
Mulugeta Asrat,A,Female,https://www.youtube.com/@SimplilearnOfficial,Practice Quizzes,5,Evening,English/Amharic,Joined online study groups
Temesgen Amare,A+,Female,https://www.youtube.com/@Nerdslesson,Self-Testing,12,Night,English/Amharic,Focused on documentaries
Kiros Seid,A,Female,https://www.youtube.com/@codeflakes7658,Flashcards,7,Night,English/Amharic,Wrote summaries
Mulat Tesfaye,A+,Male,https://www.coursera.org/learn/packt-fundamentals-of-secure-software-dqsu3,Practice Quizzes,5,Morning,English/Amharic,Analyzed case studies
Kalkidan Amare,A,Male,https://www.youtube.com/@nesoacademy,Practice Quizzes,19,Night,English/Amharic,Analyzed case studies
