Name,Grade,Gender,Recommended Channel/Link,Learning Strategy,Study Hours Per Week,Preferred Study Time,Language of Instruction,Additional Notes
Driba Worku,A+,Male,https://www.youtube.com/@mitocw,Case Studies,14,Evening,English/Amharic,Analyzed case studies
Samuel Asrat,A+,Female,https://www.youtube.com/@freecodecamp,Group Study,7,Afternoon,English/Amharic,Joined online study groups
Chala Hailu,A+,Female,https://www.youtube.com/@Naaf501,Flashcards,5,Night,English/Amharic,Drew diagrams
Abebe Jenberu,A+,Male,https://www.youtube.com/@justinjarvis5681,Practice Quizzes,16,Evening,English/Amharic,Practiced past exams
Mohammed Assefa,A+,Male,https://www.youtube.com/@Tony-Bell,Case Studies,6,Night,English/Amharic,Timed simulations
Kalkidan Mekonnen,A,Female,https://www.youtube.com/@mitocw,Mind Mapping,8,Night,English/Amharic,Analyzed case studies
Abebe weldehawaryat,A,Female,https://www.khanacademy.org/economics-finance-domain,Peer Teaching,6,Night,English/Amharic,Practiced past exams
Chala Lemma,A,Female,https://www.youtube.com/@Alanisbusinessacademy,Mind Mapping,14,Night,English/Amharic,Focused on documentaries
Birtukan Kebede,A+,Female,https://www.youtube.com/@freecodecamp,Case Studies,16,Morning,English/Amharic,Wrote summaries
Senait Seid,A+,Male,https://www.youtube.com/@mitocw,Group Study,14,Morning,English/Amharic,Timed simulations
Yared Worku,A,Male,https://www.youtube.com/@crashcourse,Self-Testing,12,Morning,English/Amharic,Wrote summaries
Mulugeta Asrat,A,Female,https://www.youtube.com/@Bilal-Alex,Practice Quizzes,5,Evening,English/Amharic,Joined online study groups
Temesgen Amare,A+,Female,https://www.youtube.com/@crashcourse,Self-Testing,12,Night,English/Amharic,Focused on documentaries
Kiros Seid,A,Female,https://www.youtube.com/@freecodecamp,Flashcards,7,Night,English/Amharic,Wrote summaries
Mulat Tesfaye,A+,Male,https://www.youtube.com/@Bilal-Alex,Spaced Repetition,9,Afternoon,English/Amharic,Analyzed case studies
Kalkidan Amare,A,Male,https://www.youtube.com/@justinjarvis5681,Practice Quizzes,19,Night,English/Amharic,Analyzed case studies
Marta Kebede,A+,Male,https://www.youtube.com/@crashcourse,Peer Teaching,17,Night,English/Amharic,Analyzed case studies
Zelalem Getachew,A+,Female,https://www.youtube.com/@Tony-Bell,Flashcards,10,Night,English/Amharic,Practiced past exams
Lidia Asrat,A,Male,https://www.youtube.com/@Naaf501,Self-Testing,11,Afternoon,English/Amharic,Used Anki flashcards
Meklit Tadesse,A+,Male,https://www.youtube.com/@Alanisbusinessacademy,Group Study,15,Morning,English/Amharic,Joined online study groups
Kiros Fentaw,A,Female,https://www.youtube.com/@kmpetrov,Video Summaries,12,Morning,English/Amharic,Practiced past exams
Marta Jenberu,A,Female,https://www.youtube.com/@crashcourse,Mind Mapping,7,Morning,English/Amharic,Joined online study groups
Marta Jenberu,A,Female,https://www.youtube.com/@profryan6701,Video Summaries,11,Morning,English/Amharic,Used Anki flashcards
Meklit Fentaw,A+,Male,https://www.youtube.com/@Naaf501,Video Summaries,11,Night,English/Amharic,Analyzed case studies
Samuel Jenberu,A+,Female,https://www.youtube.com/@mitocw,Peer Teaching,6,Afternoon,English/Amharic,Drew diagrams
Samuel Seid,A+,Male,https://www.youtube.com/@Naaf501,Video Summaries,17,Evening,English/Amharic,Practiced past exams
Belay Fentaw,A+,Male,https://www.youtube.com/@Bilal-Alex,Peer Teaching,11,Night,English/Amharic,Timed simulations
Kiros weldehawaryat,A,Female,https://www.youtube.com/@freecodecamp,Spaced Repetition,15,Night,English/Amharic,Timed simulations
Yemesrach Mekonnen,A+,Female,https://www.youtube.com/@justinjarvis5681,Practice Quizzes,11,Night,English/Amharic,Timed simulations
Abiy Jenberu,A,Female,https://www.youtube.com/@Naaf501,Flashcards,9,Night,English/Amharic,Analyzed case studies
Yohannes Zinabu,A,Female,https://www.youtube.com/@Bilal-Alex,Peer Teaching,12,Afternoon,English/Amharic,Wrote summaries
Kiros Asrat,A+,Female,https://www.youtube.com/@Alanisbusinessacademy,Group Study,8,Afternoon,English/Amharic,Color-coded notes
Kebede Tesfaye,A+,Female,https://www.youtube.com/@profryan6701,Mind Mapping,10,Evening,English/Amharic,Timed simulations
Belay Abebe,A,Female,https://www.youtube.com/@mitocw,Peer Teaching,12,Night,English/Amharic,Wrote summaries
Dawit Tesfaye,A+,Male,https://www.youtube.com/@Naaf501,Practice Quizzes,10,Evening,English/Amharic,Drew diagrams
Jemal Lemma,A+,Male,https://www.youtube.com/@Alanisbusinessacademy,Group Study,15,Evening,English/Amharic,Focused on documentaries
Senait Abebe,A+,Female,https://www.khanacademy.org/economics-finance-domain,Flashcards,16,Morning,English/Amharic,Color-coded notes
Sofia Tesfaye,A+,Female,https://www.khanacademy.org/economics-finance-domain,Flashcards,10,Evening,English/Amharic,Timed simulations
Girmay Jenberu,A+,Male,https://www.youtube.com/@Bilal-Alex,Spaced Repetition,8,Evening,English/Amharic,Joined online study groups
Mihret Abebe,A,Female,https://www.youtube.com/@profryan6701,Self-Testing,14,Evening,English/Amharic,Drew diagrams
Mohammed weldehawaryat,A,Female,https://www.youtube.com/@Alanisbusinessacademy,Case Studies,6,Evening,English/Amharic,Focused on documentaries
Marta Jenberu,A+,Male,https://www.youtube.com/@kmpetrov,Video Summaries,11,Morning,English/Amharic,Analyzed case studies
Marta Tesfaye,A,Female,https://www.youtube.com/@10msuniversitycourses,Case Studies,13,Night,English/Amharic,Practiced past exams
Meklit weldehawaryat,A+,Female,https://www.youtube.com/@Naaf501,Practice Quizzes,11,Evening,English/Amharic,Focused on documentaries
Chala Fentaw,A+,Male,https://www.youtube.com/@10msuniversitycourses,Video Summaries,14,Afternoon,English/Amharic,Drew diagrams
Marta Shimuye,A+,Female,https://www.youtube.com/@kmpetrov,Flashcards,5,Night,English/Amharic,Joined online study groups
Abebe Hailu,A+,Female,https://www.youtube.com/@Alanisbusinessacademy,Peer Teaching,18,Evening,English/Amharic,Color-coded notes
Ruth Seid,A+,Female,https://www.youtube.com/@justinjarvis5681,Practice Quizzes,5,Night,English/Amharic,Color-coded notes
Bethel Assefa,A,Female,https://www.youtube.com/@crashcourse,Self-Testing,16,Morning,English/Amharic,Used Anki flashcards
Meklit Worku,A,Female,https://www.youtube.com/@Alanisbusinessacademy,Self-Testing,12,Morning,English/Amharic,Joined online study groups
Meklit Seid,A+,Female,https://www.youtube.com/@mitocw,Video Summaries,17,Evening,English/Amharic,Color-coded notes
Eden Seid,A,Female,https://www.youtube.com/@Tony-Bell,Flashcards,19,Morning,English/Amharic,Practiced past exams
KedirTewodros Hailu,A,Female,https://www.youtube.com/@mitocw,Case Studies,8,Morning,English/Amharic,Joined online study groups
Tsehay Shimuye,A+,Female,https://www.youtube.com/@profryan6701,Peer Teaching,19,Afternoon,English/Amharic,Color-coded notes
Mihret Abebe,A+,Male,https://www.youtube.com/@fortinoacademics,Group Study,11,Afternoon,English/Amharic,Used Anki flashcards
Bethel Hailu,A,Female,https://www.khanacademy.org/economics-finance-domain,Spaced Repetition,17,Evening,English/Amharic,Joined online study groups
Eden Tesfaye,A+,Female,https://www.youtube.com/@justinjarvis5681,Mind Mapping,17,Evening,English/Amharic,Focused on documentaries
Seyoum Jenberu,A+,Male,https://www.youtube.com/@justinjarvis5681,Mind Mapping,7,Morning,English/Amharic,Analyzed case studies
Sofia Mekonnen,A+,Male,https://www.youtube.com/@freecodecamp,Peer Teaching,13,Morning,English/Amharic,Timed simulations
Belay Shimuye,A+,Female,https://www.youtube.com/@Bilal-Alex,Spaced Repetition,7,Night,English/Amharic,Practiced past exams
Rahel Jenberu,A+,Female,https://www.youtube.com/@crashcourse,Flashcards,16,Morning,English/Amharic,Analyzed case studies
Abel Tesfaye,A,Male,https://www.khanacademy.org/economics-finance-domain,Peer Teaching,13,Afternoon,English/Amharic,Color-coded notes
Marta Kebede,A,Male,https://www.youtube.com/@Bilal-Alex,Self-Testing,11,Night,English/Amharic,Practiced past exams
Zewditu Worku,A,Male,https://www.youtube.com/@Bilal-Alex,Self-Testing,8,Evening,English/Amharic,Joined online study groups
Belay Seid,A+,Male,https://www.youtube.com/@mitocw,Case Studies,18,Evening,English/Amharic,Joined online study groups
Seyoum Asrat,A+,Male,https://www.youtube.com/@Naaf501,Self-Testing,14,Afternoon,English/Amharic,Used Anki flashcards
Hagos Amare,A+,Female,https://www.youtube.com/@justinjarvis5681,Self-Testing,6,Evening,English/Amharic,Focused on documentaries
KedirTewodros Assefa,A,Female,https://www.youtube.com/@10msuniversitycourses,Spaced Repetition,10,Night,English/Amharic,Used Anki flashcards
Dawit Tadesse,A+,Female,https://www.youtube.com/@Naaf501,Practice Quizzes,17,Night,English/Amharic,Drew diagrams
Driba Shimuye,A+,Male,https://www.youtube.com/@Bilal-Alex,Mind Mapping,16,Afternoon,English/Amharic,Practiced past exams
Bethel weldehawaryat,A,Male,https://www.youtube.com/@crashcourse,Spaced Repetition,7,Morning,English/Amharic,Timed simulations
Marta Abebe,A,Female,https://www.youtube.com/@justinjarvis5681,Flashcards,10,Morning,English/Amharic,Joined online study groups
Belay Tesfaye,A+,Male,https://www.youtube.com/@profryan6701,Self-Testing,5,Afternoon,English/Amharic,Used Anki flashcards
Sewit Tesfaye,A+,Male,https://www.youtube.com/@kmpetrov,Group Study,10,Night,English/Amharic,Wrote summaries
Bethel weldehawaryat,A,Female,https://www.youtube.com/@justinjarvis5681,Group Study,14,Night,English/Amharic,Focused on documentaries
Bethel Assefa,A+,Female,https://www.youtube.com/@kmpetrov,Video Summaries,19,Morning,English/Amharic,Timed simulations
Kiros Tadesse,A+,Male,https://www.youtube.com/@10msuniversitycourses,Practice Quizzes,17,Afternoon,English/Amharic,Focused on documentaries
Zelalem Assefa,A+,Female,https://www.youtube.com/@justinjarvis5681,Group Study,18,Afternoon,English/Amharic,Joined online study groups
Kiros Abebe,A+,Male,https://www.khanacademy.org/economics-finance-domain,Flashcards,14,Evening,English/Amharic,Timed simulations
Mulat Jenberu,A+,Female,https://www.youtube.com/@Tony-Bell,Practice Quizzes,19,Morning,English/Amharic,Joined online study groups
Kebede Lemma,A+,Male,https://www.youtube.com/@mitocw,Video Summaries,7,Morning,English/Amharic,Analyzed case studies
Girmay Assefa,A+,Male,https://www.khanacademy.org/economics-finance-domain,Flashcards,18,Morning,English/Amharic,Used Anki flashcards
Zelalem Tadesse,A+,Female,https://www.khanacademy.org/economics-finance-domain,Spaced Repetition,12,Night,English/Amharic,Focused on documentaries
Bethel weldehawaryat,A,Female,https://www.youtube.com/@profryan6701,Video Summaries,10,Evening,English/Amharic,Focused on documentaries
Eden Abebe,A+,Male,https://www.youtube.com/@kmpetrov,Self-Testing,5,Night,English/Amharic,Analyzed case studies
Hana Assefa,A+,Female,https://www.youtube.com/@kmpetrov,Practice Quizzes,11,Afternoon,English/Amharic,Focused on documentaries
Hagos Mekonnen,A+,Female,https://www.youtube.com/@kmpetrov,Practice Quizzes,19,Afternoon,English/Amharic,Practiced past exams
Hagos Abebe,A+,Female,https://www.youtube.com/@crashcourse,Practice Quizzes,5,Morning,English/Amharic,Practiced past exams
Birtukan Jenberu,A+,Female,https://www.youtube.com/@fortinoacademics,Group Study,9,Afternoon,English/Amharic,Drew diagrams
Sewit Getachew,A,Male,https://www.youtube.com/@kmpetrov,Practice Quizzes,19,Morning,English/Amharic,Analyzed case studies
Nahom Asrat,A,Female,https://www.youtube.com/@fortinoacademics,Group Study,8,Night,English/Amharic,Timed simulations
Mohammed Tesfaye,A+,Female,https://www.youtube.com/@profryan6701,Practice Quizzes,7,Morning,English/Amharic,Joined online study groups
Rahel Shimuye,A,Male,https://www.youtube.com/@Alanisbusinessacademy,Spaced Repetition,9,Morning,English/Amharic,Focused on documentaries
Marta Girma,A,Male,https://www.youtube.com/@Tony-Bell,Self-Testing,19,Morning,English/Amharic,Drew diagrams
Mekonnen Asrat,A+,Male,https://www.khanacademy.org/economics-finance-domain,Peer Teaching,5,Night,English/Amharic,Used Anki flashcards
Seyoum Worku,A+,Female,https://www.youtube.com/@Alanisbusinessacademy,Case Studies,18,Night,English/Amharic,Focused on documentaries
Atnafu Girma,A,Male,https://www.youtube.com/@crashcourse,Practice Quizzes,19,Evening,English/Amharic,Focused on documentaries
Hagos Tesfaye,A,Female,https://www.youtube.com/@Tony-Bell,Case Studies,9,Night,English/Amharic,Analyzed case studies
Ephrem Amare,A,Female,https://www.youtube.com/@Naaf501,Self-Testing,5,Morning,English/Amharic,Practiced past exams
Yemesrach Kebede,A,Male,https://www.youtube.com/@10msuniversitycourses,Mind Mapping,19,Night,English/Amharic,Drew diagrams
Genet Worku,A+,Male,https://www.youtube.com/@Naaf501,Practice Quizzes,14,Morning,English/Amharic,Joined online study groups
Selamawit Getachew,A,Male,https://www.youtube.com/@10msuniversitycourses,Video Summaries,9,Morning,English/Amharic,Used Anki flashcards
Sewit Lemma,A,Female,https://www.youtube.com/@fortinoacademics,Group Study,11,Morning,English/Amharic,Analyzed case studies
Mohammed Fentaw,A,Male,https://www.youtube.com/@fortinoacademics,Group Study,19,Afternoon,English/Amharic,Focused on documentaries
Tigist Asrat,A+,Female,https://www.youtube.com/@Alanisbusinessacademy,Spaced Repetition,18,Night,English/Amharic,Drew diagrams
Zelalem Getachew,A+,Female,https://www.youtube.com/@justinjarvis5681,Practice Quizzes,17,Night,English/Amharic,Joined online study groups
Selamawit Kebede,A+,Male,https://www.youtube.com/@fortinoacademics,Spaced Repetition,16,Evening,English/Amharic,Used Anki flashcards
Marta Girma,A,Male,https://www.youtube.com/@kmpetrov,Peer Teaching,17,Evening,English/Amharic,Color-coded notes
Kiros Lemma,A,Female,https://www.youtube.com/@mitocw,Case Studies,14,Night,English/Amharic,Focused on documentaries
Abel weldehawaryat,A+,Male,https://www.youtube.com/@mitocw,Self-Testing,5,Morning,English/Amharic,Wrote summaries
Hagos Tesfaye,A,Male,https://www.youtube.com/@mitocw,Mind Mapping,18,Morning,English/Amharic,Wrote summaries
Samuel Zinabu,A,Male,https://www.youtube.com/@Bilal-Alex,Spaced Repetition,12,Night,English/Amharic,Drew diagrams
Yared weldehawaryat,A+,Male,https://www.youtube.com/@Naaf501,Practice Quizzes,9,Morning,English/Amharic,Joined online study groups
Zewditu Girma,A+,Female,https://www.youtube.com/@Tony-Bell,Self-Testing,6,Night,English/Amharic,Wrote summaries
Driba weldehawaryat,A,Male,https://www.youtube.com/@10msuniversitycourses,Video Summaries,5,Evening,English/Amharic,Used Anki flashcards
Yemesrach Jenberu,A+,Male,https://www.youtube.com/@profryan6701,Flashcards,12,Night,English/Amharic,Color-coded notes
Driba Fentaw,A+,Male,https://www.youtube.com/@crashcourse,Practice Quizzes,12,Afternoon,English/Amharic,Practiced past exams
Hana Worku,A+,Female,https://www.youtube.com/@crashcourse,Peer Teaching,17,Afternoon,English/Amharic,Timed simulations
Kiros Assefa,A+,Male,https://www.youtube.com/@fortinoacademics,Video Summaries,6,Afternoon,English/Amharic,Joined online study groups
Birtukan Abebe,A,Male,https://www.youtube.com/@fortinoacademics,Group Study,8,Night,English/Amharic,Wrote summaries
KedirTewodros Worku,A+,Male,https://www.youtube.com/@profryan6701,Practice Quizzes,7,Night,English/Amharic,Practiced past exams
Marta Asrat,A+,Female,https://www.youtube.com/@kmpetrov,Group Study,10,Afternoon,English/Amharic,Wrote summaries
Tsehay Worku,A,Male,https://www.youtube.com/@Naaf501,Group Study,18,Afternoon,English/Amharic,Timed simulations
Kiros Worku,A+,Male,https://www.youtube.com/@Naaf501,Peer Teaching,8,Morning,English/Amharic,Wrote summaries
Girmay weldehawaryat,A+,Male,https://www.youtube.com/@Naaf501,Self-Testing,10,Evening,English/Amharic,Wrote summaries
Fikirte Asrat,A+,Female,https://www.youtube.com/@mitocw,Flashcards,14,Afternoon,English/Amharic,Practiced past exams
Tsehay Abebe,A+,Male,https://www.youtube.com/@Bilal-Alex,Group Study,19,Morning,English/Amharic,Timed simulations
Sewit Zinabu,A,Male,https://www.youtube.com/@mitocw,Self-Testing,7,Evening,English/Amharic,Practiced past exams
Yemesrach Asrat,A+,Male,https://www.youtube.com/@profryan6701,Mind Mapping,15,Morning,English/Amharic,Color-coded notes
Mulugeta Amare,A,Male,https://www.youtube.com/@freecodecamp,Spaced Repetition,5,Morning,English/Amharic,Drew diagrams
Marta Mekonnen,A+,Male,https://www.khanacademy.org/economics-finance-domain,Peer Teaching,13,Morning,English/Amharic,Practiced past exams
Mulat weldehawaryat,A+,Male,https://www.youtube.com/@10msuniversitycourses,Case Studies,7,Evening,English/Amharic,Wrote summaries
Zewditu Jenberu,A,Female,https://www.youtube.com/@freecodecamp,Practice Quizzes,6,Morning,English/Amharic,Color-coded notes
Mekonnen Mekonnen,A+,Female,https://www.khanacademy.org/economics-finance-domain,Mind Mapping,18,Afternoon,English/Amharic,Color-coded notes
