Name,Grade,Gender,Recommended Channel/Link,Learning Strategy,Study Hours Per Week,Preferred Study Time,Language of Instruction,Additional Notes
Driba Worku,A+,Male,https://www.youtube.com/@freecodecamp,Case Studies,14,Evening,English/Amharic,Analyzed case studies
Samuel Asrat,A+,Female,https://www.youtube.com/@SayefReyadh,Group Study,7,Afternoon,English/Amharic,Joined online study groups
Chala Hailu,A+,Female,https://www.youtube.com/@mitocw,Flashcards,5,Night,English/Amharic,Drew diagrams
Abebe Jenberu,A+,Male,https://www.youtube.com/@RGLECTURES,Practice Quizzes,16,Evening,English/Amharic,Practiced past exams
Mohammed Assefa,A+,Male,https://www.youtube.com/@ekeedaelectronicsengineeri8031,Case Studies,6,Night,English/Amharic,Timed simulations
Kalkidan Mekonnen,A,Female,https://www.youtube.com/@freecodecamp,Mind Mapping,8,Night,English/Amharic,Analyzed case studies
Abebe weldehawaryat,A,Female,https://www.youtube.com/@WhiteboardDoodles24,Peer Teaching,6,Night,English/Amharic,Practiced past exams
Chala Lemma,A,Female,https://www.youtube.com/@ITIndustryExposure,Mind Mapping,14,Night,English/Amharic,Focused on documentaries
Birtukan Kebede,A+,Female,https://www.tutorialspoint.com/assembly_programming/assembly_introduction.htm,Group Study,18,Evening,English/Amharic,Timed simulations
Ruth Seid,A+,Male,https://www.youtube.com/@freecodecamp,Group Study,14,Morning,English/Amharic,Timed simulations
Yared Worku,A,Male,https://www.youtube.com/@ScratchLearners,Self-Testing,12,Morning,English/Amharic,Wrote summaries
Mulugeta Asrat,A,Female,https://www.youtube.com/@LearnOnline1,Practice Quizzes,5,Evening,English/Amharic,Joined online study groups
Temesgen Amare,A+,Female,https://www.youtube.com/@ScratchLearners,Self-Testing,12,Night,English/Amharic,Focused on documentaries
Kiros Seid,A,Female,https://www.youtube.com/@SayefReyadh,Flashcards,7,Night,English/Amharic,Wrote summaries
Mulat Tesfaye,A+,Male,https://www.tutorialspoint.com/assembly_programming/assembly_introduction.htm,Practice Quizzes,5,Morning,English/Amharic,Analyzed case studies
Kalkidan Amare,A,Male,https://www.tutorialspoint.com/assembly_programming/assembly_introduction.htm,Practice Quizzes,19,Night,English/Amharic,Analyzed case studies
Marta Kebede,A+,Male,https://www.youtube.com/@ScratchLearners,Peer Teaching,17,Night,English/Amharic,Analyzed case studies
Zelalem Getachew,A+,Female,https://www.youtube.com/@ekeedaelectronicsengineeri8031,Flashcards,10,Night,English/Amharic,Practiced past exams
Lidia Asrat,A,Male,https://www.youtube.com/@mitocw,Self-Testing,11,Afternoon,English/Amharic,Used Anki flashcards
Meklit Tadesse,A+,Male,https://www.youtube.com/@ITIndustryExposure,Group Study,15,Morning,English/Amharic,Joined online study groups
Kiros Fentaw,A,Female,https://www.tutorialspoint.com/assembly_programming/assembly_introduction.htm,Video Summaries,12,Morning,English/Amharic,Practiced past exams
