Name,Grade,Gender,Recommended Channel/Link,Learning Strategy,Study Hours Per Week,Preferred Study Time,Language of Instruction,Additional Notes
Driba Worku,A+,Male,https://www.tutorialspoint.com/android/index.htm,Case Studies,14,Evening,English/Amharic,Analyzed case studies
Samuel Asrat,A+,Female,https://www.youtube.com/@programmingtraining2186,Group Study,7,Afternoon,English/Amharic,Joined online study groups
Chala Hailu,A+,Female,https://www.youtube.com/@smartherd,Flashcards,5,Night,English/Amharic,Drew diagrams
Abebe Jenberu,A+,Male,https://www.youtube.com/@MasterCodingTeam,Practice Quizzes,16,Evening,English/Amharic,Practiced past exams
Mohammed Assefa,A+,Male,https://www.youtube.com/@freecodecamp,Case Studies,6,Night,English/Amharic,Timed simulations
Kalkidan Mekonnen,A,Female,https://www.tutorialspoint.com/android/index.htm,Mind Mapping,8,Night,English/Amharic,Analyzed case studies
Abebe weldehawaryat,A,Female,https://www.geeksforgeeks.org/android-tutorial/,Peer Teaching,6,Night,English/Amharic,Practiced past exams
Chala Lemma,A,Female,https://www.youtube.com/@programmingwithmosh,Mind Mapping,14,Night,English/Amharic,Focused on documentaries
Birtukan Kebede,A+,Female,https://www.youtube.com/@programmingtraining2186,Case Studies,16,Morning,English/Amharic,Wrote summaries
Senait Seid,A+,Male,https://www.tutorialspoint.com/android/index.htm,Group Study,14,Morning,English/Amharic,Timed simulations
Yared Worku,A,Male,https://www.youtube.com/@VTUeShikshanaProgramme,Self-Testing,12,Morning,English/Amharic,Wrote summaries
Mulugeta Asrat,A,Female,https://developer.android.com/codelabs/basic-android-kotlin-compose-first-app,Practice Quizzes,5,Evening,English/Amharic,Joined online study groups
Temesgen Amare,A+,Female,https://www.youtube.com/@VTUeShikshanaProgramme,Self-Testing,12,Night,English/Amharic,Focused on documentaries
Kiros Seid,A,Female,https://www.youtube.com/@programmingtraining2186,Flashcards,7,Night,English/Amharic,Wrote summaries
Mulat Tesfaye,A+,Male,https://developer.android.com/codelabs/basic-android-kotlin-compose-first-app,Spaced Repetition,9,Afternoon,English/Amharic,Analyzed case studies
Kalkidan Amare,A,Male,https://www.youtube.com/@MasterCodingTeam,Practice Quizzes,19,Night,English/Amharic,Analyzed case studies
Marta Kebede,A+,Male,https://www.youtube.com/@VTUeShikshanaProgramme,Peer Teaching,17,Night,English/Amharic,Analyzed case studies
Zelalem Getachew,A+,Female,https://www.youtube.com/@freecodecamp,Flashcards,10,Night,English/Amharic,Practiced past exams
Lidia Asrat,A,Male,https://www.youtube.com/@smartherd,Self-Testing,11,Afternoon,English/Amharic,Used Anki flashcards
