Name,Grade,Gender,Recommended Channel/Link,Learning Strategy,Study Hours Per Week,Preferred Study Time,Language of Instruction,Additional Notes
Abebe Worku,A+,Male,https://www.youtube.com/@SleepStudy,Practice Quizzes,11,Evening,English/Amharic,Wrote summaries
Fikirte weldehawaryat,A+,Female,https://www.youtube.com/@makingITsimple1,Group Study,16,Afternoon,English/Amharic,Drew diagrams
Tewodros Abebe,A,Female,https://www.geeksforgeeks.org/5-operating-system-concepts-you-should-know-as-a-developer/,Self-Testing,5,Evening,English/Amharic,Color-coded notes
Marta Tesfaye,A+,Male,https://www.youtube.com/@5MinutesEngineering,Case Studies,6,Night,English/Amharic,Timed simulations
Ephrem Mekonnen,A,Female,https://www.youtube.com/@makingITsimple1,Peer Teaching,16,Evening,English/Amharic,Analyzed case studies
Marta weldehawaryat,A,Female,https://www.udacity.com/course/operating-systems--ud923,Peer Teaching,6,Night,English/Amharic,Practiced past exams
Tewodros Lemma,A,Female,https://www.geeksforgeeks.org/5-operating-system-concepts-you-should-know-as-a-developer/,Mind Mapping,14,Afternoon,English/Amharic,Practiced past exams
Ephrem Seid,A,Female,https://www.youtube.com/@GateSmashers,Flashcards,17,Afternoon,English/Amharic,Joined online study groups
Kassa Tadesse,A,Male,https://www.tutorialspoint.com/operating_system/index.htm,Spaced Repetition,13,Evening,English/Amharic,Timed simulations
Kassa Abebe,A,Female,https://www.youtube.com/@codingshuttle,Practice Quizzes,5,Night,English/Amharic,Color-coded notes
Ruth Abebe,A+,Female,https://www.youtube.com/@SleepStudy,Self-Testing,16,Evening,English/Amharic,Timed simulations
Samuel Hailu,A,Female,https://www.youtube.com/@crashcourse,Practice Quizzes,16,Night,English/Amharic,Drew diagrams
Lidia Tesfaye,A+,Male,https://www.edx.org/learn/operating-systems,Practice Quizzes,5,Morning,English/Amharic,Analyzed case studies
Ephrem Amare,A,Male,https://www.edx.org/learn/operating-systems,Practice Quizzes,19,Night,English/Amharic,Analyzed case studies
Seyoum Kebede,A+,Male,https://www.youtube.com/@SleepStudy,Peer Teaching,17,Night,English/Amharic,Analyzed case studies
Yemesrach Getachew,A+,Female,https://www.youtube.com/@freecodecamp,Peer Teaching,18,Afternoon,English/Amharic,Analyzed case studies
Sifan Amare,A+,Male,https://www.tutorialspoint.com/operating_system/index.htm,Self-Testing,7,Evening,English/Amharic,Drew diagrams
Samuel Zinabu,A+,Male,https://www.youtube.com/@freecodecamp,Group Study,19,Evening,English/Amharic,Drew diagrams
Seyoum Zinabu,A+,Female,https://www.udacity.com/course/operating-systems--ud923,Peer Teaching,16,Afternoon,English/Amharic,Analyzed case studies
Tewodros Tesfaye,A,Male,https://www.udacity.com/course/operating-systems--ud923,Spaced Repetition,6,Afternoon,English/Amharic,Drew diagrams
Marta Assefa,A,Male,https://www.youtube.com/@makingITsimple1,Flashcards,16,Afternoon,English/Amharic,Drew diagrams
Seyoum Kebede,A,Female,https://www.udacity.com/course/operating-systems--ud923,Video Summaries,12,Morning,English/Amharic,Practiced past exams
Girmay Lemma,A,Male,https://www.udemy.com/topic/operating-system-creation/?srsltid=AfmBOoponSWgMjcPIAFBQ1kcHwW5kPN9k-1ELA0vOnjaDsIp0RKORXze,Spaced Repetition,13,Night,English/Amharic,Drew diagrams
Zewditu Tesfaye,A+,Male,https://www.youtube.com/@JennyslecturesCSIT,Practice Quizzes,14,Evening,English/Amharic,Color-coded notes
Tsehay Amare,A,Male,https://www.youtube.com/@GateSmashers,Case Studies,6,Night,English/Amharic,Used Anki flashcards
Kalkidan Mekonnen,A+,Female,https://www.youtube.com/@freecodecamp,Practice Quizzes,11,Night,English/Amharic,Timed simulations
Tewodros Abebe,A,Female,https://www.youtube.com/@crashcourse,Flashcards,15,Evening,English/Amharic,Timed simulations
Jemal Tesfaye,A+,Female,https://www.youtube.com/@Fireship,Peer Teaching,12,Afternoon,English/Amharic,Wrote summaries
Bela Asrat,A+,Female,https://www.youtube.com/@freecodecamp,Group Study,8,Afternoon,English/Amharic,Color-coded notes
Sewit Tesfaye,A+,Female,https://www.coursera.org/courses?query=operating%20system,Mind Mapping,6,Afternoon,English/Amharic,Color-coded notes
Zewditu Zinabu,A,Female,https://www.youtube.com/@nesoacademy,Flashcards,8,Night,English/Amharic,Wrote summaries
Birtukan Tesfaye,A+,Male,https://www.udemy.com/topic/operating-system-creation/?srsltid=AfmBOoponSWgMjcPIAFBQ1kcHwW5kPN9k-1ELA0vOnjaDsIp0RKORXze,Practice Quizzes,10,Evening,English/Amharic,Drew diagrams
Zelalem Lemma,A+,Male,https://www.youtube.com/@GateSmashers,Mind Mapping,9,Afternoon,English/Amharic,Used Anki flashcards
Sifan Worku,A+,Male,https://www.udemy.com/topic/operating-system-creation/?srsltid=AfmBOoponSWgMjcPIAFBQ1kcHwW5kPN9k-1ELA0vOnjaDsIp0RKORXze,Practice Quizzes,8,Evening,English/Amharic,Used Anki flashcards
Tigist Hailu,A+,Male,https://www.coursera.org/courses?query=operating%20system,Flashcards,10,Evening,English/Amharic,Timed simulations
Temesgen Jenberu,A+,Male,https://www.youtube.com/@Fireship,Spaced Repetition,8,Evening,English/Amharic,Joined online study groups
Seyoum Abebe,A,Female,https://www.youtube.com/@freecodecamp,Video Summaries,14,Evening,English/Amharic,Wrote summaries
Zelalem Mekonnen,A+,Female,https://www.youtube.com/@makingITsimple1,Mind Mapping,14,Morning,English/Amharic,Wrote summaries
Bela Zinabu,A+,Female,https://www.youtube.com/@SleepStudy,Case Studies,14,Evening,English/Amharic,Focused on documentaries
Bethel Tadesse,A,Male,https://www.youtube.com/@JennyslecturesCSIT,Peer Teaching,5,Night,English/Amharic,Color-coded notes
Marta Worku,A,Female,https://www.udacity.com/course/operating-systems--ud923,Peer Teaching,14,Afternoon,English/Amharic,Drew diagrams
Kebede Assefa,A+,Male,https://www.geeksforgeeks.org/5-operating-system-concepts-you-should-know-as-a-developer/,Flashcards,11,Night,English/Amharic,Drew diagrams
Kidane Worku,A+,Female,https://www.udemy.com/topic/operating-system-creation/?srsltid=AfmBOoponSWgMjcPIAFBQ1kcHwW5kPN9k-1ELA0vOnjaDsIp0RKORXze,Mind Mapping,16,Afternoon,English/Amharic,Color-coded notes
Tigist Fentaw,A+,Male,https://www.youtube.com/@crashcourse,Flashcards,18,Evening,English/Amharic,Timed simulations
Hana Abebe,A,Male,https://www.edx.org/learn/operating-systems,Mind Mapping,18,Afternoon,English/Amharic,Timed simulations
Atnafu Tadesse,A,Female,https://www.youtube.com/@SleepStudy,Flashcards,10,Morning,English/Amharic,Analyzed case studies
Selamawit Hailu,A+,Male,https://www.youtube.com/@crashcourse,Video Summaries,13,Morning,English/Amharic,Joined online study groups
Abiy Jenberu,A,Female,https://www.youtube.com/@crashcourse,Flashcards,11,Night,English/Amharic,Used Anki flashcards
Kiros Assefa,A,Female,https://www.youtube.com/@crashcourse,Peer Teaching,6,Night,English/Amharic,Color-coded notes
Seyoum Abebe,A+,Male,https://www.youtube.com/@JennyslecturesCSIT,Group Study,11,Afternoon,English/Amharic,Used Anki flashcards
Sifan Hailu,A,Female,https://www.youtube.com/@nesoacademy,Spaced Repetition,17,Evening,English/Amharic,Joined online study groups
Hana Tesfaye,A+,Female,https://www.youtube.com/@freecodecamp,Mind Mapping,17,Evening,English/Amharic,Focused on documentaries
Ruth Jenberu,A+,Male,https://www.youtube.com/@freecodecamp,Mind Mapping,7,Morning,English/Amharic,Analyzed case studies
Dawit Mekonnen,A+,Male,https://www.youtube.com/@JennyslecturesCSIT,Self-Testing,9,Morning,English/Amharic,Timed simulations
Fikirte Shimuye,A+,Female,https://www.youtube.com/@Fireship,Spaced Repetition,7,Night,English/Amharic,Practiced past exams
Senait Jenberu,A+,Female,https://www.youtube.com/@crashcourse,Spaced Repetition,11,Morning,English/Amharic,Analyzed case studies
Bethel Tesfaye,A,Male,https://www.udacity.com/course/operating-systems--ud923,Peer Teaching,13,Afternoon,English/Amharic,Color-coded notes
Fikirte Hailu,A+,Male,https://www.geeksforgeeks.org/5-operating-system-concepts-you-should-know-as-a-developer/,Self-Testing,11,Night,English/Amharic,Practiced past exams
Mulat Worku,A,Male,https://www.youtube.com/@Fireship,Self-Testing,8,Evening,English/Amharic,Joined online study groups
Fikirte Seid,A+,Male,https://www.youtube.com/@freecodecamp,Case Studies,18,Evening,English/Amharic,Joined online study groups
