Name,Grade,Gender,Recommended Channel/Link,Learning Strategy,Study Hours Per Week,Preferred Study Time,Language of Instruction,Additional Notes
Driba Worku,A+,Male,https://www.youtube.com/@brightsideofmaths,Practice Quizzes,11,Evening,English/Amharic,Wrote summaries
Sewit Kebede,A,Male,https://www.youtube.com/@MyCS1,Group Study,16,Afternoon,English/Amharic,Drew diagrams
Chala Abebe,A,Female,https://www.youtube.com/@SimplilearnOfficial,Self-Testing,5,Evening,English/Amharic,Color-coded notes
Abebe Tesfaye,A+,Male,https://www.youtube.com/@khanacademy,Case Studies,6,Night,English/Amharic,Timed simulations
Kalkidan Mekonnen,A,Female,https://www.youtube.com/@MyCS1,Peer Teaching,16,Evening,English/Amharic,Analyzed case studies
Abebe weldehawaryat,A,Female,https://www.w3schools.com/statistics/,Peer Teaching,6,Night,English/Amharic,Practiced past exams
Chala Lemma,A,Female,https://www.youtube.com/@SimplilearnOfficial,Mind Mapping,14,Afternoon,English/Amharic,Practiced past exams
Kalkidan Seid,A,Female,https://www.youtube.com/@KindsonTheGenius,Flashcards,17,Afternoon,English/Amharic,Joined online study groups
Mulugeta Tadesse,A,Male,https://www.youtube.com/@freecodecamp,Spaced Repetition,13,Evening,English/Amharic,Timed simulations
Mulugeta Abebe,A,Female,https://www.youtube.com/@harvard,Practice Quizzes,5,Night,English/Amharic,Color-coded notes
Seyoum Abebe,A+,Female,https://www.youtube.com/@brightsideofmaths,Self-Testing,16,Evening,English/Amharic,Timed simulations
Frehiwot Hailu,A,Female,https://www.youtube.com/@edurekaIN,Practice Quizzes,16,Night,English/Amharic,Drew diagrams
Kassa Tesfaye,A+,Male,https://www.youtube.com/@statquest,Practice Quizzes,5,Morning,English/Amharic,Analyzed case studies
Kalkidan Amare,A,Male,https://www.youtube.com/@statquest,Practice Quizzes,19,Night,English/Amharic,Analyzed case studies
Marta Kebede,A+,Male,https://www.youtube.com/@brightsideofmaths,Peer Teaching,17,Night,English/Amharic,Analyzed case studies
Zelalem Getachew,A+,Female,https://www.youtube.com/@MathTV-x7q,Peer Teaching,18,Afternoon,English/Amharic,Analyzed case studies
Bethel Amare,A+,Male,https://www.youtube.com/@freecodecamp,Self-Testing,7,Evening,English/Amharic,Drew diagrams
Frehiwot Zinabu,A+,Male,https://www.youtube.com/@Intellipaat,Group Study,19,Evening,English/Amharic,Drew diagrams
Mihret Zinabu,A+,Female,https://www.w3schools.com/statistics/,Peer Teaching,16,Afternoon,English/Amharic,Analyzed case studies
Chala Tesfaye,A,Male,https://www.w3schools.com/statistics/,Spaced Repetition,6,Afternoon,English/Amharic,Drew diagrams
Tsehay Assefa,A,Male,https://www.youtube.com/@MyCS1,Flashcards,16,Afternoon,English/Amharic,Drew diagrams
Mihret Kebede,A,Female,https://www.w3schools.com/statistics/,Video Summaries,12,Morning,English/Amharic,Practiced past exams
Genet Lemma,A,Male,https://www.geeksforgeeks.org/probability-and-statistics/,Spaced Repetition,13,Night,English/Amharic,Drew diagrams
Nahom Tesfaye,A+,Male,https://www.youtube.com/@ManochaAcademy,Practice Quizzes,14,Evening,English/Amharic,Color-coded notes
Tigist Amare,A,Male,https://www.youtube.com/@KindsonTheGenius,Case Studies,6,Night,English/Amharic,Used Anki flashcards
Samuel Mekonnen,A+,Female,https://www.youtube.com/@Intellipaat,Practice Quizzes,11,Night,English/Amharic,Timed simulations
Abiy Jenberu,A,Female,https://www.youtube.com/@SimplilearnOfficial,Flashcards,9,Night,English/Amharic,Analyzed case studies
Yohannes Zinabu,A,Female,https://www.geeksforgeeks.org/probability-and-statistics/,Practice Quizzes,8,Night,English/Amharic,Drew diagrams
Kiros Asrat,A+,Female,https://www.youtube.com/@MathTV-x7q,Group Study,8,Afternoon,English/Amharic,Color-coded notes
Kebede Tesfaye,A+,Female,https://www.youtube.com/@IshaFemur,Mind Mapping,6,Afternoon,English/Amharic,Color-coded notes
Nahom Zinabu,A,Female,https://www.youtube.com/@TheOrganicChemistryTutor,Flashcards,8,Night,English/Amharic,Wrote summaries
Dawit Tesfaye,A+,Male,https://www.geeksforgeeks.org/probability-and-statistics/,Practice Quizzes,10,Evening,English/Amharic,Drew diagrams
Jemal Lemma,A+,Male,https://www.youtube.com/@KindsonTheGenius,Mind Mapping,9,Afternoon,English/Amharic,Used Anki flashcards
Bethel Worku,A+,Male,https://www.geeksforgeeks.org/probability-and-statistics/,Practice Quizzes,8,Evening,English/Amharic,Used Anki flashcards
Ephrem Hailu,A+,Male,https://www.youtube.com/@IshaFemur,Flashcards,10,Evening,English/Amharic,Timed simulations
Girmay Jenberu,A+,Male,https://www.youtube.com/@econstatspublicfinance,Spaced Repetition,8,Evening,English/Amharic,Joined online study groups
Mihret Abebe,A,Female,https://www.youtube.com/@Intellipaat,Video Summaries,14,Evening,English/Amharic,Wrote summaries
Jemal Mekonnen,A+,Female,https://www.youtube.com/@MyCS1,Mind Mapping,14,Morning,English/Amharic,Wrote summaries
Kiros Zinabu,A+,Female,https://www.youtube.com/@brightsideofmaths,Case Studies,14,Evening,English/Amharic,Focused on documentaries
Yemesrach Tadesse,A,Male,https://www.youtube.com/@ManochaAcademy,Peer Teaching,5,Night,English/Amharic,Color-coded notes
Tsehay Worku,A,Female,https://www.w3schools.com/statistics/,Peer Teaching,14,Afternoon,English/Amharic,Drew diagrams
