Name,Grade,Gender,Recommended Channel/Link,Learning Strategy,Study Hours Per Week,Preferred Study Time,Language of Instruction,Additional Notes
Driba Worku,A+,Male,https://www.youtube.com/@Udacity,Case Studies,14,Evening,English/Amharic,Analyzed case studies
Samuel Asrat,A+,Female,https://www.youtube.com/@EnfocusSolutions,Group Study,7,Afternoon,English/Amharic,Joined online study groups
Chala Hailu,A+,Female,https://www.geeksforgeeks.org/software-engineering-requirements-engineering-process/,Flashcards,5,Night,English/Amharic,Drew diagrams
Abebe Jenberu,A+,Male,https://www.youtube.com/@5MinutesEngineering,Practice Quizzes,16,Evening,English/Amharic,Practiced past exams
Mohammed Assefa,A+,Male,https://www.youtube.com/@mitocw,Case Studies,6,Night,English/Amharic,Timed simulations
Kalkidan Mekonnen,A,Female,https://www.youtube.com/@Udacity,Mind Mapping,8,Night,English/Amharic,Analyzed case studies
Abebe weldehawaryat,A,Female,https://www.youtube.com/@ExpertWave,Peer Teaching,6,Night,English/Amharic,Practiced past exams
Chala Lemma,A,Female,https://www.youtube.com/@websystemsengineering9893,Mind Mapping,14,Night,English/Amharic,Focused on documentaries
Birtukan Kebede,A+,Female,https://www.youtube.com/@EnfocusSolutions,Case Studies,16,Morning,English/Amharic,Wrote summaries
Senait Seid,A+,Male,https://www.youtube.com/@Udacity,Group Study,14,Morning,English/Amharic,Timed simulations
Yared Worku,A,Male,https://www.youtube.com/@SoftwareEngineering,Self-Testing,12,Morning,English/Amharic,Wrote summaries
Mulugeta Asrat,A,Female,https://www.youtube.com/@TazzainaMalik,Practice Quizzes,5,Evening,English/Amharic,Joined online study groups
Temesgen Amare,A+,Female,https://www.youtube.com/@SoftwareEngineering,Self-Testing,12,Night,English/Amharic,Focused on documentaries
Kiros Seid,A,Female,https://www.youtube.com/@EnfocusSolutions,Flashcards,7,Night,English/Amharic,Wrote summaries
Mulat Tesfaye,A+,Male,https://www.youtube.com/@TazzainaMalik,Spaced Repetition,9,Afternoon,English/Amharic,Analyzed case studies
Kalkidan Amare,A,Male,https://www.youtube.com/@5MinutesEngineering,Practice Quizzes,19,Night,English/Amharic,Analyzed case studies
Marta Kebede,A+,Male,https://www.youtube.com/@SoftwareEngineering,Peer Teaching,17,Night,English/Amharic,Analyzed case studies
Zelalem Getachew,A+,Female,https://www.youtube.com/@mitocw,Flashcards,10,Night,English/Amharic,Practiced past exams
Lidia Asrat,A,Male,https://www.geeksforgeeks.org/software-engineering-requirements-engineering-process/,Self-Testing,11,Afternoon,English/Amharic,Used Anki flashcards
Meklit Tadesse,A+,Male,https://www.youtube.com/@websystemsengineering9893,Group Study,15,Morning,English/Amharic,Joined online study groups
Kiros Fentaw,A,Female,https://www.youtube.com/@TutorialsPoint_,Video Summaries,12,Morning,English/Amharic,Practiced past exams
Marta Jenberu,A,Female,https://www.youtube.com/@SoftwareEngineering,Mind Mapping,7,Morning,English/Amharic,Joined online study groups
Marta Jenberu,A,Female,https://www.youtube.com/@BirgitPenzenstadler,Video Summaries,11,Morning,English/Amharic,Used Anki flashcards
Meklit Fentaw,A+,Male,https://www.geeksforgeeks.org/software-engineering-requirements-engineering-process/,Video Summaries,11,Night,English/Amharic,Analyzed case studies
Samuel Jenberu,A+,Female,https://www.youtube.com/@Udacity,Peer Teaching,6,Afternoon,English/Amharic,Drew diagrams
Samuel Seid,A+,Male,https://www.geeksforgeeks.org/software-engineering-requirements-engineering-process/,Video Summaries,17,Evening,English/Amharic,Practiced past exams
Belay Fentaw,A+,Male,https://www.youtube.com/@TazzainaMalik,Peer Teaching,11,Night,English/Amharic,Timed simulations
Kiros weldehawaryat,A,Female,https://www.youtube.com/@EnfocusSolutions,Spaced Repetition,15,Night,English/Amharic,Timed simulations
Yemesrach Mekonnen,A+,Female,https://www.youtube.com/@5MinutesEngineering,Practice Quizzes,11,Night,English/Amharic,Timed simulations
Abiy Jenberu,A,Female,https://www.geeksforgeeks.org/software-engineering-requirements-engineering-process/,Flashcards,9,Night,English/Amharic,Analyzed case studies
Yohannes Zinabu,A,Female,https://www.youtube.com/@TazzainaMalik,Peer Teaching,12,Afternoon,English/Amharic,Wrote summaries
Kiros Asrat,A+,Female,https://www.youtube.com/@websystemsengineering9893,Group Study,8,Afternoon,English/Amharic,Color-coded notes
Kebede Tesfaye,A+,Female,https://www.youtube.com/@BirgitPenzenstadler,Mind Mapping,10,Evening,English/Amharic,Timed simulations
Belay Abebe,A,Female,https://www.youtube.com/@Udacity,Peer Teaching,12,Night,English/Amharic,Wrote summaries
Dawit Tesfaye,A+,Male,https://www.geeksforgeeks.org/software-engineering-requirements-engineering-process/,Practice Quizzes,10,Evening,English/Amharic,Drew diagrams
Jemal Lemma,A+,Male,https://www.youtube.com/@websystemsengineering9893,Group Study,15,Evening,English/Amharic,Focused on documentaries
Senait Abebe,A+,Female,https://www.youtube.com/@ExpertWave,Flashcards,16,Morning,English/Amharic,Color-coded notes
