Name,Grade,Recommended Channel/Link,Learning Strategy,Study Hours Per Week,Preferred Study Time,Language of Instruction,Additional Notes
Driba Worku,A+,https://www.youtube.com/@AI.Uncovered,Case Studies,14,Evening,English/Amharic,Analyzed case studies
Samuel Asrat,A+,https://www.youtube.com/@seminartopics618,Group Study,12,Evening,English/Amharic,Drew diagrams
Sewit Getachew,A+,https://www.youtube.com/@ourNCTV,Mind Mapping,16,Morning,English/Amharic,Used Anki flashcards
Eden Hailu,A,https://www.youtube.com/@nickeducation6463,Practice Quizzes,16,Evening,English/Amharic,Practiced past exams
Mohammed Assefa,A+,https://www.youtube.com/@AI.Uncovered,Self-Testing,11,Afternoon,English/Amharic,Practiced past exams
Yemesrach Girma,A+,https://www.youtube.com/@bengalinstituteoftechnolog7911,Flashcards,6,Night,English/Amharic,Analyzed case studies
Abebe weldehawaryat,A,http://ndl.ethernet.edu.et/bitstream/123456789/90350/26/Seminar%20Topics%20and%20Assignments.pdf,Peer Teaching,6,Night,English/Amharic,Practiced past exams
Chala Lemma,A,https://www.youtube.com/@seminartopics618,Video Summaries,17,Evening,English/Amharic,Focused on documentaries
Marta Hailu,A+,https://www.youtube.com/@seminartopics618,Group Study,18,Evening,English/Amharic,Timed simulations
Ruth Seid,A+,https://www.youtube.com/@AI.Uncovered,Group Study,14,Morning,English/Amharic,Timed simulations
Yared Worku,A,https://www.youtube.com/@bengalinstituteoftechnolog7911,Case Studies,13,Night,English/Amharic,Used Anki flashcards
Abebe weldehawaryat,A,https://www.youtube.com/@nickeducation6463,Practice Quizzes,5,Night,English/Amharic,Color-coded notes
Seyoum Abebe,A+,https://www.youtube.com/@amaanfatimah,Case Studies,14,Morning,English/Amharic,Analyzed case studies
Yohannes weldehawaryat,A+,http://ndl.ethernet.edu.et/bitstream/123456789/90350/26/Seminar%20Topics%20and%20Assignments.pdf,Case Studies,11,Afternoon,English/Amharic,Wrote summaries
Girmay Tesfaye,A+,https://www.youtube.com/@ourNCTV,Practice Quizzes,5,Evening,English/Amharic,Joined online study groups
Mekonnen Girma,A+,https://www.youtube.com/@AI.Uncovered,Case Studies,19,Afternoon,English/Amharic,Analyzed case studies
Kassa Zinabu,A+,https://www.youtube.com/@amaanfatimah,Practice Quizzes,19,Night,English/Amharic,Analyzed case studies
