Name,Grade,Recommended Channel/Link,Learning Strategy,Study Hours Per Week,Preferred Study Time,Language of Instruction,Additional Notes
Driba Worku,A+,https://www.youtube.com/@HBSOnline,Case Studies,14,Evening,English/Amharic,Analyzed case studies
Samuel Asrat,A+,https://www.youtube.com/@ethicscentre,Group Study,12,Evening,English/Amharic,Drew diagrams
Sewit Getachew,A+,https://www.youtube.com/@DWIVEDIGUIDANCE,Mind Mapping,16,Morning,English/Amharic,Used Anki flashcards
Eden Hailu,A,https://www.youtube.com/@TheFederalistSociety,Practice Quizzes,16,Evening,English/Amharic,Practiced past exams
Mohammed Assefa,A+,https://www.youtube.com/@HBSOnline,Self-Testing,11,Afternoon,English/Amharic,Practiced past exams
Yemesrach Girma,A+,https://www.youtube.com/@LearningwithDrAnandVyas,Flashcards,6,Night,English/Amharic,Analyzed case studies
Abebe weldehawaryat,A,https://www.youtube.com/@GlobalEthicsSolutions,Peer Teaching,6,Night,English/Amharic,Practiced past exams
Chala Lemma,A,https://www.youtube.com/@ethicscentre,Video Summaries,17,Evening,English/Amharic,Focused on documentaries
Marta Hailu,A+,https://www.youtube.com/@ethicscentre,Group Study,18,Evening,English/Amharic,Timed simulations
Ruth Seid,A+,https://www.youtube.com/@HBSOnline,Group Study,14,Morning,English/Amharic,Timed simulations
Yared Worku,A,https://www.youtube.com/@LearningwithDrAnandVyas,Case Studies,13,Night,English/Amharic,Used Anki flashcards
Abebe weldehawaryat,A,https://www.youtube.com/@TheFederalistSociety,Practice Quizzes,5,Night,English/Amharic,Color-coded notes
Seyoum Abebe,A+,https://www.youtube.com/@cmguideorg,Case Studies,14,Morning,English/Amharic,Analyzed case studies
Yohannes weldehawaryat,A+,https://www.youtube.com/@GlobalEthicsSolutions,Case Studies,11,Afternoon,English/Amharic,Wrote summaries
Girmay Tesfaye,A+,https://www.youtube.com/@DWIVEDIGUIDANCE,Practice Quizzes,5,Evening,English/Amharic,Joined online study groups
Mekonnen Girma,A+,https://www.youtube.com/@HBSOnline,Case Studies,19,Afternoon,English/Amharic,Analyzed case studies
Kassa Zinabu,A+,https://www.youtube.com/@cmguideorg,Practice Quizzes,19,Night,English/Amharic,Analyzed case studies
Marta Kebede,A+,https://www.youtube.com/@c.r.e.1433,Case Studies,17,Evening,English/Amharic,Practiced past exams
Abel Amare,A,https://www.youtube.com/@DWIVEDIGUIDANCE,Mind Mapping,14,Morning,English/Amharic,Timed simulations
Sewit Lemma,A+,https://www.youtube.com/@ethicscentre,Case Studies,16,Morning,English/Amharic,Analyzed case studies
Kiros Abebe,A,https://www.youtube.com/@LearningwithDrAnandVyas,Peer Teaching,17,Morning,English/Amharic,Color-coded notes
Driba Lemma,A+,https://www.youtube.com/@LearningwithDrAnandVyas,Flashcards,5,Evening,English/Amharic,Wrote summaries
Hana Zinabu,A+,https://www.youtube.com/@GlobalEthicsSolutions,Peer Teaching,16,Afternoon,English/Amharic,Analyzed case studies
Chala Tesfaye,A,https://www.youtube.com/@GlobalEthicsSolutions,Group Study,5,Evening,English/Amharic,Used Anki flashcards
Chala Getachew,A+,https://www.youtube.com/@c.r.e.1433,Flashcards,5,Morning,English/Amharic,Color-coded notes
Chala Hailu,A+,https://www.youtube.com/@DWIVEDIGUIDANCE,Case Studies,8,Evening,English/Amharic,Wrote summaries
Ephrem Lemma,A,https://www.youtube.com/@ethicscentre,Mind Mapping,10,Afternoon,English/Amharic,Used Anki flashcards
Yohannes Lemma,A+,https://www.youtube.com/@DrK1957,Peer Teaching,16,Evening,English/Amharic,Practiced past exams
Zewditu Tesfaye,A+,https://www.youtube.com/@ethicscentre,Case Studies,8,Morning,English/Amharic,Used Anki flashcards
Ruth Amare,A+,https://www.youtube.com/@GlobalEthicsSolutions,Self-Testing,13,Afternoon,English/Amharic,Analyzed case studies
Sifan Shimuye,A,https://www.youtube.com/@cmguideorg,Self-Testing,8,Night,English/Amharic,Used Anki flashcards
Chala Abebe,A,https://www.youtube.com/@HBSOnline,Flashcards,15,Evening,English/Amharic,Timed simulations
Fikirte Tesfaye,A+,https://www.youtube.com/@DrK1957,Peer Teaching,12,Afternoon,English/Amharic,Wrote summaries
Kiros Asrat,A+,https://www.youtube.com/@ethicscentre,Video Summaries,12,Night,English/Amharic,Color-coded notes
Kebede Tesfaye,A+,https://www.youtube.com/@Alanisbusinessacademy,Mind Mapping,6,Afternoon,English/Amharic,Color-coded notes
Nahom Zinabu,A,https://www.youtube.com/@ethicscentre,Spaced Repetition,18,Morning,English/Amharic,Practiced past exams
Frehiwot Amare,A+,https://www.youtube.com/@GlobalEthicsSolutions,Practice Quizzes,10,Evening,English/Amharic,Drew diagrams
Jemal Lemma,A+,https://www.youtube.com/@DrK1957,Video Summaries,12,Evening,English/Amharic,Focused on documentaries
Senait Abebe,A+,https://www.youtube.com/@GlobalEthicsSolutions,Flashcards,16,Morning,English/Amharic,Color-coded notes
Sofia Tesfaye,A+,https://www.youtube.com/@GlobalEthicsSolutions,Flashcards,10,Evening,English/Amharic,Timed simulations
Girmay Jenberu,A+,https://www.youtube.com/@DrK1957,Spaced Repetition,8,Evening,English/Amharic,Joined online study groups
Mihret Abebe,A,https://www.youtube.com/@Alanisbusinessacademy,Self-Testing,14,Evening,English/Amharic,Drew diagrams
Mohammed weldehawaryat,A,https://www.youtube.com/@Alanisbusinessacademy,Video Summaries,11,Afternoon,English/Amharic,Focused on documentaries
Marta Jenberu,A+,https://www.youtube.com/@LearningwithDrAnandVyas,Video Summaries,11,Morning,English/Amharic,Analyzed case studies
Marta Tesfaye,A,https://www.youtube.com/@ArcherReview,Case Studies,13,Night,English/Amharic,Practiced past exams
Meklit weldehawaryat,A+,https://www.youtube.com/@DrK1957,Case Studies,19,Night,English/Amharic,Focused on documentaries
Chala Fentaw,A+,https://www.youtube.com/@DWIVEDIGUIDANCE,Video Summaries,5,Night,English/Amharic,Drew diagrams
Hana Asrat,A,https://www.youtube.com/@GlobalEthicsSolutions,Group Study,9,Night,English/Amharic,Joined online study groups
Driba Kebede,A+,https://www.youtube.com/@ethicscentre,Practice Quizzes,11,Night,English/Amharic,Practiced past exams
Nahom Tadesse,A+,https://www.youtube.com/@cmguideorg,Practice Quizzes,5,Night,English/Amharic,Color-coded notes
Bethel Assefa,A,https://www.youtube.com/@c.r.e.1433,Self-Testing,16,Morning,English/Amharic,Used Anki flashcards
