Name,Grade,Gender,Recommended Channel/Link,Learning Strategy,Study Hours Per Week,Preferred Study Time,Language of Instruction,Additional Notes
Driba Worku,A+,Male,https://www.coursera.org/,Case Studies,14,Evening,English/Amharic,Analyzed case studies
Samuel Asrat,A+,Female,https://www.youtube.com/@mitmysoreinformationscienc4671,Group Study,7,Afternoon,English/Amharic,Joined online study groups
Chala Hailu,A+,Female,https://www.youtube.com/@nesoacademy,Flashcards,5,Night,English/Amharic,Drew diagrams
Abebe Jenberu,A+,Male,https://www.youtube.com/@FaizaWaseemfaiz,Practice Quizzes,16,Evening,English/Amharic,Practiced past exams
Mohammed Assefa,A+,Male,https://www.youtube.com/@allaboutu4407,Case Studies,6,Night,English/Amharic,Timed simulations
Kalkidan Mekonnen,A,Female,https://www.coursera.org/,Mind Mapping,8,Night,English/Amharic,Analyzed case studies
Abebe weldehawaryat,A,Female,https://www.youtube.com/@edurekaIN,Peer Teaching,6,Night,English/Amharic,Practiced past exams
Chala Lemma,A,Female,https://www.youtube.com/@TechWithTim,Mind Mapping,14,Night,English/Amharic,Focused on documentaries
Birtukan Kebede,A+,Female,https://www.youtube.com/@mitmysoreinformationscienc4671,Case Studies,16,Morning,English/Amharic,Wrote summaries
Senait Seid,A+,Male,https://www.coursera.org/,Group Study,14,Morning,English/Amharic,Timed simulations
Yared Worku,A,Male,https://www.youtube.com/@freecodecamp,Self-Testing,12,Morning,English/Amharic,Wrote summaries
Mulugeta Asrat,A,Female,https://www.youtube.com/@SimplilearnOfficial,Practice Quizzes,5,Evening,English/Amharic,Joined online study groups
Temesgen Amare,A+,Female,https://www.youtube.com/@freecodecamp,Self-Testing,12,Night,English/Amharic,Focused on documentaries
Kiros Seid,A,Female,https://www.youtube.com/@mitmysoreinformationscienc4671,Flashcards,7,Night,English/Amharic,Wrote summaries
Mulat Tesfaye,A+,Male,https://www.youtube.com/@laurspilca,Practice Quizzes,5,Morning,English/Amharic,Analyzed case studies
Kalkidan Amare,A,Male,https://www.youtube.com/@FaizaWaseemfaiz,Practice Quizzes,19,Night,English/Amharic,Analyzed case studies
Marta Kebede,A+,Male,https://www.youtube.com/@freecodecamp,Peer Teaching,17,Night,English/Amharic,Analyzed case studies
Zelalem Getachew,A+,Female,https://www.youtube.com/@allaboutu4407,Flashcards,10,Night,English/Amharic,Practiced past exams
Lidia Asrat,A,Male,https://www.youtube.com/@nesoacademy,Self-Testing,11,Afternoon,English/Amharic,Used Anki flashcards
Meklit Tadesse,A+,Male,https://www.youtube.com/@TechWithTim,Group Study,15,Morning,English/Amharic,Joined online study groups
Kiros Fentaw,A,Female,https://www.youtube.com/@learnwithwhiteboard,Video Summaries,12,Morning,English/Amharic,Practiced past exams
Marta Jenberu,A,Female,https://www.youtube.com/@laurspilca,Case Studies,6,Evening,English/Amharic,Used Anki flashcards
Girmay Jenberu,A+,Male,https://www.youtube.com/@edurekaIN,Mind Mapping,6,Night,English/Amharic,Drew diagrams
Tsehay Assefa,A,Male,https://www.youtube.com/@SimplilearnOfficial,Mind Mapping,9,Night,English/Amharic,Drew diagrams
Mihret Kebede,A,Female,https://www.youtube.com/@learnwithwhiteboard,Spaced Repetition,19,Afternoon,English/Amharic,Wrote summaries
KedirTewodros Getachew,A+,Male,https://www.youtube.com/@edurekaIN,Self-Testing,16,Evening,English/Amharic,Drew diagrams
Nahom Tesfaye,A+,Male,https://www.geeksforgeeks.org,Practice Quizzes,14,Evening,English/Amharic,Color-coded notes
Tigist Amare,A,Male,https://www.youtube.com/@mitmysoreinformationscienc4671,Case Studies,6,Night,English/Amharic,Used Anki flashcards
Samuel Mekonnen,A+,Female,https://www.youtube.com/@FaizaWaseemfaiz,Practice Quizzes,11,Night,English/Amharic,Timed simulations
Abiy Jenberu,A,Female,https://www.youtube.com/@laurspilca,Flashcards,9,Night,English/Amharic,Analyzed case studies
Yohannes Zinabu,A,Female,https://www.youtube.com/@SimplilearnOfficial,Peer Teaching,12,Afternoon,English/Amharic,Wrote summaries
Kiros Asrat,A+,Female,https://www.youtube.com/@TechWithTim,Group Study,8,Afternoon,English/Amharic,Color-coded notes
Kebede Tesfaye,A+,Female,https://www.youtube.com/@laurspilca,Mind Mapping,6,Afternoon,English/Amharic,Color-coded notes
Nahom Zinabu,A,Female,https://www.youtube.com/@edurekaIN,Flashcards,8,Night,English/Amharic,Wrote summaries
Dawit Tesfaye,A+,Male,https://www.youtube.com/@nesoacademy,Practice Quizzes,10,Evening,English/Amharic,Drew diagrams
Jemal Lemma,A+,Male,https://www.youtube.com/@TechWithTim,Group Study,15,Evening,English/Amharic,Focused on documentaries
Senait Abebe,A+,Female,https://www.youtube.com/@edurekaIN,Flashcards,16,Morning,English/Amharic,Color-coded notes
Sofia Tesfaye,A+,Female,https://www.youtube.com/@edurekaIN,Flashcards,10,Evening,English/Amharic,Timed simulations
Girmay Jenberu,A+,Male,https://www.youtube.com/@SimplilearnOfficial,Spaced Repetition,8,Evening,English/Amharic,Joined online study groups
Mihret Abebe,A,Female,https://www.youtube.com/@InformationSecurityAwareness,Self-Testing,14,Evening,English/Amharic,Drew diagrams
Mohammed weldehawaryat,A,Female,https://www.youtube.com/@TechWithTim,Case Studies,6,Evening,English/Amharic,Focused on documentaries
Marta Jenberu,A+,Male,https://www.youtube.com/@learnwithwhiteboard,Video Summaries,11,Morning,English/Amharic,Analyzed case studies
Marta Tesfaye,A,Female,https://www.youtube.com/@envatotuts,Case Studies,13,Night,English/Amharic,Practiced past exams
Meklit weldehawaryat,A+,Female,https://www.youtube.com/@laurspilca,Practice Quizzes,11,Evening,English/Amharic,Focused on documentaries
Chala Fentaw,A+,Male,https://www.youtube.com/@laurspilca,Video Summaries,14,Afternoon,English/Amharic,Drew diagrams
Marta Shimuye,A+,Female,https://www.youtube.com/@learnwithwhiteboard,Flashcards,5,Night,English/Amharic,Joined online study groups
Abebe Hailu,A+,Female,https://www.youtube.com/@TechWithTim,Peer Teaching,18,Evening,English/Amharic,Color-coded notes
