Name,Grade,Recommended Channel/Link,Learning Strategy,Study Hours Per Week,Preferred Study Time,Language of Instruction,Additional Notes
Driba Worku,A+,https://www.youtube.com/@er.manishsach,Practice Quizzes,11,Evening,English/Amharic,Wrote summaries
Sewit Kebede,A,https://www.youtube.com/@ecit,Video Summaries,9,Afternoon,English/Amharic,Wrote summaries
Abebe Lemma,A,https://www.youtube.com/@alparupala6162,Video Summaries,17,Night,English/Amharic,Timed simulations
Marta Shimuye,A,https://www.geeksforgeeks.org/wireless-communication-set-1/,Practice Quizzes,16,Evening,English/Amharic,Practiced past exams
Mohammed Assefa,A+,https://www.youtube.com/@EngineeringBoyz07,Case Studies,6,Night,English/Amharic,Timed simulations
Kalkidan Mekonnen,A,https://www.youtube.com/@education4uofficial,Peer Teaching,16,Evening,English/Amharic,Analyzed case studies
Abebe weldehawaryat,A,https://www.youtube.com/@eguide9890,Spaced Repetition,8,Afternoon,English/Amharic,Wrote summaries
Sofia Getachew,A+,https://www.youtube.com/@drsonveersingh,Peer Teaching,10,Morning,English/Amharic,Focused on documentaries
Marta Hailu,A+,https://www.youtube.com/@EzEdChannel,Group Study,18,Evening,English/Amharic,Timed simulations
Ruth Seid,A+,https://www.tutorialspoint.com/wireless_communication/index.htm,Flashcards,12,Afternoon,English/Amharic,Timed simulations
Atnafu Zinabu,A,https://www.youtube.com/@freecodecamp,Spaced Repetition,13,Evening,English/Amharic,Timed simulations
Mulugeta Abebe,A,https://www.youtube.com/@Ekeeda,Practice Quizzes,5,Night,English/Amharic,Color-coded notes
Seyoum Abebe,A+,https://www.youtube.com/@drsonveersingh,Case Studies,14,Morning,English/Amharic,Analyzed case studies
Yohannes weldehawaryat,A+,https://www.youtube.com/@alparupala6162,Case Studies,11,Afternoon,English/Amharic,Wrote summaries
Girmay Tesfaye,A+,https://www.youtube.com/@ecit,Spaced Repetition,7,Morning,English/Amharic,Color-coded notes
Meklit Assefa,A+,https://www.youtube.com/@eguide9890,Case Studies,15,Morning,English/Amharic,Color-coded notes
Mihret Amare,A+,https://www.youtube.com/@EzEdChannel,Flashcards,11,Evening,English/Amharic,Practiced past exams
Abel Amare,A,https://www.youtube.com/@education4uofficial,Self-Testing,9,Afternoon,English/Amharic,Practiced past exams
Lidia Asrat,A,https://www.youtube.com/@er.manishsach,Spaced Repetition,5,Morning,English/Amharic,Timed simulations
Abiy Tadesse,A+,https://www.youtube.com/@er.manishsach,Video Summaries,12,Evening,English/Amharic,Timed simulations
Girmay Abebe,A,https://www.youtube.com/@Vidyamitra,Group Study,19,Evening,English/Amharic,Drew diagrams
